DateTime,AddedIPs,RemovedIPs
1601060428,1,11
1601062360,1,15
1601064255,2,13
1601066171,2,6
1601068365,2,2
1601070254,0,5
1601072172,1,3
1601074112,0,2
1601076008,1,0
1601077927,0,1
1601079874,2,1
1601081769,5,0
1601083623,1,2
1601085872,0,1
1601087831,4,1
1601089798,1,2
1601093531,2,2
1601095476,1,0
1601097381,1,1
1601099303,1,0
1601101259,1,1
1601103138,0,4
1601105067,0,13
1601108915,1,1
1601110833,2,1
1601112775,2,1
1601114945,2,1
1601116840,1,1
1601118733,1,1
1601120678,0,3
1601122576,3,1
1601124495,5,1
1601126407,6,2
1601128369,8,3
1601130286,5,2
1601132172,5,2
1601134124,16,1
1601136049,17,2
1601138053,5,4
1601139911,4,2
1601141998,1,1
1601143949,1,1
1601145877,3,1
1601147770,10,1
1601149690,4,1
1601151660,5,2
1601153528,2,0
1601157391,1,2
1601159288,2,0
1601161226,1,0
1601163150,1,1
1601165064,1,0
1601167000,5,1
1601168914,2,2
1601170990,2,0
1601172838,2,2
1601174728,1,4
1601176597,2,3
1601178492,3,3
1601180432,1,2
1601182331,1,3
1601184272,1,1
1601188090,0,1
1601190029,1,0
1601191972,3,0
1601193859,1,0
1601195795,1,1
1601197689,0,1
1601199616,20,3
1601201562,6,0
1601203448,1,1
1601205608,2,0
1601207527,2,0
1601209483,2,1
1601211367,0,10
1601213294,0,5
1601216196,4,11
1601218087,2,1
1601220009,6,15
1601221957,21,16
1601223850,4,10
1601225773,2,2
1601227713,5,2
1601229632,1,2
1601231552,4,1
1601233484,3,4
1601235366,0,5
1601239236,0,4
1601241128,2,0
1601243084,3,1
1601244966,1,1
1601246911,1,1
1601248808,1,0
1601250744,2,2
1601252665,2,5
1601254592,1,2
1601256485,0,1
1601258317,1,2
1601260350,1,1
1601262251,4,1
1601264167,3,1
1601266130,0,4
1601268009,2,2
1601269928,2,1
1601273767,2,0
1601275686,2,0
1601277633,2,2
1601279530,5,1
1601281451,5,1
1601283395,4,3
1601285291,1,11
1601287317,6,14
1601289135,5,1
1601291334,13,3
1601293238,3,1
1601295175,7,2
1601297068,312,0
1601298981,150,0
1601300945,139,1
1601302830,342,0
1601304754,466,1
1601306694,305,5
1601308603,442,7
1601310520,324,3
1601313383,355,2
1601315308,316,1
1601317287,240,2
1601319179,252,1
1601321070,195,1
1601323070,374,0
1601324904,278,0
1601326852,391,0
1601328783,469,2
1601330698,325,0
1601332627,403,0
1601334494,369,1
1601336655,525,1
1601338573,384,2
1601340520,604,1
1601342410,285,0
1601344329,230,0
1601346340,246,1
1601348176,200,3
1601350446,321,3
1601352294,130,0
1601354202,282,1
1601356364,427,0
1601358268,319,1
1601360171,349,2
1601362118,466,2
1601364018,282,0
1601365946,352,3
1601367879,73,0
1601369774,1,6
1601371694,1,0
1601374848,0,4
1601376748,1,2
1601378681,0,1
1601380572,3,1
1601382493,0,121
1601385368,1,342
1601387313,1,128
1601389209,0,346
1601391154,1,461
1601393080,1,321
1601394976,0,444
1601396888,0,310
1601399767,2,378
1601401717,0,320
1601403623,1,236
1601405655,1,260
1601407688,0,213
1601410569,1,462
1601412502,1,380
1601414431,0,460
1601416324,2,414
1601418274,2,299
1601420165,1,458
1601422110,1,439
1601424038,1,457
1601425935,2,431
1601428371,0,553
1601430251,2,203
1601432195,5,224
1601434116,0,211
1601436010,1,245
1601437933,1,237
1601440117,4,257
1601442041,2,477
1601443958,2,198
1601445919,1,412
1601447845,2,434
1601449695,2,316
1601451611,0,353
1601453566,2,191
1601455449,3,5
1601457402,4,2
1601459290,5,8
1601461248,3,2
1601463131,6,1
1601465053,7,1
1601467000,3,6
1601468890,4,1
1601471769,8,3
1601473687,9,4
1601475632,23,1
1601477529,14,2
1601479451,11,0
1601481394,22,1
1601483286,24,0
1601485274,27,6
1601487142,9,1
1601489345,12,0
1601491208,6,3
1601493131,17,0
1601495073,7,0
1601496969,10,1
1601498889,2,0
1601500808,2,0
1601502725,1,1
1601504676,0,4
1601508490,1,0
1601511399,3,0
1601513320,1,0
1601515219,2,0
1601517126,3,1
1601520977,2,1
1601523137,1,2
1601525062,2,1
1601526995,3,1
1601528899,3,2
1601530837,0,1
1601533247,1,1
1601535391,2,0
1601537574,3,1
1601540658,1,1
1601542579,0,1
1601544515,0,1
1601546444,2,0
1601550277,7,8
1601552171,5,2
1601554124,4,2
1601556012,1,1
1601558183,2,7
1601560092,6,5
1601562037,8,15
1601563933,4,12
1601565880,4,11
1601567821,12,18
1601569688,2,17
1601571638,21,29
1601573557,3,8
1601575494,1,12
1601577399,3,5
1601579294,2,15
1601581225,6,5
1601583153,7,2
1601585050,4,3
1601587216,16,4
1601589164,22,2
1601591053,13,0
1601592974,9,0
1601594912,4,3
1601597772,3,5
1601599689,1,1
1601601632,1,3
1601603528,4,2
1601605472,49,2
1601607371,3,1
1601609288,6,1
1601612200,0,2
1601614129,2,5
