DateTime,AddedIPs,RemovedIPs
1596970569,0,1
1596990016,1,0
1596991930,1,0
1596997689,1,0
1597000571,0,1
1597002519,1,0
1597010169,1,0
1597016927,0,2
1597024569,1,0
1597029373,0,1
1597035130,1,1
1597058172,1,0
1597063941,1,0
1597077613,0,1
1597079530,0,1
1597081478,1,0
1597083372,0,1
1597089138,0,1
1597097769,0,1
1597101856,1,0
1597105692,2,0
1597111474,0,1
1597117213,2,0
1597121078,0,1
1597126834,1,0
1597143415,0,1
1597151050,1,1
1597168330,0,1
1597187771,0,1
1597193528,0,2
1597203137,0,1
1597212756,0,1
1597214675,1,0
1597228086,1,0
1597237933,0,1
1597245638,1,0
1597253290,0,1
1597266730,1,0
1597270572,1,0
1597278259,1,0
1597301530,0,1
1597307289,1,0
1597314054,0,1
1597319797,1,0
1597332249,0,1
1597338056,1,0
1597353414,0,1
1597355290,0,1
1597357264,5,0
1597359174,1,0
1597364892,2,1
1597371878,1,0
1597385767,1,0
1597393477,0,1
1597403303,1,0
1597405212,0,1
1597422499,1,0
1597425368,0,1
1597444808,0,5
1597446756,0,1
1597450567,0,1
1597452522,0,1
1597458253,0,1
1597468806,1,0
1597470755,0,1
1597483234,1,0
1597488994,0,1
1597490896,1,0
1597498604,1,0
1597508171,0,1
1597541289,1,0
1597555689,0,1
1597569158,0,1
1597574893,1,0
1597576813,0,1
1597584519,0,1
1597602762,1,0
1597606572,1,0
1597612330,1,0
1597627765,0,1
1597653872,2,0
1597655767,1,0
1597661526,0,1
1597663478,1,0
1597675942,1,0
1597689407,0,1
1597693209,0,1
1597698972,0,1
1597717470,1,0
1597740758,0,2
1597742650,0,1
1597750331,0,1
1597762118,0,1
1597769774,1,0
1597802475,0,1
1597815854,1,0
1597836999,1,0
1597844651,1,0
1597852330,2,0
1597856168,0,1
1597899397,1,0
1597904174,0,1
1597918568,1,0
1597924333,0,1
1597930574,0,1
1597938281,0,1
1597940170,0,1
1597944009,1,0
1597967531,1,0
1597975251,1,0
1597983162,1,0
1597986972,1,1
1597988923,1,0
1598004518,0,1
1598012170,1,0
1598029488,1,1
1598050575,1,0
1598052764,0,1
1598055636,1,0
1598061394,1,1
1598063290,1,0
1598068342,0,1
1598072203,0,1
1598076966,0,1
1598093317,1,0
1598099156,0,1
1598102889,1,0
1598116363,0,1
1598133683,1,0
1598137454,0,1
1598141296,0,1
1598147054,0,1
1598150931,0,1
1598171078,1,0
1598179927,0,1
1598189531,0,1
1598195289,1,0
1598212569,1,0
1598214732,1,0
1598243818,2,0
1598257208,0,1
1598267079,1,0
1598280559,1,1
1598282489,0,1
1598290266,1,0
1598298287,0,1
1598300168,0,1
1598316726,1,0
1598329219,0,2
1598338852,1,0
1598352515,0,1
1598366937,0,1
1598376516,0,1
1598401689,0,1
1598424009,0,1
1598438411,1,0
1598463977,1,0
1598469679,1,0
1598471539,1,0
1598483375,1,0
1598487146,1,0
1598510281,1,0
1598525531,0,1
1598550248,0,1
1598556034,0,1
1598557930,0,1
1598570914,0,1
1598574776,0,1
1598594444,0,1
1598610486,2,0
1598669066,1,0
1598689708,1,0
1598697918,0,2
1598699797,1,0
1598722808,1,0
1598730489,1,0
1598736250,1,0
1598742098,1,0
1598745886,2,0
1598755485,1,0
1598775847,0,1
1598781633,1,0
1598785448,0,2
1598801047,1,0
1598807768,0,1
1598809688,1,0
1598811632,1,0
1598817365,1,1
1598822168,0,1
1598829874,0,1
1598831767,0,2
1598842362,0,1
1598854806,1,0
1598867573,0,1
1598869506,1,0
1598888889,1,0
1598890810,1,0
1598896569,0,1
1598898490,1,1
1598904553,1,1
1598941472,0,1
1598949627,1,0
1598955652,0,1
1598961373,1,0
1598975295,0,1
1598977206,0,1
1598984885,0,2
1598989715,0,1
1599011807,1,0
1599013696,1,0
1599036010,0,1
1599047542,0,1
1599058140,1,0
1599067002,1,0
1599068925,1,0
1599070814,1,0
1599072727,1,0
1599097930,1,1
1599099856,0,1
1599105636,1,0
1599113303,1,0
1599131791,1,0
1599145222,0,1
1599150969,1,0
1599152914,1,1
1599154805,0,1
1599156796,0,1
1599158651,0,1
1599160571,1,0
1599164411,2,0
1599168281,1,0
1599172090,2,0
1599179077,1,0
1599185796,1,1
1599191770,0,1
1599199464,0,1
1599213130,1,0
1599216971,1,0
1599218892,0,1
1599220856,1,0
1599236193,1,0
1599238091,0,1
1599240050,1,1
1599247713,0,1
1599249639,0,1
1599251563,0,1
1599255380,1,1
1599257567,0,1
1599259450,0,1
1599265458,0,1
1599267368,1,0
1599273137,0,1
1599301231,0,1
1599303159,0,1
1599306992,1,1
1599320411,1,0
1599322358,0,1
1599342511,0,2
1599352127,1,0
1599354044,0,1
1599357867,1,0
1599385726,1,0
1599407769,0,1
1599421211,1,0
1599438413,0,1
1599440448,0,1
1599444323,0,1
1599453914,1,0
1599472392,0,1
1599480092,1,0
1599486061,1,0
1599489884,1,0
1599495637,1,0
1599505228,1,0
1599509327,0,1
1599520808,1,0
1599530455,1,0
1599534502,1,0
1599536414,1,0
1599540247,0,1
1599551767,1,0
1599553944,1,0
1599565451,0,1
1599580882,1,3
1599616625,0,1
1599618530,1,0
1599620489,0,1
1599624383,0,1
1599637707,0,1
1599639627,1,1
1599641577,1,0
1599647309,0,2
1599656916,1,0
1599668416,0,1
1599684737,1,0
1599704201,0,1
1599723372,1,0
1599727241,0,2
1599744514,0,1
1599770904,0,1
1599792997,1,0
1599808841,0,1
1599820355,1,0
1599861270,1,0
1599879641,0,1
1599881579,1,0
1599906009,0,1
1599911795,1,0
1599937259,1,0
1599946816,0,1
1599968891,0,1
1599998191,0,1
1600016432,2,0
1600024133,1,1
1600038762,1,0
1600073339,1,0
1600084867,2,0
1600086784,1,0
1600102668,0,2
1600106724,1,0
1600110534,1,1
1600122009,1,0
1600125851,0,1
1600132609,1,0
1600159688,0,1
1600161611,1,0
1600167376,1,0
1600172221,0,2
1600174154,1,1
1600183712,1,0
1600192588,0,1
1600198373,0,1
1600204106,1,0
1600206013,1,0
1600209851,0,1
1600217526,0,1
1600221397,1,0
1600229344,2,0
1600244700,1,0
1600246569,0,1
1600248515,1,0
1600253535,0,1
1600261482,0,1
1600269145,0,1
1600292200,0,2
1600297942,1,0
1600301800,1,0
1600307556,0,1
1600315449,0,1
1600317373,0,1
1600330850,0,1
1600334683,0,1
1600366336,1,0
1600374097,1,0
1600385529,0,1
1600389377,1,1
1600393212,1,0
1600422014,1,0
1600439798,1,0
1600441702,1,0
1600453207,1,1
1600457075,1,0
1600460912,0,1
1600476274,0,1
1600480101,0,1
1600484019,1,0
1600501484,1,0
1600509148,0,1
1600517853,1,0
1600525447,0,1
1600527393,0,1
1600540569,0,1
1600544408,0,1
1600550168,1,0
1600569613,0,1
1600577291,1,0
1600589770,0,1
1600595524,1,0
1600603262,0,1
1600624576,1,0
1600635174,0,1
1600652887,1,0
1600664671,0,1
1600668525,1,0
1600680104,1,0
1600681955,0,1
1600691557,1,0
1600705932,1,0
1600709794,0,1
1600739840,0,1
1600748679,1,0
1600755393,0,1
1600757288,1,0
1600764974,0,1
1600771689,1,0
1600777731,0,1
1600784443,1,0
1600786354,1,0
1600792088,0,1
1600820887,1,0
1600834582,0,1
1600836487,1,0
1600844209,0,1
1600857852,0,1
1600871816,0,1
1600873770,0,1
1600877539,1,0
1600881397,1,0
1600885210,2,0
1600906367,0,1
1600923665,0,1
1600935367,1,0
1600939208,1,0
1600950733,1,0
1600964664,0,1
1600966595,0,1
1600968490,1,0
1600970466,2,1
1600972360,1,1
1601020596,0,1
1601025398,0,1
1601036918,0,1
1601045769,1,0
1601054418,1,1
1601056607,0,1
1601058496,0,1
1601060445,0,1
1601064257,1,0
1601119450,1,0
1601132173,0,1
1601139911,0,1
1601149691,0,1
1601167012,1,0
1601168914,1,0
1601176597,1,0
1601199617,1,0
1601205609,0,1
1601245936,1,0
1601254593,0,1
1601256486,1,1
1601264167,0,1
1601285292,0,1
1601313383,1,0
1601332649,0,1
1601342410,0,1
1601344329,1,0
1601350447,1,0
1601352297,1,0
1601358268,1,0
1601382494,1,0
1601385606,1,0
1601397138,1,0
1601399103,1,1
1601408893,1,0
1601432201,1,1
1601437933,0,2
1601443959,0,1
1601449696,1,0
1601468891,0,1
1601471769,0,1
1601473688,1,0
1601483287,1,1
1601485310,1,1
1601495074,0,1
1601496970,1,0
1601500808,1,0
1601502726,1,0
1601518369,0,1
1601536445,0,1
1601561531,0,1
1601571125,0,2
1601583606,0,1
1601585535,0,2
1601702889,1,0
1601710809,1,0
1601712755,1,0
1601789791,0,1
1601795557,1,0
1601797448,0,1
1601799364,0,1
1601807075,1,0
1601814728,1,0
1601816648,1,0
1601857242,1,0
1601880530,0,1
1601884355,1,0
1601893960,0,1
1601899960,0,1
1601903770,0,1
1601909531,1,0
1601942650,0,1
1601962086,1,0
1601964076,1,0
1601969794,0,1
1601994735,0,1
1602006249,1,0
1602041051,1,0
1602048765,0,1
1602050653,1,1
1602052575,1,0
