DateTime,AddedIPs,RemovedIPs
1601091614,6,6
1601093533,6,12
1601095478,15,8
1601097384,7,21
1601099306,7,15
1601101261,13,10
1601103140,10,15
1601105069,171,7
1601107014,9,1
1601108917,142,7
1601110903,9,8
1601112779,9,10
1601114993,14,10
1601116842,13,53
1601118734,8,8
1601120680,16,7
1601122578,13,12
1601124497,1211,7
1601126409,799,9
1601128371,1591,13
1601130464,772,10
1601132432,736,11
1601134331,1368,3
1601136160,1649,2
1601138056,733,11
1601139913,13,3
1601142001,8,9
1601143958,7,8
1601145879,6,9
1601147772,4,6
1601149693,10,6
1601151662,20,8
1601153530,10,4
1601155457,5,9
1601157393,6,11
1601159290,11,14
1601161265,8,6
1601163152,5,15
1601165072,23,15
1601167014,3,2
1601168915,6,15
1601170991,18,10
1601172840,3,10
1601174730,7,7
1601176599,7,55
1601178495,6,5
1601180435,10,10
1601182340,13,7
1601184275,12,6
1601186203,6,7
1601188093,10,8
1601190056,6,9
1601191975,10,171
1601193905,72,7
1601195796,3,89
1601197691,6,8
1601199618,10,6
1601201564,11,11
1601203505,4,7
1601205610,3,9
1601207529,12,13
1601209486,0,10
1601211369,2,1716
1601213296,0,756
1601215263,5,1457
1601217133,2,481
1601219084,4,847
1601220992,8,1543
1601222889,4,1606
1601224839,15,510
1601226741,11,12
1601228655,5,11
1601230593,11,10
1601232488,10,7
1601234410,10,6
1601236393,4,12
1601238249,11,22
1601240173,6,10
1601242088,66,13
1601244064,8,7
1601245937,18,17
1601247897,10,7
1601249799,13,7
1601252960,16,13
1601254848,13,6
1601256797,14,7
1601258663,14,14
1601260583,12,8
1601262546,6,11
1601264443,12,7
1601266604,8,11
1601268751,17,14
1601270689,14,14
1601272608,7,8
1601274514,11,12
1601276505,5,11
1601278394,12,9
1601280326,9,73
1601282185,7,3
1601284384,11,6
1601286301,8,11
1601288189,15,13
1601290145,13,5
1601292009,7,4
1601294171,8,8
1601296087,13,0
1601298098,9,2
1601299931,4,0
1601301884,12,5
1601303796,9,2
1601305715,8,5
1601307667,5,10
1601309548,12,5
1601311479,4,13
1601313385,9,11
1601315310,6,6
1601317288,11,13
1601319181,11,13
1601321072,14,5
1601323072,7,6
1601324906,13,9
1601328031,12,14
1601329953,22,67
1601331877,10,11
1601333767,13,13
1601335686,11,15
1601337684,16,9
1601339528,12,9
1601341374,11,11
1601343430,10,13
1601345675,17,17
1601347775,14,10
1601349608,5,6
1601351527,13,12
1601353475,9,8
1601355371,7,17
1601357292,10,11
1601359318,9,11
1601361132,15,10
1601363085,13,350
1601365010,14,12
1601366954,17,10
1601368851,11,6
1601370760,6,11
1601372648,9,9
1601374855,11,17
1601376752,11,12
1601378685,11,7
1601380577,10,7
1601382497,16,13
1601384613,11,9
1601386595,11,7
1601388501,12,10
1601390411,5,9
1601392361,3,8
1601394252,10,6
1601396173,15,10
1601398116,8,9
1601400014,15,9
1601401932,9,4
1601403972,41,15
1601406223,5,7
1601408189,11,14
1601410118,13,10
1601412013,5,14
1601413930,9,5
1601415875,17,20
1601418024,10,14
1601419930,13,12
1601421853,12,12
1601423800,16,14
1601425716,8,12
1601427714,12,14
1601429530,5,6
1601431708,9,15
1601433613,12,13
1601435599,25,3
1601437454,10,11
1601439466,11,13
1601441287,15,7
1601443230,9,8
1601445131,8,7
1601447075,9,14
1601448976,10,12
1601450887,15,13
1601453772,12,27
1601455711,10,9
1601457871,33,9
1601459803,11,12
1601461710,14,6
1601464570,13,17
1601466487,16,9
1601468465,12,17
1601470334,16,5
1601472255,10,13
1601474194,11,12
1601476089,12,8
1601478059,10,3
1601480004,10,7
1601481865,18,16
1601483796,9,10
1601485699,5,7
1601487613,7,14
1601489772,9,45
1601491928,20,7
1601493852,1732,5
1601495797,3244,8
1601497688,1687,8
1601499685,7,5
1601501531,7,10
1601504407,13,7
1601506329,9,12
1601508276,8,8
1601510180,9,16
1601512088,86,6
1601514081,10,9
1601515958,3,3
1601517819,1,4
1601519795,12,12
1601521700,39,8
1601523860,123,22
1601526070,120,7
1601527955,400,8
1601529883,149,5
1601532427,394,7
1601534334,386,9
1601536481,443,9
1601538373,465,10
1601540249,325,4
1601542179,421,7
1601544056,252,24
1601545973,15,7
1601547872,4,10
1601549800,746,4
1601551753,624,4
1601554585,779,9
1601556507,589,12
1601558459,403,4
1601560342,758,6
1601562281,753,5
1601564216,659,5
1601566119,704,8
1601568077,800,8
1601569979,597,3
1601571832,731,2
1601573767,325,4
1601575592,195,3
1601577402,184,4
1601579299,150,102
1601581229,198,715
1601583156,186,896
1601585053,258,335
1601587219,232,7
1601589167,174,3
1601591055,197,8
1601592981,169,6
1601594914,167,4
1601596883,259,4
1601598755,219,7
1601600930,171,8
1601602846,203,2
1601604776,237,1
1601606678,266,17
1601608578,180,40
1601610496,191,114
1601612678,4,126
1601614570,5,319
1601616490,5,139
1601618533,3,252
1601620591,3,280
1601622764,5,362
1601624656,4,390
1601626570,3,313
1601628514,1,418
1601630459,3,283
1601632439,9,13
1601634251,3,1
1601636206,13,281
1601638098,113,219
1601640976,221,224
1601642913,219,400
1601644811,399,297
1601646736,308,357
1601648675,360,406
1601650580,406,316
1601652765,314,399
1601654699,400,385
1601656608,376,316
1601658547,316,332
1601660458,336,9
1601662369,7,4
1601664315,4,4
1601666198,3,10
1601668109,3,11
1601670086,8,7
1601671944,21,7
1601673877,2,9
1601675840,9,5
1601677710,1263,1
1601679749,9,5
1601681559,7,5
1601683512,29,9
1601685395,890,8
1601687322,957,7
1601689236,1096,8
1601691377,861,11
1601693293,953,6
1601695209,1032,1
1601697130,1432,4
1601699076,1127,3
1601700976,1117,3
1601702891,977,1
1601704846,1131,2
1601706734,1188,1
1601708894,115,4
1601710811,4,2
1601712757,7,2
1601714651,3,1
1601716570,4,0
1601718516,4,8
1601720410,28,1
1601722329,2,1
1601724276,0,3
1601726170,5,1
1601728088,4,4
1601730068,5,3
1601731930,5,7
1601733852,2,7
1601735795,130,5
1601737696,638,9
1601739611,491,1
1601741557,477,6
1601743453,408,3
1601745369,2,7
1601747314,2,4
1601749210,3,7
1601751132,4,2
1601753081,2,4
1601754969,1,2
1601756890,4,1
1601758895,4,3
1601760732,37,7
1601762653,6,6
1601764593,9,782
1601766492,0,6
1601768414,2,6
1601770353,0,161
1601772249,5,874
1601774170,0,890
1601776119,5,970
1601778013,1,666
1601779932,10,820
1601781994,6,1062
1601784073,8,1407
1601785930,5,964
1601787850,5,963
1601789793,7,985
1601791688,3,1039
1601793607,50,978
1601795559,50,3
1601797450,2,5
1601799366,4,6
1601801312,5,3
1601803206,12,4
1601805127,6,6
1601807076,4,39
1601808969,33,11
1601810889,12,57
1601812845,57,32
1601814729,34,76
1601816650,75,80
1601818599,81,102
1601820494,100,134
1601822410,134,222
1601824361,218,228
1601826248,238,21
1601828168,23,42
1601830115,42,75
1601832005,73,57
1601833926,60,67
1601835876,68,46
1601837772,45,67
1601839686,68,74
1601841647,77,3
1601843531,2,2
1601845711,4,6
1601847658,62,41
1601849578,5,5
1601851468,5,6
1601853382,8,3
1601855348,2,3
1601857254,5,0
1601859145,5,5
1601861101,8,1024
1601863000,6,909
1601864910,10,687
1601866903,3,851
1601868758,3,272
1601870925,10,8
1601872838,6,5
1601874790,6,5
1601876651,3,5
1601878575,5,2
1601880532,6,83
1601882446,84,7
1601884356,9,2
1601886295,9,1
1601888223,6,5
1601890116,9,15
1601892087,795,7
1601893962,1641,9
1601896098,1639,25
1601898011,1725,50
1601899962,1581,127
1601901853,1689,187
1601903773,1072,334
1601905719,285,347
1601907616,227,363
1601909534,1241,290
1601911479,285,431
1601913370,344,85
1601915532,319,148
1601917458,148,207
1601919406,175,263
1601921296,91,300
1601923214,261,248
1601925161,284,396
1601927051,240,234
1601928972,367,2
1601930916,291,1
1601932811,2,3
1601934729,8,72
1601936683,5,3
1601938570,4,4
1601940736,8,4
1601942653,2,4
1601944603,5,5
1601946494,6,5
1601948414,4,4
1601950360,4,4
1601952254,4,6
1601954172,8,3
1601956305,10,3
1601958277,5,4
1601960170,8,6
1601962088,3,1
1601964094,4,4
1601965940,5,0
1601967858,5,2
1601969796,1,5
1601971697,17,10
1601973611,5,2
1601975562,7,5
1601977452,5,5
1601979374,7,1442
1601981318,3,1709
1601983211,36,1415
1601985134,37,1740
1601987077,76,1706
1601988970,118,1642
1601990893,169,400
1601992850,699,663
1601994737,1208,821
1601996654,710,928
1601998599,1009,920
1602000494,1283,859
1602002418,1227,430
1602004357,342,217
1602006251,3,195
1602008170,7,158
1602010116,6,363
1602012012,8,318
1602013933,10,313
1602015878,10,449
1602017770,8,223
1602019723,4,3
1602021630,8,8
1602023534,6,4
1602025479,9,8
1602027377,4,2
1602029297,5,3
1602031237,4,10
1602033377,5,7
1602035290,2,7
1602037237,10,6
1602039135,8,3
1602041053,3,12
1602042998,6,6
1602044895,7,9
1602046857,8,7
1602048767,7,5
1602050655,13,2
1602052577,14,7
1602054528,13,7
1602056413,17,1389
1602058334,9,8
1602060278,5,4
1602062172,9,8
1602064334,3,5
1602066252,3,6
