DateTime,Entries,UniqueIPs
1601091614,939,939
1601093533,933,933
1601095478,940,940
1601097384,926,926
1601099306,918,918
1601101261,921,921
1601103140,916,916
1601105069,1080,1080
1601107014,1088,1088
1601108917,1223,1223
1601110903,1224,1224
1601112779,1223,1223
1601114993,1227,1227
1601116842,1187,1187
1601118734,1187,1187
1601120680,1196,1196
1601122578,1197,1197
1601124497,2401,2401
1601126409,3191,3191
1601128371,4769,4769
1601130464,5531,5531
1601132432,6256,6256
1601134331,7621,7621
1601136160,9268,9268
1601138056,9990,9990
1601139913,10000,10000
1601142001,9999,9999
1601143958,9998,9998
1601145879,9995,9995
1601147772,9993,9993
1601149693,9997,9997
1601151662,10009,10009
1601153530,10015,10015
1601155457,10011,10011
1601157393,10006,10006
1601159290,10003,10003
1601161265,10005,10005
1601163152,9995,9995
1601165072,10003,10003
1601167014,10004,10004
1601168915,9995,9995
1601170991,10003,10003
1601172840,9996,9996
1601174730,9996,9996
1601176599,9948,9948
1601178495,9949,9949
1601180435,9949,9949
1601182340,9955,9955
1601184275,9961,9961
1601186203,9960,9960
1601188093,9962,9962
1601190056,9959,9959
1601191975,9798,9798
1601193905,9863,9863
1601195796,9777,9777
1601197691,9775,9775
1601199618,9779,9779
1601201564,9779,9779
1601203505,9776,9776
1601205610,9770,9770
1601207529,9769,9769
1601209486,9759,9759
1601211369,8045,8045
1601213296,7289,7289
1601215263,5837,5837
1601217133,5358,5358
1601219084,4515,4515
1601220992,2980,2980
1601222889,1378,1378
1601224839,883,883
1601226741,882,882
1601228655,876,876
1601230593,877,877
1601232488,880,880
1601234410,884,884
1601236393,876,876
1601238249,865,865
1601240173,861,861
1601242088,914,914
1601244064,915,915
1601245937,916,916
1601247897,919,919
1601249799,925,925
1601252960,928,928
1601254848,935,935
1601256797,942,942
1601258663,942,942
1601260583,946,946
1601262546,941,941
1601264443,946,946
1601266604,943,943
1601268751,946,946
1601270689,946,946
1601272608,945,945
1601274514,944,944
1601276505,938,938
1601278394,941,941
1601280326,877,877
1601282185,881,881
1601284384,886,886
1601286301,883,883
1601288189,885,885
1601290145,893,893
1601292009,896,896
1601294171,896,896
1601296087,909,909
1601298098,916,916
1601299931,920,920
1601301884,927,927
1601303796,934,934
1601305715,937,937
1601307667,932,932
1601309548,939,939
1601311479,930,930
1601313385,928,928
1601315310,928,928
1601317288,926,926
1601319181,924,924
1601321072,933,933
1601323072,934,934
1601324906,938,938
1601328031,936,936
1601329953,891,891
1601331877,890,890
1601333767,890,890
1601335686,886,886
1601337684,893,893
1601339528,896,896
1601341374,896,896
1601343430,893,893
1601345675,893,893
1601347775,897,897
1601349608,896,896
1601351527,897,897
1601353475,898,898
1601355371,888,888
1601357292,887,887
1601359318,885,885
1601361132,890,890
1601363085,553,553
1601365010,555,555
1601366954,562,562
1601368851,567,567
1601370760,562,562
1601372648,562,562
1601374855,556,556
1601376752,555,555
1601378685,559,559
