DateTime,AddedIPs,RemovedIPs
1586364971,0,1
1586366890,0,1
1586371932,0,2
1586373864,2,0
1586384414,4,2
1586390237,0,3
1586392136,1,4
1586394213,15,0
1586400030,0,3
1586401952,7,3
1586403870,2,0
1586405806,1,0
1586409613,0,4
1586411533,0,1
1586415383,2,0
1586417570,1,0
1586421406,0,4
1586430985,0,3
1586438654,6,0
1586440587,7,4
1586448533,0,1
1586460069,1,2
1586467729,3,0
1586470808,0,4
1586478491,0,1
1586481379,0,15
1586489097,0,7
1586490974,0,3
1586501535,0,2
1586503454,0,1
1586524816,0,6
1586526741,0,7
1586546416,0,1
1586552179,0,3
1586695928,1,0
1586774274,1,0
1586783797,0,1
1586858917,0,1
1586861809,1,0
1586923703,1,0
1586933304,1,0
1586940973,1,0
1586949629,0,1
1586965935,1,0
1586989241,1,0
1587006745,1,0
1587010822,0,1
1587021609,0,1
1587027366,0,1
1587033388,1,0
1587052920,1,1
1587075862,0,1
1587093375,0,1
1587118605,0,1
1587137068,0,1
1587520565,1,0
1587605061,0,1
1588022199,1,0
1588079845,2,0
1588110014,0,1
1588175309,0,1
1588181311,1,1
1588184422,2,0
1588276604,0,1
1588591460,0,1
1588618620,1,0
1588639702,0,1
1588702590,0,1
1588826651,1,0
1588911875,0,1
1589001638,1,0
1589086334,0,1
1589144901,1,0
1589174665,1,0
1589232019,0,1
1589257934,0,1
1589298492,1,0
1589384414,0,1
1589955628,1,0
1589990056,1,0
1590042071,0,1
1590112566,2,0
1590171385,0,1
1590234012,0,1
1590620582,0,1
1590665556,1,0
1590679278,1,0
1590736114,1,0
1590751706,0,1
1590754593,1,0
1590766340,0,1
1590768292,1,0
1590810738,1,0
1590821292,0,1
1590839776,0,1
1590854187,0,1
1590867861,1,0
1590902411,0,1
1590951374,0,1
1591360088,1,0
1591444570,0,1
1591470973,1,0
1591549691,1,0
1591557369,0,1
1591565053,1,0
1591636338,0,1
1591649787,3,0
1591701377,1,0
1591709070,1,0
1591757295,0,1
1591786096,0,1
1591795779,0,1
1591869132,1,0
1591879722,1,0
1591881607,1,0
1591918093,1,0
1591937308,1,0
1591955545,0,1
1591957465,1,0
1591968985,0,1
1591980734,1,0
1591998978,0,1
1592000887,0,2
1592002867,0,1
1592024469,0,1
1592043639,0,1
1592066652,0,1
1592078190,0,1
1592195787,1,0
1592282176,0,1
1592332416,1,0
1592336177,1,0
1592418491,0,1
1592420539,0,1
1592571128,1,0
1592591552,1,0
1592601133,1,0
1592659280,0,1
1592663085,1,0
1592678657,0,1
1592690196,0,1
1592746837,0,1
1592836353,1,0
1592922503,0,1
1593354487,1,0
1593440172,0,1
1593617791,1,0
1593702980,0,1
1594051457,1,0
1594136896,0,1
1594194280,1,0
1594277398,1,0
1594281160,0,1
1594365180,1,1
1594368982,1,0
1594378571,1,0
1594396359,1,0
1594451294,0,1
1594455160,0,1
1594464755,0,1
1594480391,0,1
1594672355,1,0
1594704980,1,0
1594790410,0,1
1594966128,1,0
1595051534,0,1
1595566334,0,1
1595587001,1,0
1595614104,1,0
1595673156,0,1
1595837783,1,0
1595927081,0,1
1596002931,1,0
1596144285,1,0
1596167325,0,1
1596183610,0,1
1596228742,0,1
1596313935,1,0
1596400569,1,1
1596410180,1,0
1596428656,1,0
1596469944,1,0
1596486257,0,1
1596495127,0,1
1596499003,1,0
1596515320,0,1
1596526817,1,0
