DateTime,AddedIPs,RemovedIPs
1600571084,0,1
1600574890,1,0
1600576840,0,2
1600578740,1,1
1600580649,2,1
1600582635,1,0
1600584491,0,1
1600586434,0,1
1600588330,1,1
1600590277,1,0
1600592174,1,0
1600594089,0,1
1600597926,1,1
1600601795,1,2
1600606591,0,1
1600610479,1,0
1600612342,1,0
1600614296,2,0
1600616185,1,1
1600620096,0,1
1600623871,1,1
1600627714,0,1
1600629640,3,0
1600631558,1,0
1600633461,1,0
1600635408,1,0
1600637344,1,0
1600639245,1,0
1600643327,0,1
1600645209,0,1
1600647105,3,1
1600649078,0,1
1600652889,1,2
1600657015,3,0
1600661830,1,1
1600665642,0,2
1600667528,0,2
1600675282,1,1
1600677153,2,1
1600679236,0,1
1600683151,0,1
1600685049,2,0
1600687242,0,1
1600691048,1,0
1600697806,2,1
1600701262,0,3
1600703314,2,1
1600705214,1,0
1600707149,1,0
1600709113,1,1
1600714971,0,1
1600716788,0,2
1600718695,1,1
1600720607,1,2
1600724414,0,1
1600726468,0,1
1600732092,0,1
1600734083,0,2
1600739882,0,1
1600743729,0,3
1600745559,1,0
1600747621,1,1
1600753454,1,0
1600757296,1,0
1600761171,1,1
1600763057,0,1
1600764989,0,1
1600766921,1,0
1600769824,0,1
1600771697,1,1
1600777737,0,1
1600780579,1,0
1600782511,0,1
1600784446,2,1
1600790274,1,2
1600792091,0,1
1600794158,1,2
1600796193,1,0
1600802200,1,0
1600804091,0,1
1600806036,1,0
1600807966,0,1
1600823773,1,0
1600825686,2,0
1600831453,0,1
1600833397,0,1
1600838167,1,0
1600840114,0,1
1600843928,0,1
1600847819,3,1
1600852644,0,1
1600854488,1,0
1600858357,0,1
1600863059,1,0
1600867006,0,1
1600870810,0,2
1600874665,1,0
1600876630,0,1
1600881400,0,2
1600883307,3,0
1600889055,0,1
1600891014,0,1
1600892893,1,0
1600898721,1,0
1600910174,2,1
1600912119,1,2
1600914018,1,0
1600921694,1,0
1600923792,1,0
1600925794,0,1
1600933461,0,2
1600935372,1,1
1600941136,0,1
1600944980,1,0
1600950993,1,1
1600952898,1,0
1600958893,1,0
1600960836,0,1
1600962736,1,0
1600968494,0,1
1600970544,2,2
1600974352,1,0
1600976197,1,0
1600980035,1,1
1600983861,1,0
1600985781,0,1
1600995806,1,1
1600997768,0,1
1600999937,0,2
1601003794,2,0
1601005689,1,0
1601009541,0,2
1601013418,1,0
1601017350,1,0
1601021166,0,1
1601022996,1,0
1601030695,0,1
1601040277,0,2
1601044389,1,1
1601046298,1,0
1601050124,1,1
1601053989,1,0
1601055976,1,2
1601057785,1,0
1601059717,0,1
1601061635,0,1
1601065452,0,1
1601069304,1,1
1601071349,1,0
1601073395,1,0
1601079154,1,0
1601081069,0,1
1601084908,1,0
1601090668,0,3
1601092665,1,0
1601096568,1,0
1601098568,1,1
1601100519,1,0
1601102412,0,1
1601104329,1,0
1601108169,0,1
1601112036,1,0
1601121671,1,0
1601127413,1,0
1601131499,0,1
1601133393,0,1
1601135292,3,1
1601137261,1,0
1601139153,1,0
1601141051,2,1
1601142995,0,1
1601144888,0,1
1601146839,2,0
1601154517,0,1
1601156413,0,1
1601158328,1,0
1601160282,0,1
1601166034,1,1
1601167929,2,0
1601171796,0,1
1601175709,1,0
1601177531,2,0
1601179500,2,1
1601181619,0,1
1601183536,0,1
1601185481,0,1
1601187369,2,0
1601189294,1,0
1601191254,0,1
1601196970,1,0
1601199138,1,1
1601203014,1,0
1601208757,0,1
1601212580,1,0
1601214519,0,1
1601216412,1,0
1601218355,2,0
1601220254,0,2
1601222191,2,1
1601224115,2,1
1601227001,0,1
1601228907,0,2
1601232757,0,1
1601234677,0,1
1601236574,1,0
1601245473,0,1
1601247368,1,0
1601253482,0,3
1601259131,1,0
1601261076,1,0
1601262971,0,2
1601264888,0,2
1601266830,0,1
1601272610,0,1
1601274515,0,1
1601277637,0,1
1601279553,1,0
1601283399,0,1
1601285295,0,1
1601289395,0,1
1601291338,1,0
1601293242,1,0
1601297071,1,0
1601298986,0,1
1601302835,0,1
1601304760,0,2
1601308618,0,2
1601310528,1,2
1601322014,0,1
1601323968,2,0
1601331609,1,0
1601333551,1,1
1601341432,1,0
1601343445,1,0
1601345677,0,1
1601347776,1,1
1601349609,1,0
1601366171,0,1
1601372891,1,0
1601374857,1,0
1601376753,1,0
1601378687,0,2
1601384642,1,1
1601388502,2,0
1601390412,2,0
1601396175,1,1
1601401934,1,0
1601406255,1,0
1601408191,1,0
1601410121,0,2
1601415902,2,0
1601418025,0,1
1601419931,0,1
1601427752,0,1
1601429796,0,1
1601431710,1,0
1601433613,1,1
1601435600,0,1
1601437455,1,0
1601443231,2,0
1601445132,1,0
1601448983,1,0
1601453773,2,0
1601455712,3,0
1601459804,1,1
1601461710,1,1
1601464571,0,1
1601466488,2,0
1601470334,0,1
1601474195,1,2
1601476090,0,1
1601479006,0,1
1601480903,1,0
1601482865,1,1
1601484750,3,0
1601488591,0,1
1601490526,1,0
1601492524,0,1
1601494391,0,1
1601496291,1,0
1601500103,1,0
1601502037,0,1
1601503965,1,1
1601507775,1,0
1601513777,2,0
1601517850,2,1
1601519796,1,1
1601523913,0,1
1601527980,1,1
1601529910,1,1
1601532452,0,1
1601534387,0,1
1601538426,1,1
1601540272,1,1
1601542196,1,3
1601545974,0,1
1601547874,1,1
1601551754,2,0
1601553716,1,2
1601557729,1,0
1601559656,0,1
1601563474,1,0
1601567292,0,1
1601569249,1,1
1601571127,0,3
1601576914,0,1
1601582923,0,1
1601584827,1,0
1601586797,0,1
1601590614,0,1
1601592514,2,0
1601594455,1,1
1601596364,1,0
1601600263,0,2
1601604139,0,2
1601605966,0,1
1601612201,1,0
1601614131,0,1
1601616035,0,1
1601617949,1,0
1601623943,1,1
1601625920,1,1
1601627825,0,1
1601631644,1,0
1601633548,0,1
1601637397,0,2
1601639309,0,1
1601643147,1,1
1601648947,1,1
1601652007,1,0
1601655850,1,1
1601663553,2,0
1601667616,1,0
1601671475,0,1
1601675345,1,0
1601679159,0,3
1601681078,1,0
1601682970,2,1
1601689694,1,0
1601697365,0,1
1601703135,0,1
1601708895,0,1
1601712757,0,1
1601714651,1,0
1601718516,0,1
1601724277,1,0
1601728088,1,0
1601730075,1,1
1601735796,0,2
1601737697,1,0
1601739612,1,0
1601741558,0,1
1601745370,1,0
1601749211,2,1
1601751133,0,1
1601754970,0,1
1601756890,1,0
1601760732,0,1
1601764594,1,0
1601766492,0,1
1601768415,0,1
1601770354,0,1
1601774171,1,0
1601776119,0,1
1601779933,1,0
1601781994,1,0
1601785931,1,0
1601797450,1,0
1601801313,0,1
1601807077,1,0
1601810890,0,1
1601814730,0,1
1601816650,0,1
1601818599,1,0
1601820494,1,0
1601822411,1,0
1601824362,0,1
1601826248,1,1
1601832006,0,1
1601833926,1,0
1601835876,44,2
1601837773,11,0
1601839686,25,0
1601841648,13,1
1601843531,8,0
1601845712,9,0
1601847659,5,0
1601849579,14,0
1601851469,9,1
1601853383,3,0
1601855349,3,0
1601857256,4,0
1601859146,1,0
1601861102,3,1
1601863001,8,0
1601864911,8,0
1601866920,5,2
1601868760,3,0
1601870926,17,0
1601872839,19,1
1601874791,9,0
1601876652,2,0
1601878576,1,0
1601880533,9,0
1601882447,3,0
1601884357,6,1
1601886296,1,0
1601888225,6,0
1601890116,5,0
1601892094,8,1
1601893963,8,0
1601896099,9,0
1601898012,3,0
1601899964,5,0
1601901854,4,0
1601903774,6,1
1601905720,4,1
1601907617,7,0
1601909535,2,1
1601911480,6,1
1601913371,6,0
1601915533,3,0
1601917460,5,0
1601919407,4,1
1601921298,9,0
1601923215,0,51
1601925163,9,19
1601927052,4,19
1601928973,6,9
1601930917,7,8
1601932812,6,7
1601934731,0,5
1601936684,6,15
1601938571,7,5
1601940738,5,6
1601942654,3,1
1601944604,9,3
1601946496,6,4
1601948416,7,3
1601950361,6,11
1601952255,4,4
1601954173,3,5
1601956306,0,3
1601958278,7,29
1601960171,5,8
1601962089,6,7
1601964101,6,2
1601965942,1,6
1601967860,5,3
1601969797,3,8
1601971698,3,1
1601973612,2,2
1601975563,6,7
1601977454,12,7
1601979375,13,7
1601981320,13,10
1601983213,3,6
1601985135,1,3
1601987079,4,6
1601988971,5,4
1601990893,6,4
1601992852,5,3
1601994738,4,7
1601996656,1,3
1601998600,6,7
1602000496,0,5
1602002419,3,2
1602004358,4,5
1602006252,5,7
1602008171,2,6
1602010118,3,1
1602012013,2,11
1602013933,5,2
1602015879,4,6
1602017772,4,8
1602019723,2,4
1602021633,6,2
1602023535,11,5
1602025479,3,7
1602027378,4,4
1602029298,5,3
1602031237,9,11
1602033378,5,6
1602035291,9,7
1602037239,9,6
1602039136,1,4
1602041054,3,1
1602042999,18,0
1602044896,2,8
1602046876,4,5
1602048769,5,5
1602050656,0,6
1602052578,8,1
1602054530,12,5
1602056414,12,4
1602058335,2,2
1602060279,11,5
1602062173,3,3
1602064335,19,13
1602066253,5,19
