DateTime,AddedIPs,RemovedIPs
1600993693,0,1
1600995891,1,1
1600999939,0,1
1601001879,1,0
1601003795,2,0
1601005690,0,1
1601007640,0,1
1601009542,2,0
1601013419,1,1
1601015306,1,2
1601017392,1,2
1601019215,1,1
1601022998,1,0
1601026812,1,0
1601028801,2,4
1601030696,1,3
1601032614,3,0
1601034516,6,2
1601036485,2,0
1601038381,2,1
1601040278,2,3
1601042257,2,0
1601046341,1,2
1601048213,0,2
1601050126,0,1
1601055982,1,0
1601057786,2,0
1601059718,2,0
1601061636,1,0
1601063530,1,1
1601065453,0,1
1601067396,1,2
1601069305,2,0
1601071400,1,1
1601073396,2,2
1601075292,0,1
1601077213,1,1
1601079155,0,1
1601081070,1,0
1601083004,0,1
1601086850,1,0
1601088739,2,2
1601090669,1,1
1601092666,1,0
1601094533,1,1
1601096569,1,1
1601098569,0,1
1601102413,1,2
1601104330,2,0
1601106278,5,1
1601108170,1,0
1601110098,0,1
1601112037,0,1
1601113928,2,0
1601115855,2,3
1601117835,1,1
1601119727,0,2
1601121727,0,8
1601123585,0,2
1601125588,0,1
1601127414,2,3
1601129338,1,0
1601133394,2,1
1601135293,2,0
1601139155,3,0
1601141053,2,1
1601142997,2,0
1601144889,0,2
1601146841,3,2
1601148762,2,2
1601150757,1,0
1601152614,2,0
1601154518,3,1
1601156414,3,2
1601158329,4,1
1601160284,3,2
1601162173,2,0
1601164095,0,1
1601167930,1,1
1601171799,1,0
1601173696,0,1
1601175739,1,3
1601177806,0,1
1601181620,2,1
1601183537,1,1
1601185482,3,0
1601187370,2,0
1601189296,1,2
1601191256,2,3
1601193134,3,2
1601195078,1,1
1601196972,1,1
1601201090,1,2
1601203016,1,3
1601206810,1,0
1601208758,2,0
1601214521,3,2
1601216413,4,1
1601218356,2,0
1601220255,1,2
1601222193,1,2
1601224115,4,0
1601227002,0,5
1601228908,1,1
1601230825,4,1
1601232759,1,3
1601234678,1,1
1601236614,3,2
1601238516,0,2
1601240495,0,2
1601242387,2,4
1601244352,0,4
1601246206,0,2
1601248369,3,3
1601250269,3,0
1601254332,0,1
1601258332,2,1
1601262257,2,1
1601266134,1,0
1601268017,0,2
1601269932,3,1
1601271900,1,3
1601273774,2,2
1601275693,2,1
1601277638,0,2
1601279555,1,3
1601281456,1,1
1601283401,2,1
1601285295,1,0
1601287467,3,1
1601289396,5,1
1601291339,1,0
1601293243,1,1
1601295181,0,2
1601297073,1,0
1601298987,1,0
1601300977,1,3
1601302838,2,4
1601304761,1,2
1601306700,0,1
1601308620,0,1
1601310529,0,4
1601312553,1,0
1601314360,2,1
1601316301,1,2
1601318171,1,2
1601320114,0,1
1601322016,0,3
1601323969,1,1
1601327772,1,1
1601329732,1,1
1601331610,1,0
1601333558,0,2
1601335521,3,3
1601337399,2,1
1601339342,1,0
1601343476,3,2
1601345678,1,0
1601347778,0,1
1601349611,0,1
1601351529,1,0
1601353478,2,1
1601355373,1,3
1601360412,2,3
1601362332,1,2
1601364289,1,0
1601366172,1,1
1601368090,2,1
1601370990,0,2
1601372892,3,3
1601374860,2,0
1601376755,1,6
1601378688,1,1
1601382500,2,1
1601384656,1,1
1601386597,1,1
1601388504,2,1
1601390414,2,0
1601392363,1,1
1601394254,2,0
1601396177,3,0
