DateTime,AddedIPs,RemovedIPs
1600787375,0,1
1600789217,2,1
1600791184,2,0
1600793077,2,0
1600796995,0,1
1600798953,0,1
1600800793,1,1
1600802685,0,1
1600806579,1,0
1600809637,1,3
1600811528,2,2
1600813449,1,2
1600815401,2,1
1600817287,0,2
1600819234,1,1
1600825206,1,1
1600827132,0,1
1600829074,1,3
1600830972,1,0
1600834837,2,0
1600836733,0,2
1600842547,1,0
1600845387,3,3
1600847346,1,0
1600856934,0,1
1600858971,1,0
1600862278,2,1
1600864121,1,0
1600866073,1,3
1600867963,1,1
1600869958,0,1
1600871819,2,1
1600873804,1,0
1600875641,2,2
1600877548,0,1
1600879456,1,1
1600881401,1,0
1600883307,1,0
1600885214,1,0
1600887159,3,2
1600889057,1,0
1600891015,1,0
1600892894,0,1
1600894902,1,1
1600898724,0,1
1600900657,0,1
1600902556,0,1
1600904422,0,2
1600912120,1,0
1600914019,0,1
1600915937,1,2
1600917881,0,1
1600919837,0,1
1600923809,1,0
1600925795,1,0
1600927703,0,2
1600929616,0,1
1600933461,0,2
1600935372,2,0
1600937319,0,1
1600941136,2,0
1600943083,0,1
1600944980,0,1
1600946911,0,1
1600949027,0,1
1600950994,3,0
1600952899,2,1
1600954814,1,1
1600958893,1,0
1600960837,6,2
1600962736,1,1
1600966599,1,0
1600968494,0,2
1600970552,1,0
1600972365,1,2
1600974365,1,1
1600976198,2,1
1600978114,2,1
1600980036,0,1
1600981978,1,5
1600983862,1,0
1600985781,2,1
1600989610,1,0
1600997769,1,0
1601001878,2,1
1601003795,1,0
1601005690,1,0
1601009541,0,1
1601011480,0,1
1601017386,1,0
1601021168,1,2
1601026811,3,1
1601028801,1,1
1601032614,1,0
1601034516,2,0
1601038380,0,3
1601040277,2,2
1601042256,1,1
1601044389,1,0
1601046335,0,1
1601048212,0,3
1601050125,0,3
1601052047,0,1
1601053990,1,0
1601055981,1,0
1601057786,0,1
1601059718,0,1
1601061636,1,1
1601063530,0,4
1601065453,0,1
1601069304,1,2
1601073396,1,5
1601079155,2,0
1601084909,0,1
1601086849,1,1
1601088739,1,2
1601090669,1,3
1601092666,2,0
1601096569,1,0
1601100520,2,0
1601102413,3,1
1601106278,0,1
1601112037,2,1
1601113927,2,1
1601115855,0,1
1601117834,1,1
1601121712,0,2
1601127413,0,3
1601129338,1,0
1601131557,2,2
1601133394,0,1
1601141053,1,1
1601144889,1,0
1601146841,1,1
1601148761,1,0
1601150757,2,0
1601154518,0,1
1601156414,1,0
1601160283,0,1
1601164094,1,0
1601166035,0,2
1601171798,1,0
1601173696,0,1
1601175732,1,1
1601177533,1,1
1601179504,6,2
1601181619,1,0
1601183536,0,1
1601185482,1,0
1601187370,0,3
1601189295,0,2
1601191256,1,0
1601195077,1,0
1601199139,1,2
1601201088,0,2
1601203015,1,0
1601204902,2,1
1601208758,1,0
1601214521,2,1
1601218355,1,2
1601220255,2,0
1601222192,1,0
1601227002,1,1
1601228908,1,0
1601230824,1,1
1601232759,0,1
1601234678,0,1
1601237544,2,3
1601243297,1,1
1601247128,4,0
1601249072,0,1
1601250966,0,1
1601254867,1,0
1601256798,0,1
1601258664,1,0
1601260584,1,1
1601262547,1,0
1601264444,1,8
1601266604,0,2
1601268752,0,1
1601272611,1,1
1601276554,0,1
1601280351,1,2
1601284385,1,0
1601286302,0,1
1601288190,1,0
1601290146,1,1
1601292009,0,2
1601296088,2,0
1601298128,2,0
1601299933,1,0
1601301915,1,1
1601303797,1,1
1601305717,0,1
1601307668,1,3
1601309549,1,0
1601313385,1,0
1601315311,2,1
1601317289,1,1
1601321073,2,0
1601323073,0,1
