DateTime,AddedIPs,RemovedIPs
1600800794,2,0
1600802686,1,1
1600804611,1,0
1600806580,2,0
1600808576,3,2
1600810392,2,3
1600812558,3,4
1600814441,0,3
1600816358,0,2
1600818303,1,3
1600820191,2,2
1600822110,0,1
1600824063,0,1
1600827915,0,1
1600829858,0,1
1600839425,0,1
1600841594,0,2
1600845388,0,4
1600847346,1,3
1600849265,0,2
1600851181,1,3
1600853087,0,3
1600855013,0,5
1600856934,0,2
1600858978,0,2
1600862310,1,4
1600864122,0,1
1600866112,0,2
1600867963,1,1
1600869975,2,2
1600871820,0,1
1600873806,0,1
1600875642,0,2
1600877574,0,1
1600879457,1,1
1600881401,1,0
1600887160,3,1
1600889058,0,1
1600891016,2,1
1600892895,0,2
1600894955,2,2
1600896767,3,1
1600898743,1,3
1600902557,2,0
1600904423,1,1
1600906372,0,2
1600908295,1,0
1600915938,2,0
1600917881,1,0
1600923842,2,0
1600925796,1,0
1600929617,1,0
1600933462,2,1
1600937320,0,1
1600939215,2,0
1600946912,1,1
1600949053,3,0
1600950995,4,0
1600952900,3,0
1600954815,4,2
1600957053,2,1
1600958894,4,0
1600960838,4,0
1600962738,2,0
1600964669,5,0
1600966600,3,1
1600968495,2,1
1600970570,3,0
1600972566,3,1
1600974372,2,2
1600976199,1,0
1600978115,2,2
1600980037,1,2
1600981979,2,0
1600983863,3,3
1600985782,2,0
1600987728,4,1
1600989611,2,1
1600991785,2,1
1600993693,1,0
1600995899,2,1
1600999939,4,0
1601001879,1,2
1601003796,1,1
1601007641,3,0
1601009542,0,1
1601011481,3,2
1601013419,2,0
1601015307,2,1
1601017396,2,0
1601019216,1,2
1601022998,1,0
1601024898,0,2
1601028802,3,0
1601030697,1,0
1601032615,0,1
1601034517,1,1
1601036485,0,4
1601038382,0,3
1601040278,0,3
1601042257,0,4
1601044391,0,3
1601046354,1,4
1601048213,1,3
1601050127,1,4
1601052048,0,4
1601053991,0,1
1601055984,0,4
1601057787,1,3
1601059718,4,2
