DateTime,Entries,UniqueIPs
1601092669,1462,1462
1601094534,1459,1459
1601096572,1457,1457
1601098570,1466,1466
1601100522,1470,1470
1601102416,1467,1467
1601104331,1462,1462
1601106280,1455,1455
1601108172,1448,1448
1601110100,1426,1426
1601112039,1382,1382
1601113929,1317,1317
1601115857,1361,1361
1601117836,1420,1420
1601119734,1445,1445
1601121780,1451,1451
1601123586,1485,1485
1601125686,1573,1573
1601127635,1689,1689
1601129531,1728,1728
1601131640,1914,1914
1601133611,1947,1947
1601135553,1971,1971
1601137452,1991,1991
1601139395,2020,2020
1601141288,2035,2035
1601144170,2008,2008
1601146091,2014,2014
1601148033,2034,2034
1601149936,2055,2055
1601151850,2061,2061
1601153793,2078,2078
1601155688,2089,2089
1601157632,2090,2090
1601159554,2102,2102
1601161478,2115,2115
1601163383,2137,2137
1601165314,2151,2151
1601167213,2153,2153
1601169130,2157,2157
1601170993,2164,2164
1601172841,2162,2162
1601174732,2160,2160
1601176602,2173,2173
1601178496,2237,2237
1601180438,2264,2264
1601182342,2273,2273
1601184279,2286,2286
1601186208,2305,2305
1601188094,2320,2320
1601190119,2343,2343
1601191977,2295,2295
1601193927,2395,2395
1601195798,2398,2398
1601197693,2397,2397
1601199623,3313,3313
1601201566,3328,3328
1601203512,3309,3309
1601205612,3302,3302
1601207532,3305,3305
1601209489,3287,3287
1601211371,3262,3262
1601213297,3203,3203
1601215285,3163,3163
1601217134,3022,3022
1601219085,2900,2900
1601220993,2865,2865
1601222890,2841,2841
1601224872,2823,2823
1601226742,2798,2798
1601228657,2787,2787
1601230595,2769,2769
1601232490,2760,2760
1601234412,2743,2743
1601236395,2731,2731
1601238251,2731,2731
1601240183,2720,2720
1601242090,2704,2704
1601244087,2696,2696
1601245939,2689,2689
1601247914,2683,2683
1601249833,2664,2664
1601253017,2769,2769
1601254905,2806,2806
1601256799,2786,2786
1601258666,2779,2779
1601260585,2795,2795
1601262548,2804,2804
1601264446,2764,2764
1601266606,2750,2750
1601268754,2742,2742
1601270692,2739,2739
1601272613,2725,2725
1601274518,2717,2717
1601276585,2690,2690
1601278396,2539,2539
1601280354,2680,2680
1601282187,2678,2678
1601284386,2674,2674
1601286307,1739,1739
1601288191,1736,1736
1601290147,1733,1733
1601292011,1718,1718
1601294174,1699,1699
1601296092,1695,1695
1601298179,1691,1691
1601300195,1678,1678
1601302112,1665,1665
1601304011,1656,1656
1601305955,1641,1641
1601307852,1639,1639
1601309796,1638,1638
1601311686,1624,1624
1601313630,1593,1593
1601315528,1574,1574
1601317452,1569,1569
1601319396,1560,1560
1601321299,1549,1549
1601323473,1536,1536
1601325374,1528,1528
1601327333,1515,1515
1601329215,1520,1520
1601331161,1519,1519
1601333067,1509,1509
1601334976,1508,1508
1601336917,1506,1506
1601338810,1443,1443
1601340736,1334,1334
1601342681,1340,1340
1601344571,1399,1399
1601346813,1390,1390
1601348922,1374,1374
1601350847,1354,1354
1601352814,1348,1348
1601354658,1355,1355
1601356573,1356,1356
