DateTime,AddedIPs,RemovedIPs
1600184411,0,1
1600192099,1,3
1600194104,1,0
1600204859,0,1
1600206733,1,0
1600212521,1,0
1600220468,1,0
1600228350,1,0
1600232241,1,0
1600243011,0,1
1600253137,0,1
1600255071,1,0
1600260770,0,1
1600262709,0,3
1600266769,1,0
1600268732,1,0
1600274481,1,0
1600278278,0,1
1600280237,1,1
1600286004,1,0
1600291731,1,0
1600293794,2,1
1600299641,0,1
1600306570,0,1
1600314285,1,1
1600318334,1,1
1600326138,1,0
1600333797,2,0
1600335616,1,0
1600341376,0,1
1600349084,1,0
1600351019,1,0
1600352930,0,1
1600356995,0,1
1600360809,1,1
1600366568,0,1
1600368738,1,0
1600372618,0,1
1600379289,0,1
1600381211,0,2
1600390895,1,0
1600394667,2,0
1600400410,0,1
1600406177,0,1
1600410039,1,0
1600413870,0,1
1600415834,1,0
1600419669,0,2
1600421557,0,1
1600427572,2,0
1600435208,0,1
1600439076,1,0
1600442893,1,1
1600444904,1,0
1600446730,0,1
1600456375,1,1
1600478222,0,1
1600480105,0,2
1600482029,1,0
1600485877,1,0
1600487798,3,0
1600495572,0,1
1600503387,0,1
1600509151,1,0
1600511086,2,0
1600512995,0,1
1600516962,1,0
1600520891,0,1
1600522836,1,0
1600524767,1,1
1600530518,1,2
1600542056,0,1
1600557375,1,0
1600569397,0,1
1600571298,1,1
1600573240,0,2
1600575130,1,1
1600577049,2,0
1600596253,1,2
1600598197,3,1
1600602008,0,1
1600607814,0,1
1600611609,0,1
1600619316,12,0
1600622203,12,0
1600624088,12,0
1600642931,0,2
1600658958,0,1
1600660874,0,1
1600662774,0,2
1600668527,1,0
1600676213,1,0
1600678108,1,0
1600681958,0,1
1600683856,3,2
1600685786,0,1
1600687693,1,0
1600701263,1,0
1600705215,1,0
1600707150,0,12
1600709129,0,6
1600711063,0,18
1600712893,1,0
1600714980,1,0
1600722534,1,0
1600737633,1,0
1600743399,1,0
1600754204,0,1
1600762817,0,1
1600764757,0,1
1600770538,0,3
1600773406,1,1
1600784925,2,0
1600791609,0,1
1600793529,1,0
1600799317,0,1
1600802202,0,1
1600807967,0,1
1600815853,1,1
1600821736,0,1
1600831455,1,0
1600833398,0,1
1600842014,1,0
1600845879,1,0
1600847833,1,0
1600853530,1,0
1600857373,1,1
1600871304,0,2
1600881851,0,1
1600887645,1,0
1600891453,1,0
1600903002,0,1
1600904901,1,0
1600908752,1,0
1600916513,1,0
1600918366,0,1
1600929888,0,1
1600931806,0,1
1600933739,0,1
1600943311,0,1
1600960838,1,0
1600964670,1,0
1600972567,0,1
1600976200,0,1
1600985784,2,0
1600987729,1,0
1600989612,1,0
1600991786,1,1
1600995910,0,1
1600997771,1,0
1601003797,0,1
1601007642,1,0
1601015310,1,0
1601017399,1,0
1601021171,1,1
1601034519,1,0
1601040279,1,0
1601042259,1,0
1601046368,1,1
1601052049,0,1
1601055998,1,0
1601071428,0,2
1601075293,0,2
1601081072,0,1
1601094534,1,1
1601100522,2,0
1601102416,2,1
1601104332,0,1
1601106280,0,1
1601108172,2,0
1601112039,4,0
1601113929,3,0
1601115858,3,0
1601117837,3,0
1601119735,1,1
1601123769,2,1
1601127636,1,0
1601129531,1,1
1601131651,1,1
1601135553,1,0
1601137453,1,0
1601139395,4,0
1601141289,2,1
1601149937,2,0
1601151850,3,0
1601157637,1,0
1601163384,3,0
1601167213,2,0
1601170994,1,0
1601172842,1,0
1601174732,4,0
1601178497,1,0
1601180438,1,2
1601186208,2,2
1601190143,2,2
1601191977,1,0
1601193931,2,1
1601195798,0,1
1601197693,0,1
1601199623,0,5
1601201567,1,2
1601203512,1,3
1601205613,0,2
1601209489,2,2
1601213298,1,0
1601215298,0,2
1601219086,1,1
1601222890,1,2
1601224872,0,3
1601226742,2,2
1601228658,0,1
1601232490,2,0
1601236395,1,3
1601238251,3,1
1601240183,0,1
1601244090,0,1
1601245940,1,0
1601249833,0,3
1601253041,0,1
1601254918,0,1
1601258667,0,2
1601260586,0,3
1601262549,1,1
1601264446,0,1
1601266606,1,1
1601270692,1,0
1601272613,1,1
1601276594,0,2
1601278396,1,1
1601280355,0,2
1601282187,1,0
1601286308,1,0
1601288191,3,1
1601290148,2,1
1601292011,1,0
1601294174,2,0
1601296092,1,2
1601300195,0,1
1601302112,1,0
1601304011,2,1
1601305955,2,0
1601311686,1,1
1601313631,0,2
1601315528,1,0
1601317452,2,1
1601319396,1,1
1601321299,0,1
1601325374,0,3
1601327333,1,0
1601329215,2,0
1601331162,1,1
1601338811,1,0
1601340736,1,0
1601348922,2,1
1601352814,3,1
1601354658,1,0
1601356574,0,1
1601358519,0,1
1601366174,0,1
1601368091,0,1
1601374860,0,4
1601376756,1,2
1601378689,0,2
1601380580,1,1
1601382501,2,1
1601386598,1,1
1601388504,1,1
1601390416,0,2
1601392364,1,2
1601398118,0,1
1601401936,0,1
1601403975,1,2
1601406298,0,1
1601412017,0,1
1601415906,0,2
1601418028,3,1
1601421856,1,0
1601423803,0,1
1601425719,1,0
1601427850,0,1
1601435623,1,2
1601437458,1,0
1601439480,0,3
1601441290,1,1
1601445136,2,0
1601447078,1,0
1601450903,1,0
1601458841,1,0
1601460737,1,0
1601462678,0,1
1601464573,1,0
1601468476,0,2
1601470336,1,1
1601472273,0,1
1601474197,2,0
1601476092,1,0
1601478221,1,0
1601480167,1,1
1601483799,1,0
1601485702,1,0
1601489774,0,1
1601491929,1,0
1601500813,2,0
1601502730,1,0
1601504680,1,3
1601506573,1,0
1601508495,1,1
1601511618,1,1
1601515693,1,0
1601517997,1,0
1601519800,2,0
1601521703,1,1
1601524048,0,1
1601527982,1,1
1601529913,1,0
1601532550,1,2
1601534467,0,1
1601537684,1,1
1601539643,1,0
1601545453,0,1
1601547400,1,1
1601549433,2,0
1601551481,0,2
1601553414,2,1
1601555290,1,0
1601558188,3,1
1601560096,1,1
1601562045,1,0
1601563938,1,3
1601565884,1,1
1601569694,0,1
1601571891,0,1
1601577608,0,1
1601583376,1,0
1601585322,0,1
1601587223,1,1
1601589174,1,1
1601592996,0,1
1601594917,1,1
1601598031,0,1
1601599946,0,1
1601601857,1,1
1601603849,2,1
1601605719,0,2
1601607712,2,1
1601614576,0,2
1601616494,1,0
1601618631,0,1
1601622769,1,1
1601624658,1,0
1601626573,1,1
1601630471,1,0
1601634491,0,1
1601636597,1,2
1601640515,1,2
1601642658,2,3
1601644577,1,1
1601646532,0,1
1601648426,2,1
1601650360,2,1
1601652289,1,1
1601656116,4,0
1601660460,1,0
1601664324,1,0
1601668112,2,0
1601670090,0,1
1601673879,0,1
1601675843,0,1
1601679853,1,0
1601681796,0,1
1601685851,1,0
1601689696,1,2
1601691635,2,1
1601693653,0,2
1601695479,2,0
1601699291,1,0
