DateTime,Entries,UniqueIPs
1601085879,1369,1369
1601087837,1383,1383
1601089800,1392,1392
1601091614,1383,1383
1601093534,1392,1392
1601095479,1379,1379
1601097385,1379,1379
1601099307,1386,1386
1601101262,1396,1396
1601103142,1418,1418
1601105070,1412,1412
1601107023,1420,1420
1601108918,1420,1420
1601110936,1414,1414
1601112780,1432,1432
1601115005,1443,1443
1601116842,1448,1448
1601118735,1446,1446
1601120681,1417,1417
1601122589,1404,1404
1601124498,1413,1413
1601126410,1376,1376
1601128380,1365,1365
1601130534,1374,1374
1601132471,1383,1383
1601134332,1378,1378
1601136236,1389,1389
1601138058,1393,1393
1601139915,1399,1399
1601142003,1409,1409
1601143960,1403,1403
1601145880,1386,1386
1601147774,1383,1383
1601149695,1374,1374
1601151664,1373,1373
1601153531,1372,1372
1601155458,1378,1378
1601157395,1382,1382
1601159292,1389,1389
1601162174,1379,1379
1601164096,1375,1375
1601166044,1369,1369
1601167931,1369,1369
1601169852,1371,1371
1601171800,1380,1380
1601173697,1374,1374
1601175749,1365,1365
1601177829,1391,1391
1601179715,1396,1396
1601181621,1397,1397
1601183538,1391,1391
1601185483,1376,1376
1601187371,1358,1358
1601189298,1336,1336
1601191266,1327,1327
1601193135,1336,1336
1601195087,1331,1331
1601196974,1327,1327
1601199140,1316,1316
1601201092,1306,1306
1601203025,1312,1312
1601204904,1302,1302
1601206812,1303,1303
1601208759,1307,1307
1601210657,1305,1305
1601212584,1295,1295
1601214523,1298,1298
1601216414,1300,1300
1601218357,1295,1295
1601220256,1311,1311
1601222197,1317,1317
1601224116,1328,1328
1601227026,1318,1318
1601228909,1323,1323
1601230829,1330,1330
1601232768,1348,1348
1601234680,1371,1371
1601236617,1370,1370
1601238517,1376,1376
1601240511,1357,1357
1601242389,1365,1365
1601244363,1357,1357
1601246208,1365,1365
1601248371,1385,1385
1601250271,1380,1380
1601252208,1384,1384
1601254333,1392,1392
1601256255,1394,1394
1601258333,1397,1397
1601260355,1393,1393
1601262258,1383,1383
1601264174,1355,1355
1601266135,1331,1331
1601268020,1327,1327
1601269933,1336,1336
1601271902,1344,1344
1601273784,1348,1348
1601275702,1353,1353
1601277639,1343,1343
1601279555,1347,1347
1601281457,1345,1345
1601283402,1467,1467
1601285297,1493,1493
1601287477,1517,1517
1601289406,1535,1535
1601291340,1558,1558
1601293245,1546,1546
1601295183,1542,1542
1601297074,1557,1557
1601298997,1561,1561
1601300982,1582,1582
1601302840,1594,1594
1601304771,1589,1589
1601306711,1577,1577
1601308624,1583,1583
1601310532,1609,1609
1601312580,1616,1616
1601314566,1619,1619
1601316539,1640,1640
1601318409,1640,1640
1601320333,1636,1636
1601322275,1639,1639
1601324168,1645,1645
1601326334,1672,1672
1601328267,1673,1673
1601330240,1681,1681
1601332101,1676,1676
1601334084,1687,1687
1601335950,1690,1690
1601337938,1692,1692
1601339795,1696,1696
1601341963,1699,1699
1601343854,1698,1698
1601345678,1721,1721
1601347779,1732,1732
1601349611,1716,1716
