DateTime,AddedIPs,RemovedIPs
1600962993,1,1
1600964917,1,0
1600967785,1,4
1600969946,1,2
1600971861,0,4
1600973799,2,3
1600975693,0,2
1600979795,0,1
1600981703,0,2
1600983864,1,2
1600985785,0,3
1600987730,4,1
1600989613,2,2
1600991787,2,2
1600993695,3,0
1600995924,1,2
1600999941,0,1
1601005692,0,1
1601007642,3,1
1601009544,0,3
1601011483,2,1
1601013421,2,1
1601015320,1,0
1601019217,2,1
1601021173,1,1
1601023000,1,0
1601024901,2,0
1601026815,3,1
1601028804,1,0
1601032616,2,1
1601034520,1,0
1601036487,0,1
1601038417,4,0
1601042259,4,1
1601044392,3,0
1601046373,2,1
1601048241,1,1
1601050128,0,1
1601053992,2,1
1601055999,0,1
1601058106,1,0
1601059930,2,2
1601063794,1,0
1601067672,1,0
1601069529,0,1
1601071431,1,0
1601073398,0,2
1601075294,1,2
1601077214,1,3
1601079157,0,1
1601081072,1,3
1601083006,0,1
1601090671,1,0
1601094534,8,3
1601098571,3,1
1601100523,3,2
1601102416,1,1
1601104332,3,0
1601106280,1,3
1601108172,4,1
1601110101,5,1
1601112040,3,2
1601113929,0,2
1601117837,1,2
1601119735,2,0
1601121830,2,1
1601123769,3,4
1601127636,1,3
1601129532,0,4
1601131664,1,2
1601133611,3,0
1601135554,1,1
1601137453,1,0
1601139396,1,1
1601141289,3,1
1601143269,1,1
1601145154,7,1
1601147070,4,0
1601148968,2,1
1601150915,1,0
1601152814,3,1
1601154730,1,0
1601156676,0,1
1601158571,1,0
1601160493,0,1
1601162433,2,0
1601164328,0,1
1601166251,1,0
1601168195,1,1
1601170088,2,0
1601173954,0,1
1601175876,0,1
1601177831,0,2
1601179716,2,3
1601181621,0,5
1601183538,3,0
1601185484,0,3
1601187371,4,2
1601189298,0,1
1601191268,0,2
1601193136,1,1
1601195088,2,3
1601196974,1,7
1601199141,0,1
1601201093,1,0
1601203026,3,0
1601204904,3,1
1601206813,3,4
1601208759,1,2
1601210657,4,1
1601212584,2,4
1601216415,1,0
1601218357,2,3
1601220256,2,2
1601222197,2,0
1601224117,4,1
1601227032,2,2
1601228910,0,2
1601230829,0,4
1601232769,0,6
1601234680,0,3
1601238517,2,3
1601240514,0,2
1601242389,4,0
1601244364,7,1
1601246209,2,0
1601248371,2,1
1601256256,2,1
1601258333,2,0
1601264174,5,0
1601266136,3,0
1601268020,4,0
1601269934,4,0
1601271903,2,0
1601273785,1,0
1601275702,1,0
1601277640,1,0
1601279556,2,0
1601281457,2,0
1601283402,1,0
1601295183,1,0
1601297074,1,11
1601302841,2,0
1601308624,2,0
1601310533,2,0
1601312583,1,0
1601314566,1,0
1601316539,1,0
1601318410,3,0
1601320333,2,0
1601322276,3,1
1601324169,1,1
1601326335,1,34
1601328268,1,3
1601330243,3,7
1601332101,1,2
1601334101,1,3
1601335950,1,0
1601337940,1,0
1601339795,1,0
1601341963,0,1
1601343855,0,3
1601345679,1,0
1601347779,1,0
1601349612,1,3
1601351530,0,3
1601353480,1,3
1601355374,0,3
1601357296,0,4
1601359339,0,3
1601361395,3,0
1601363290,0,3
1601365210,0,2
1601367155,1,1
1601369052,2,0
1601370991,7,1
1601372894,2,0
1601376756,3,0
1601378689,1,0
1601380581,2,0
1601382501,0,2
1601388505,0,1
1601390417,0,1
1601392364,0,1
1601394255,0,2
1601396178,1,2
1601398119,0,1
1601400018,5,1
1601403975,0,6
1601406309,0,2
1601408194,0,4
1601410124,2,1
1601412017,3,0
1601413964,0,2
1601415907,3,1
1601418028,2,3
1601419934,1,1
1601421857,1,1
1601423804,1,0
1601425719,1,2
1601431714,0,1
1601433618,2,0
1601435623,4,2
1601437459,3,0
1601439519,4,1
1601441553,2,0
1601443453,6,0
1601447315,3,2
1601450194,12,2
1601452143,2,1
1601454091,1,2
1601455959,1,3
1601457891,1,6
1601459806,1,0
1601461712,2,0
1601464574,0,3
1601466494,5,2
1601468477,2,1
1601474198,1,0
1601480168,2,0
1601482018,0,1
1601484013,2,0
1601485985,1,4
1601487877,1,0
1601489775,1,0
1601491930,3,0
1601493855,5,0
1601495810,4,1
1601497691,4,0
1601500814,1,3
1601502730,0,4
1601504681,2,1
1601506584,2,1
1601508495,5,1
1601510548,4,1
1601512594,0,1
1601518372,0,1
1601520263,1,1
1601522209,3,4
1601524131,2,3
1601526097,4,3
1601527983,1,2
1601529914,2,6
1601532565,2,2
1601534479,2,2
1601537745,0,14
1601539665,2,0
1601541699,2,2
1601545474,0,2
1601547400,1,1
1601549434,1,1
1601553415,2,5
1601555291,0,2
1601558189,4,0
1601560097,1,0
1601562053,0,2
1601563939,4,0
1601565885,0,2
1601567836,1,0
1601569704,1,2
1601573770,1,2
1601575631,0,1
1601577609,4,3
1601579561,3,4
1601581474,1,5
1601583377,0,1
1601585323,1,3
1601587223,1,0
1601589193,1,0
1601591059,0,2
1601592997,0,2
1601594918,3,5
1601597003,2,3
1601598968,1,0
