DateTime,AddedIPs,RemovedIPs
1598153797,0,1
1598190524,1,0
1598213778,1,0
1598219777,0,1
1598221939,2,0
1598223859,2,0
1598227732,0,1
1598271884,1,0
1598273773,1,0
1598275693,0,1
1598277737,0,1
1598283405,4,0
1598300187,1,0
1598302099,1,1
1598305936,1,0
1598321557,1,0
1598348654,1,0
1598352543,0,1
1598354441,1,1
1598356331,0,1
1598358277,0,2
1598360171,0,1
1598387566,1,1
1598389475,1,0
1598391401,1,1
1598405108,1,0
1598414908,0,1
1598420678,1,0
1598424518,0,1
1598439773,0,1
1598441811,0,1
1598447574,1,0
1598459772,0,4
1598479730,0,1
1598493129,1,0
1598500646,0,1
1598504580,0,1
1598506398,0,1
1598545468,1,0
1598558955,1,0
1598591543,1,0
1598597326,0,1
1598601194,1,0
1598609056,1,0
1598614813,1,0
1598616738,3,0
1598632842,0,1
1598653915,0,2
1598661199,0,1
1598669074,1,0
1598701736,1,0
1598711326,0,1
1598713328,1,0
1598715213,0,1
1598722815,0,1
1598734404,1,0
1598740166,1,0
1598748012,0,1
1598751906,1,0
1598763748,1,0
1598775133,0,1
1598792610,0,1
1598808034,0,1
1598815704,1,0
1598821688,0,1
1598827460,0,1
1598829366,1,0
1598831314,1,0
1598835130,0,1
1598838970,0,3
1598845753,1,0
1598847645,2,0
1598849536,0,1
1598864743,1,0
1598914336,0,1
1598918241,1,0
1598928258,1,0
1598937903,0,1
1598943804,2,0
1598947865,1,0
1598949897,0,1
1598951775,0,1
1598975302,2,0
1598981059,1,0
1598987772,1,1
1598991638,1,0
1598999531,1,0
1599003369,0,1
1599014927,0,1
1599018737,0,1
1599027370,1,0
1599031269,0,1
1599033155,0,1
1599037010,1,0
1599048173,0,2
1599064331,1,0
1599066552,0,2
1599074169,0,1
1599076120,1,0
1599079966,0,1
1599083837,1,0
1599093642,1,1
1599101326,1,0
1599116654,0,1
1599126251,0,1
1599144498,2,0
1599146442,1,0
1599150254,1,1
1599152198,2,0
1599156128,1,0
1599161549,1,0
1599163534,1,1
1599167306,3,0
1599169218,0,1
1599173058,1,0
1599179084,1,1
1599186889,0,1
1599198505,1,1
1599236911,0,1
1599241181,1,1
1599243134,2,0
1599245051,1,1
1599250846,1,1
1599252733,0,3
1599254677,2,1
1599256759,1,0
1599260683,0,1
1599266460,1,0
1599268388,0,1
1599270278,0,1
1599272197,1,0
1599274222,0,1
1599276032,1,0
1599279895,0,2
1599285684,0,1
1599301235,1,0
1599330018,0,2
1599340618,0,1
1599342528,0,1
1599344478,0,1
1599348274,1,0
1599350262,1,0
1599352152,0,1
1599354156,0,1
1599357896,0,1
1599361718,0,1
1599363618,1,0
1599373220,1,0
1599385006,1,0
1599386888,0,1
1599388832,0,1
1599398410,1,0
1599402278,1,0
1599414766,1,1
1599425293,1,0
1599434921,1,1
1599438102,6,1
1599439928,6,0
1599450494,0,1
1599460365,0,1
1599471859,0,1
1599473836,1,0
1599475737,1,0
1599485610,0,1
1599499300,1,0
1599501174,0,1
1599503059,1,1
1599505017,1,0
1599526266,0,1
1599528278,1,0
1599530174,1,0
1599536198,0,1
1599538098,0,3
1599540016,0,4
1599541958,0,4
1599549610,0,1
1599561167,0,2
1599568818,1,0
1599584579,0,1
1599590413,0,2
1599600268,1,0
1599618536,0,1
1599632420,0,1
1599659823,4,0
1599667508,1,0
1599673258,0,1
1599689807,1,0
1599695542,1,0
1599707090,1,0
1599741891,1,0
1599751717,1,0
1599753706,1,1
1599763247,1,0
1599774752,1,0
1599782522,1,1
1599788207,1,0
1599790163,0,3
1599792051,0,3
1599793972,0,1
1599814598,1,0
1599816490,2,0
1599830211,1,0
1599832117,1,0
1599839772,0,1
1599841691,1,0
1599847738,1,0
1599869318,0,1
1599873131,0,1
1599894497,0,1
1599896658,0,1
1599900523,0,1
1599902408,1,1
