DateTime,AddedIPs,RemovedIPs
1599570782,2,0
1599574584,0,1
1599582494,2,1
1599584587,1,0
1599588497,0,2
1599598364,1,0
1599600270,1,0
1599602208,1,0
1599608911,1,1
1599612793,0,1
1599614693,0,1
1599616661,1,0
1599620577,0,1
1599622405,1,1
1599630540,2,0
1599632423,1,1
1599634374,1,0
1599640124,0,2
1599642174,0,1
1599644177,2,1
1599650209,0,1
1599654099,1,0
1599655961,1,0
1599657880,0,1
1599659824,0,1
1599667510,0,1
1599671308,0,1
1599673259,2,1
1599675439,1,0
1599677323,1,0
1599685015,0,1
1599686923,0,1
1599688855,0,2
1599692654,1,0
1599694574,0,1
1599704414,0,1
1599706359,1,0
1599708257,1,1
1599715954,1,1
1599717905,2,0
1599719770,0,3
1599727449,1,0
1599729439,0,2
1599740197,0,1
1599744008,0,1
1599751717,1,0
1599753726,1,0
1599758441,2,1
1599760433,0,1
1599762254,1,1
1599764220,0,1
1599769966,2,0
1599773953,1,0
1599777892,0,1
1599779769,2,0
1599781936,1,0
1599787695,1,0
1599793460,1,1
1599799225,1,0
1599803087,1,1
1599804999,0,1
1599807137,1,0
1599809111,2,0
1599812894,1,1
1599816775,0,1
1599831400,0,1
1599841478,0,1
1599843368,1,1
1599845286,1,1
1599849132,0,1
1599851065,1,0
1599852997,0,1
1599856856,0,1
1599860651,2,1
1599866435,0,1
1599872211,1,0
1599874090,1,0
1599877237,0,1
1599881055,0,1
1599883000,2,0
1599884911,1,1
1599886877,1,0
1599888784,0,1
1599890751,2,0
1599892613,0,1
1599894520,0,1
1599898569,0,1
1599900524,0,1
1599906277,0,1
1599910088,1,0
1599916049,3,0
1599923769,1,0
1599929551,0,1
1599935303,2,1
1599937389,1,1
1599939430,1,0
1599945159,1,0
1599947050,0,2
1599948979,1,0
1599950915,0,1
1599952807,2,0
1599958591,0,1
1599960489,0,1
1599966565,1,0
1599972254,0,1
1599974202,0,1
1599976091,0,1
1599978254,0,1
1599985283,0,1
1599990976,0,1
1599997962,1,1
1600002279,1,3
1600010170,0,1
1600017853,1,0
1600019843,3,0
1600021691,0,1
1600023709,0,1
1600025563,1,2
1600035389,1,1
1600039236,1,0
1600043091,1,2
1600050998,2,0
1600053185,2,1
1600055076,1,0
1600058938,1,0
1600064651,2,0
1600066632,1,0
1600081962,1,0
1600087695,1,0
1600089629,1,0
1600093514,0,1
1600095389,1,0
1600104381,0,1
1600106202,0,2
1600110305,0,2
1600112199,1,0
1600116035,0,1
1600121775,2,0
1600125670,0,2
1600129495,1,1
1600137399,0,1
1600139331,1,2
1600141484,1,0
1600145315,0,1
1600151070,0,2
1600153049,0,1
1600160908,0,1
1600166927,0,1
1600168822,1,1
1600174701,3,1
1600176787,0,1
1600178746,0,1
1600182499,0,1
1600188255,1,0
1600190206,1,0
1600199843,1,1
1600201699,1,0
1600207988,0,1
1600211796,1,1
1600215640,1,1
1600217559,1,0
1600221400,2,0
1600225461,0,1
1600233170,0,1
1600248519,1,0
1600250639,0,1
1600252815,1,0
1600256650,0,1
1600260516,0,3
1600262408,1,0
1600270116,1,0
1600278762,1,0
1600280654,1,0
1600288571,0,1
1600292654,1,0
1600294606,0,1
1600296491,0,1
1600298416,0,1
1600306119,1,0
1600308106,0,3
1600311861,1,0
1600313771,1,0
1600315744,1,0
1600317624,1,0
1600321478,1,0
1600329404,1,0
1600339003,0,1
1600340898,0,1
1600342813,2,0
1600350743,1,0
1600354985,2,0
1600356999,0,1
1600362732,0,1
1600368740,0,1
1600370654,0,1
1600372646,1,0
1600378367,0,3
1600380366,0,1
1600391816,0,1
1600399452,1,1
1600405265,0,1
1600409059,0,1
1600410973,0,1
1600414812,0,1
1600426334,0,1
1600428277,1,0
1600430173,1,1
1600436195,0,1
1600440023,0,1
1600441957,0,1
1600459291,2,0
1600461147,2,0
1600478415,1,0
1600486127,0,1
1600499596,1,0
1600511097,1,0
1600512998,1,1
1600520893,0,1
1600536327,1,0
1600538261,1,0
1600544927,0,1
1600546857,0,3
1600558352,1,0
1600568015,0,1
1600573718,2,0
1600587160,1,0
1600589134,2,0
1600591006,0,1
1600594847,0,1
1600598662,0,1
1600602765,1,0
1600608589,1,0
1600610523,1,0
1600621953,0,1
1600623873,0,1
1600625840,0,1
1600627715,2,0
1600637346,1,0
1600657028,0,1
1600658960,2,0
1600663719,0,1
1600675456,0,2
1600677373,0,1
1600681235,1,0
1600685081,0,1
1600687247,1,0
1600694917,0,1
1600697083,1,0
1600701266,0,1
1600714994,0,2
1600721079,1,0
1600724892,0,1
1600728732,1,0
1600741005,1,0
1600742918,1,0
1600744840,1,0
1600748682,0,1
1600763059,1,0
1600766924,0,1
1600773889,0,1
1600777744,0,1
1600779738,1,0
1600785408,0,1
1600787412,0,1
1600797003,2,0
1600799009,1,0
1600804892,1,0
1600810395,0,1
1600814444,2,0
1600824068,1,0
1600825982,1,0
1600827918,0,1
1600829864,0,1
1600831695,1,0
1600834842,1,0
1600836735,0,1
1600849267,0,1
1600855016,1,0
1600862392,0,1
1600865346,1,0
1600867502,0,1
1600875189,1,0
1600883770,0,3
1600891458,0,1
1600893372,1,0
1600901292,0,1
1600903234,0,1
1600907073,1,0
1600909076,1,0
1600910889,1,1
1600912922,0,1
1600920768,1,0
1600922650,0,1
1600936091,1,0
1600940928,0,1
1600944727,1,0
1600946677,1,0
1600956581,1,0
1600958436,1,0
1600960577,0,1
1600964670,0,1
1600968497,1,0
1600978118,1,1
1600991788,1,1
1600995930,0,1
1600997777,1,1
1601001883,0,1
1601003799,1,0
1601005694,1,0
1601007644,1,1
1601013423,1,0
1601017412,1,0
1601019219,1,0
1601023003,0,1
1601026818,0,1
1601032618,0,1
1601042261,1,1
1601044394,0,1
1601053994,0,1
1601056112,1,0
1601059931,2,0
1601063797,1,0
1601068609,0,1
1601070545,1,0
1601072440,1,0
1601078218,0,1
1601089802,0,2
1601093535,0,1
1601097386,1,0
1601101263,0,1
1601105072,0,2
1601128381,0,1
1601134334,1,0
1601136250,1,0
1601143961,2,0
1601145882,0,3
1601149696,0,1
1601153533,0,1
1601157397,1,1
1601159293,0,1
1601176604,1,0
1601188096,1,1
1601198182,1,0
1601203931,1,0
1601207770,1,0
1601209692,1,0
1601223430,0,1
1601234948,1,2
1601243529,0,1
1601254335,1,0
1601258334,1,0
1601262260,0,1
1601269935,1,0
1601277643,0,1
1601279557,0,1
1601285298,0,1
1601291342,0,1
1601297079,0,1
