DateTime,AddedIPs,RemovedIPs
1598007930,1,0
1598013613,1,0
1598019371,0,1
1598021317,1,0
1598028969,0,2
1598036704,0,1
1598052300,0,1
1598054257,0,1
1598056091,1,1
1598059961,1,0
1598061910,1,0
1598063809,1,0
1598065729,0,1
1598067636,2,0
1598069533,0,1
1598073409,0,1
1598075316,1,1
1598084891,1,0
1598089715,1,0
1598095478,0,1
1598099542,0,1
1598107214,0,1
1598112972,1,0
1598120683,1,0
1598130250,1,0
1598136011,1,0
1598142009,1,0
1598143931,0,1
1598145880,0,1
1598147771,0,1
1598149694,0,1
1598151697,2,0
1598153531,1,1
1598155455,0,1
1598161208,0,1
1598166974,1,0
1598170812,1,1
1598176572,0,1
1598182599,1,0
1598204239,0,1
1598206151,1,0
1598208017,0,1
1598211864,0,1
1598215728,0,1
1598223862,0,1
1598227738,0,1
1598235384,1,0
1598237332,1,1
1598239215,0,2
1598243084,1,0
1598248945,1,0
1598256497,0,1
1598260391,1,0
1598269937,0,1
1598281696,0,1
1598289770,1,0
1598293468,0,1
1598311746,1,0
1598323459,0,1
1598329231,0,1
1598331132,1,0
1598334977,0,1
1598336891,1,0
1598344818,1,0
1598346760,0,1
1598356334,1,0
1598358278,2,0
1598375821,0,1
1598389477,1,0
1598397380,0,1
1598403132,0,1
1598408915,1,0
1598418769,0,1
1598422609,1,0
1598424519,0,1
1598432195,0,1
1598434115,1,0
1598443703,1,2
1598445670,1,1
1598447576,1,0
1598449459,1,0
1598464013,1,0
1598466024,1,0
1598472157,1,0
1598475855,0,1
1598477772,1,0
1598481695,1,0
1598494937,0,1
1598504581,1,0
1598508280,0,1
1598512126,1,0
1598514017,1,0
1598519809,0,1
1598529805,1,1
1598531802,0,1
1598533695,0,1
1598535909,0,1
1598549326,3,0
1598551354,1,1
1598553168,0,1
1598558957,1,1
1598566603,0,1
1598574254,1,0
1598576205,1,0
1598589661,0,1
1598597327,1,1
1598599317,0,1
1598601195,1,0
1598603126,1,0
1598610892,1,0
1598616739,0,1
1598622520,1,0
1598626245,1,0
1598632844,0,1
1598634744,0,1
1598636678,0,1
1598640495,0,2
1598644340,0,1
1598646276,1,0
1598648201,1,0
1598653916,1,0
1598661200,0,1
1598665626,0,1
1598683797,0,1
1598687856,0,1
1598689717,0,1
1598697933,0,1
1598707528,0,1
1598713335,0,1
1598720925,1,0
1598732444,0,1
1598734405,2,1
1598738219,1,0
1598740167,1,1
1598742228,1,0
1598748013,1,0
1598763750,1,0
1598767476,1,0
1598788612,1,0
1598798411,1,0
1598802277,1,0
1598806091,0,1
1598819797,0,1
1598821690,0,1
1598825562,0,2
1598829369,0,1
1598831315,1,0
1598835131,0,1
1598850501,1,1
1598854359,0,1
1598872716,1,0
1598878656,1,0
1598880832,1,0
1598882818,1,0
1598884639,0,1
1598890335,0,1
1598892252,1,0
1598894199,2,0
1598903641,2,0
1598905462,0,1
1598916255,1,0
1598918243,2,0
1598935958,0,1
1598941924,1,0
1598947867,0,1
1598951776,1,0
1598959965,0,1
1598965734,0,1
1598967671,0,1
1598969534,0,1
1598975307,1,0
1598979160,0,1
1598981062,0,2
1598989723,0,2
1599003370,0,1
1599005374,0,2
1599007210,1,0
1599024491,1,0
1599027371,0,1
1599029293,2,0
1599035049,1,0
1599037012,0,1
1599040121,1,0
1599060515,1,1
1599081877,1,0
1599083846,2,0
1599093644,0,1
1599103452,1,0
1599111129,0,1
1599115004,0,1
1599116906,1,1
1599120767,0,1
1599124638,0,1
1599136112,1,0
1599139240,2,0
1599146890,0,1
1599161286,1,0
1599164167,1,0
1599166151,1,0
1599169929,0,2
1599171878,1,1
1599175687,1,0
1599177706,1,0
1599191053,0,1
1599210156,1,0
1599216019,0,1
1599223932,0,2
1599225879,1,1
1599234967,1,0
1599247719,0,1
1599249763,0,1
1599251682,0,1
1599253725,1,0
1599257577,2,1
1599263326,0,2
1599267377,1,0
1599275375,1,0
1599288976,1,0
1599291164,1,0
1599294982,0,1
1599298818,1,0
1599312283,0,1
1599318140,1,0
1599319941,0,1
1599321866,2,0
1599335297,1,0
1599339161,0,1
1599342979,1,2
1599352842,1,1
1599358814,1,0
1599362717,0,1
1599374207,0,1
1599376097,0,1
1599379975,1,0
1599387615,0,1
1599389584,1,0
1599391526,1,0
1599399170,1,0
1599403022,0,1
1599407098,0,1
1599409028,0,1
1599420524,0,1
1599425296,1,0
1599429134,0,1
1599438817,0,1
1599444777,1,1
1599454636,1,0
1599460366,1,0
1599464196,1,0
1599466134,0,1
1599468027,3,0
1599475738,0,1
1599477624,2,1
1599483424,1,0
1599485612,1,1
1599510764,1,0
1599512749,1,1
1599526268,1,0
1599530177,0,1
1599532096,2,0
1599540018,0,1
1599541959,3,0
1599547737,0,1
1599553491,0,2
1599555375,0,2
1599564997,0,2
1599568820,0,1
1599570782,2,0
1599572663,0,1
1599596422,0,1
1599600271,0,1
1599610847,1,0
1599612793,1,1
1599614694,1,0
1599618538,0,2
1599626665,0,1
1599628590,1,2
1599652108,1,0
1599654100,1,0
1599655962,0,1
1599657880,0,1
1599671309,3,0
1599675439,1,0
1599683139,1,0
1599696766,0,1
1599698655,0,1
1599700595,1,1
1599704415,1,0
1599710177,1,0
1599715955,0,1
1599719771,1,0
1599731373,1,0
1599740414,0,2
1599756986,0,3
1599762764,0,1
1599770430,0,1
1599772350,1,0
1599774286,2,0
1599780041,1,0
1599783859,1,0
1599785822,0,1
1599787695,1,0
1599791592,0,1
1599797327,0,1
1599807138,0,1
1599819648,0,1
