DateTime,AddedIPs,RemovedIPs
1598888438,0,1
1598896118,1,0
1598899935,1,0
1598912176,1,0
1598928260,1,0
1598930187,1,0
1598932169,1,0
1598945888,1,0
1598958125,1,0
1598959966,1,0
1598963809,0,1
1598971453,1,0
1598975307,2,0
1598977212,1,0
1598981063,1,0
1598982981,0,1
1598987774,2,1
1598995506,1,0
1598999533,0,1
1599014929,0,1
1599016816,1,1
1599018739,0,1
1599020617,1,0
1599026470,1,0
1599032082,0,1
1599041807,1,0
1599043696,0,1
1599045643,1,1
1599051378,2,0
1599053298,1,0
1599059399,0,1
1599063139,0,3
1599065057,1,0
1599067009,0,1
1599072733,0,1
1599074681,0,1
1599082596,0,1
1599086411,1,0
1599090379,1,0
1599096014,1,0
1599103720,0,1
1599107562,0,1
1599111401,0,1
1599115219,1,0
1599128197,0,1
1599132020,0,1
1599137777,1,2
1599139693,0,1
1599145452,1,0
1599151217,1,1
1599159133,1,0
1599164892,1,0
1599166918,1,0
1599172601,1,1
1599178359,0,1
1599182416,0,1
1599195747,1,0
1599201384,0,1
1599203351,1,0
1599207182,1,0
1599224670,0,1
1599232375,0,1
1599238097,0,1
1599243882,0,1
1599245778,1,0
1599251683,0,1
1599253726,0,1
1599259457,0,1
1599265466,1,0
1599267379,2,0
1599283225,1,1
1599288976,0,1
1599293073,0,1
1599294983,2,0
1599298819,2,0
1599329579,1,0
1599333409,0,1
1599335298,1,0
1599342979,1,0
1599344920,1,0
1599350944,0,1
1599352842,0,2
1599355000,1,0
1599368521,0,1
1599381872,0,2
1599385735,0,2
1599395317,1,0
1599405175,1,0
1599416674,1,1
1599423381,1,1
1599425323,1,0
1599429135,0,1
1599431060,0,1
1599436989,1,0
1599440864,1,0
1599442903,0,1
1599444778,1,0
1599448581,1,0
1599473838,1,0
1599481490,0,1
1599491320,2,1
1599503061,0,1
1599508952,0,1
1599510765,0,1
1599518416,1,0
1599524209,0,1
1599528281,0,1
1599532097,0,1
1599534186,1,1
1599559371,0,1
1599567168,1,0
1599569063,1,0
1599570969,1,0
1599574837,1,0
1599578680,0,2
1599580579,2,0
