DateTime,Entries,UniqueIPs
1601064969,120,120
1601067135,120,120
1601069076,118,118
1601070976,116,116
1601072889,111,111
1601076736,109,109
1601078912,110,110
1601080820,110,110
1601083008,111,111
1601084913,113,113
1601086872,116,116
1601090672,118,118
1601094536,116,116
1601096574,117,117
1601098572,115,115
1601102418,117,117
1601104335,116,116
1601106284,118,118
1601108174,117,117
1601110104,114,114
1601112041,114,114
1601113931,115,115
1601115861,113,113
1601117839,115,115
1601119737,114,114
1601121912,114,114
1601123771,113,113
1601125771,112,112
1601127638,112,112
1601129534,111,111
1601131673,105,105
1601133613,105,105
1601135556,104,104
1601137455,105,105
1601139398,106,106
1601141293,107,107
1601143294,108,108
1601145159,107,107
1601147072,104,104
1601148969,102,102
1601150916,105,105
1601152817,107,107
1601154732,108,108
1601156679,108,108
1601158573,104,104
1601160495,102,102
1601162437,102,102
1601164330,102,102
1601166254,104,104
1601168200,107,107
1601170089,106,106
1601172085,102,102
1601175878,100,100
1601179717,101,101
1601181623,102,102
1601183540,100,100
1601185485,99,99
1601189300,99,99
1601191275,96,96
1601193137,95,95
1601195089,96,96
1601196978,94,94
1601199142,95,95
1601201096,94,94
1601203031,93,93
1601204906,90,90
1601206816,91,91
1601208761,91,91
1601210659,90,90
1601212587,90,90
1601214528,88,88
1601216417,89,89
1601218360,89,89
1601220258,98,98
1601222200,96,96
1601227038,95,95
1601228911,95,95
1601230837,96,96
1601232774,95,95
1601234682,97,97
1601236618,97,97
1601238518,93,93
1601240530,94,94
1601242392,93,93
1601244369,92,92
1601246210,95,95
1601248372,95,95
1601252209,91,91
1601254335,87,87
1601256257,84,84
1601258335,85,85
1601260357,88,88
1601262261,89,89
1601264178,91,91
1601266138,89,89
1601268025,88,88
1601269935,87,87
1601271907,87,87
1601273787,89,89
1601275704,89,89
1601277643,90,90
1601281460,89,89
1601283409,89,89
1601285299,91,91
1601287489,91,91
1601289410,93,93
1601291343,96,96
1601293247,99,99
1601295187,100,100
1601297079,103,103
1601298999,101,101
1601300986,101,101
1601302845,103,103
1601304775,102,102
1601306714,92,92
1601308629,92,92
1601310538,112,112
1601312604,113,113
