DateTime,AddedIPs,RemovedIPs
1600962744,4,1
1600964673,2,2
1600967529,1,2
1600969478,1,1
1600971369,0,3
1600973292,1,0
1600975217,0,2
1600977128,0,1
1600979080,2,0
1600980978,2,1
1600982889,0,1
1600984861,4,1
1600986732,1,1
1600988592,2,1
1600990593,0,1
1600992505,1,2
1600994661,1,3
1600996604,2,1
1601002357,2,1
1601004256,3,2
1601006172,0,1
1601008089,2,0
1601010068,2,1
1601011960,0,2
1601013850,3,3
1601015774,1,1
1601017733,1,1
1601019616,2,1
1601021578,1,4
1601023452,0,2
1601027326,4,0
1601029210,0,2
1601031164,1,2
1601033054,0,2
1601035007,1,1
1601036921,2,1
1601038909,3,2
1601040759,3,0
1601042745,1,1
1601044600,1,3
1601046769,0,4
1601048655,0,4
1601050577,2,2
1601052523,1,0
1601054422,3,1
1601056619,0,1
1601058501,1,0
1601060532,1,1
1601062364,1,0
1601064264,1,0
1601066176,1,3
1601068370,0,1
1601070259,0,2
1601072177,2,2
1601074126,1,1
1601076013,1,2
1601079879,1,2
1601081776,3,0
1601083628,2,2
1601087839,2,2
1601089803,3,3
1601093536,2,0
1601095481,1,4
1601097387,1,0
1601099310,2,1
1601101265,0,3
1601103144,3,0
1601105074,0,3
1601107026,1,0
1601108920,1,1
1601111008,2,0
1601112996,1,2
1601115023,2,2
1601116874,1,1
1601120683,1,0
1601122591,1,2
1601124501,1,2
1601126412,2,4
1601128383,0,1
1601130608,2,2
1601132555,3,0
1601136519,2,0
1601138417,2,3
1601140350,1,2
1601142279,2,1
1601144172,2,1
1601146093,1,1
1601148034,3,0
1601149938,1,2
1601151853,1,1
1601153795,2,0
1601157681,0,1
1601159556,1,2
1601161483,1,1
1601163385,2,0
1601165315,0,1
1601167214,0,2
1601169132,0,3
1601170996,1,0
1601172845,1,1
1601174735,1,1
1601176606,1,3
1601178499,1,0
1601180443,2,2
1601182346,0,1
1601184283,1,3
1601186212,2,0
1601188097,1,2
1601190229,1,1
1601192174,1,0
1601194365,0,1
1601196268,2,2
1601198183,2,2
1601202015,0,3
1601203934,1,0
1601205877,1,0
1601207776,3,2
1601211812,0,2
1601213795,1,1
1601217668,0,5
1601219530,1,0
1601223435,3,3
1601225321,1,2
1601227210,1,0
1601229162,3,3
1601231053,0,1
1601232982,1,2
1601234951,1,2
1601237822,6,2
1601239690,0,1
1601241633,2,1
1601245477,1,1
1601247388,1,1
1601249292,0,2
1601251377,1,0
1601253544,1,0
1601257474,1,1
1601259378,1,1
1601262551,5,2
1601264447,1,1
1601266608,1,2
1601268787,2,0
1601270693,0,1
1601272615,0,2
1601274520,0,1
1601276621,0,1
1601278584,1,1
1601280521,3,0
1601282408,3,0
1601284388,2,4
1601286310,3,0
1601290168,2,1
1601292012,1,1
1601294175,2,3
1601296093,2,0
1601298215,2,0
1601300197,0,1
1601302115,1,0
1601305958,2,1
1601309798,0,3
1601311688,1,1
1601313633,2,1
1601315530,1,3
1601317454,1,0
1601319398,0,1
1601321301,1,1
1601323479,1,6
1601327335,0,1
1601329218,0,1
1601331164,1,1
1601333069,2,0
1601334978,2,1
1601338814,2,2
1601344576,1,1
1601346816,0,1
1601348925,1,5
1601350849,1,1
1601352816,2,1
1601354660,0,2
1601356576,1,0
1601358521,1,0
1601360417,1,0
1601364295,2,1
1601366177,3,0
1601368094,0,6
1601370191,1,1
1601372068,0,1
1601374088,0,3
1601376041,3,2
1601378273,1,1
1601380159,3,2
1601382049,1,2
1601383937,0,2
1601387776,3,1
1601389691,1,0
1601391890,4,2
1601393796,2,0
1601395690,1,0
1601397613,0,1
1601399560,1,2
1601401449,1,1
1601403292,1,1
1601405153,2,0
1601408898,3,1
1601410838,0,1
1601414666,1,0
1601416598,2,0
1601418495,2,1
1601420591,0,3
1601422570,2,1
1601424827,1,1
1601426675,0,1
1601428863,3,0
1601432906,0,1
1601435042,2,1
1601436997,1,1
1601438903,1,2
1601442993,1,1
1601444890,3,1
1601446814,0,1
1601450718,2,2
1601452571,0,3
1601457893,0,1
1601459809,1,0
1601461770,2,3
1601464578,2,1
1601466497,1,3
1601468482,1,1
1601470340,2,0
1601472329,1,0
1601474202,0,3
1601476096,0,1
1601478329,2,4
1601480173,2,2
1601482049,1,1
1601486014,3,1
1601487900,1,1
1601489783,1,1
1601491939,0,2
