DateTime,Entries,UniqueIPs
1601094972,1281,1281
1601096954,1286,1286
1601098812,1294,1294
1601100754,1301,1301
1601102681,1314,1314
1601104578,1324,1324
1601106493,1330,1330
1601108448,1327,1327
1601110335,1335,1335
1601112501,1326,1326
1601114533,1303,1303
1601116602,1304,1304
1601118548,1286,1286
1601120414,1278,1278
1601122332,1274,1274
1601124275,1271,1271
1601126269,1278,1278
1601128095,1282,1282
1601130691,1290,1290
1601132568,1297,1297
1601134572,1294,1294
1601136519,1283,1283
1601138417,1292,1292
1601140350,1305,1305
1601142280,1314,1314
1601144172,1328,1328
1601146093,1342,1342
1601148035,1334,1334
1601149960,1331,1331
1601151854,1317,1317
1601153795,1315,1315
1601155690,1324,1324
1601157699,1337,1337
1601159556,1340,1340
1601161484,1336,1336
1601163386,1333,1333
1601165316,1320,1320
1601167215,1333,1333
1601169132,1341,1341
1601170997,1362,1362
1601172845,1363,1363
1601174735,1348,1348
1601176607,1358,1358
1601178500,1366,1366
1601180443,1358,1358
1601182347,1368,1368
1601184283,1381,1381
1601186213,1391,1391
1601188097,1388,1388
1601190239,1383,1383
1601192175,1369,1369
1601194366,1376,1376
1601196297,1374,1374
1601198184,1379,1379
1601200121,1375,1375
1601202016,1382,1382
1601203934,1387,1387
1601205878,1405,1405
1601207777,1395,1395
1601209694,1392,1392
1601211822,1372,1372
1601213796,1347,1347
1601215782,1307,1307
1601217669,1345,1345
1601219531,1402,1402
1601221453,1404,1404
1601223436,1410,1410
1601225321,1411,1411
1601227211,1399,1399
1601229162,1388,1388
1601231054,1400,1400
1601232999,1426,1426
1601234952,1476,1476
1601236909,1464,1464
1601238734,1473,1473
1601240571,1475,1475
1601242394,1476,1476
1601244402,1486,1486
1601246213,1491,1491
1601248375,1511,1511
1601250276,1514,1514
1601252211,1528,1528
1601254338,1534,1534
1601256259,1544,1544
1601258337,1552,1552
1601260359,1557,1557
1601262264,1566,1566
1601264180,1575,1575
1601266141,1582,1582
1601268027,1587,1587
1601269938,1579,1579
1601271910,1582,1582
1601273789,1598,1598
1601275716,1612,1612
1601277646,1640,1640
1601279560,1647,1647
1601281464,1660,1660
1601283412,1683,1683
1601285302,1696,1696
1601287527,1726,1726
1601289412,1758,1758
1601291345,1782,1782
1601293250,1787,1787
1601295190,1812,1812
1601297083,1848,1848
1601299002,1869,1869
1601300990,1903,1903
1601302849,1930,1930
1601304788,1922,1922
1601306717,1905,1905
1601308633,1925,1925
1601310542,1931,1931
1601312611,1683,1683
1601314571,1702,1702
1601316547,1715,1715
1601318417,1740,1740
1601320338,1641,1641
1601322302,1650,1650
1601324175,1663,1663
1601326341,1675,1675
1601328274,1677,1677
1601330253,1679,1679
1601332118,1692,1692
1601334320,1704,1704
1601336201,1723,1723
1601338393,1728,1728
1601340259,1715,1715
1601342177,1720,1720
1601344125,1730,1730
1601346023,1737,1737
1601347944,1733,1733
1601349921,1669,1669
1601351818,1674,1674
1601353712,1608,1608
1601355866,1565,1565
1601357800,1581,1581
1601359726,1526,1526
1601361632,1518,1518
1601363592,1493,1493
1601365461,1489,1489
1601367451,1491,1491
1601369387,1482,1482
1601371232,1483,1483
1601373170,1464,1464
1601375143,1454,1454
1601377027,1433,1433
1601378890,1417,1417
1601381068,1416,1416
1601383010,1392,1392
1601384917,1392,1392
1601386845,1367,1367
1601388780,1345,1345
1601390667,1324,1324
1601392590,1326,1326
1601394567,1317,1317
1601396475,1309,1309
1601398355,1305,1305
1601400341,1294,1294
1601402207,1286,1286
1601404484,1265,1265
1601406328,1261,1261
1601408213,1258,1258
1601410135,1260,1260
1601412021,1245,1245
1601413971,1243,1243
1601415911,1244,1244
1601418035,1213,1213
1601419937,1180,1180
1601421888,1174,1174
1601423808,1164,1164
1601425723,1170,1170
1601428010,1150,1150
1601430007,1136,1136
1601431958,1129,1129
1601433874,1131,1131
1601436016,1128,1128
1601437938,1117,1117
1601440125,1118,1118
1601442222,1100,1100
1601444169,1075,1075
1601446375,1056,1056
1601448265,1050,1050
1601450199,1042,1042
1601452149,1038,1038
1601454125,1032,1032
1601455962,1031,1031
1601457894,1037,1037
1601459809,1072,1072
1601461771,1086,1086
1601464578,1083,1083
1601466498,1074,1074
1601468482,1085,1085
1601470341,1096,1096
1601472331,1090,1090
1601474203,1114,1114
1601476099,1120,1120
1601478331,1112,1112
1601480175,1114,1114
1601482051,1120,1120
1601484019,1120,1120
1601486019,1126,1126
1601487937,1132,1132
1601489787,1118,1118
1601491940,1124,1124
1601493862,1138,1138
