DateTime,AddedIPs,RemovedIPs
1601094971,93,151
1601096953,90,109
1601098811,101,110
1601100753,130,124
1601102680,129,90
1601104577,136,174
1601106492,105,84
1601108447,124,133
1601110335,74,87
1601112500,136,118
1601114515,80,108
1601116328,117,88
1601118184,117,90
1601120079,98,109
1601121958,118,125
1601123773,97,83
1601125802,143,124
1601127651,80,84
1601129535,105,240
1601131675,84,77
1601133615,108,134
1601135558,68,94
1601137457,83,119
1601139400,69,67
1601141295,96,114
1601143355,99,103
1601145161,110,132
1601147075,110,113
1601148971,149,111
1601150918,160,144
1601152819,65,100
1601154734,107,131
1601156682,100,81
1601158575,138,84
1601160497,79,75
1601162438,94,102
1601164331,76,82
1601166256,140,117
1601168203,83,80
1601170091,109,96
1601172131,87,68
1601173959,90,101
1601175882,70,103
1601177942,60,93
1601179928,109,116
1601181874,77,71
1601183768,111,77
1601185694,82,99
1601187711,115,113
1601189540,67,110
1601191457,110,150
1601193392,75,106
1601195294,122,127
1601197346,97,105
1601199174,381,99
1601201099,854,99
1601203032,88,82
1601204908,148,121
1601206844,112,63
1601208763,67,137
1601210660,61,80
1601212588,105,148
1601214530,226,58
1601216419,476,108
1601218361,180,62
1601220259,889,115
1601222203,773,60
1601224119,180,62
1601227041,304,123
1601228913,146,46
1601230840,180,112
1601232786,117,79
1601234683,131,121
1601236621,116,94
1601238520,153,106
1601240566,125,74
1601242394,105,96
1601244402,115,124
1601246212,86,60
1601248374,137,109
1601250276,90,71
1601252210,141,113
1601254337,104,95
1601256259,120,116
1601258337,80,50
1601260359,124,109
1601262264,80,66
1601264180,85,50
1601266140,178,111
1601268027,213,77
1601269937,187,120
1601271909,165,66
1601273788,131,98
1601275716,114,68
1601277645,204,97
1601279560,217,72
1601281463,244,114
1601283410,85,74
1601285301,151,243
1601287524,553,691
1601289412,498,77
1601291345,570,157
1601293250,502,125
1601295189,556,81
1601297082,1775,56
1601299002,1717,91
1601300989,1859,63
1601302847,1365,160
1601304787,1931,68
1601306716,1377,668
1601308632,1620,559
1601310541,1329,96
1601312610,1731,106
1601314570,1801,109
1601316546,1511,126
1601318415,1672,60
1601320338,1522,75
1601322301,1625,61
1601324174,1464,123
1601326340,1802,110
1601328273,1804,103
1601330253,1697,83
1601332117,1362,61
1601334316,1758,119
1601336201,1654,73
1601338392,1646,142
1601340259,1720,84
1601342176,1448,106
1601344124,1455,66
1601346022,1461,110
1601347943,1181,68
1601349915,1403,74
1601351816,1578,66
1601353712,1068,152
1601355813,1515,125
1601357799,1319,116
1601359725,1338,133
1601361631,1675,124
1601363591,1281,129
1601365460,1489,88
1601367450,839,126
1601370498,224,366
1601372441,136,418
1601374341,147,350
1601376280,90,382
1601378275,140,433
1601380184,91,344
1601382061,98,512
1601383949,81,2036
1601385899,106,1789
1601387788,73,1823
1601389693,71,1461
1601391900,89,1990
1601393799,70,1599
1601395692,74,1382
1601397616,88,1812
1601399561,247,1685
1601401451,57,1847
1601403302,47,1432
1601405155,62,1745
1601407030,112,1388
1601408899,86,1739
1601410841,94,1566
1601412739,74,1606
1601414668,105,1852
1601416600,81,1762
1601418496,122,1448
1601420620,92,1841
1601422572,91,1732
1601424828,115,1835
1601426676,77,1793
1601428877,134,2019
1601430767,107,1476
1601432908,177,1642
1601435071,152,1393
1601436999,163,1629
1601438905,158,1372
1601440836,128,1397
1601442995,232,1510
1601444891,120,1592
1601446815,185,1490
1601448731,149,1725
1601450738,188,1403
1601452577,138,1537
1601454492,221,400
1601456597,216,205
1601458569,337,191
1601460493,154,208
1601462410,167,171
1601464329,148,188
1601466276,162,128
1601468171,218,138
1601470341,141,116
1601472330,424,139
1601474203,513,98
1601476098,1773,78
1601478330,838,102
1601480175,511,87
1601482050,567,83
1601484018,773,84
1601486018,742,385
1601487902,573,53
1601489785,458,45
1601491940,399,380
1601493861,353,111
1601495816,85,63
1601497697,166,64
1601499833,113,74
1601501817,110,101
1601503692,107,90
1601505617,81,68
1601507560,112,81
1601509453,68,56
1601511429,120,89
1601513343,85,47
1601515366,132,108
1601517373,82,96
1601519297,144,151
1601521403,98,103
1601523396,110,136
1601525574,126,130
1601527462,114,87
1601529411,152,184
1601531712,149,110
1601533743,176,159
1601535841,136,133
1601537774,143,128
1601539861,156,142
1601541784,123,136
1601543593,141,176
1601545504,127,154
1601547404,157,112
1601549439,298,93
1601551508,140,119
1601553419,115,147
1601555295,141,133
1601557407,110,108
1601559373,123,409
1601561315,88,482
1601563213,111,1427
1601565129,134,394
1601567077,109,635
1601568992,158,812
1601570922,107,950
1601572839,103,814
1601574759,88,614
1601576679,181,596
1601578624,105,482
1601580498,99,297
1601582693,150,116
1601584625,359,159
1601586494,1484,141
1601588418,1722,92
1601590336,1586,116
1601592256,1913,72
1601594197,95,114
1601596097,86,70
1601598036,99,129
1601599950,87,66
1601601860,152,127
1601603855,110,97
1601605723,152,144
1601607891,148,108
1601609829,162,110
1601611803,185,120
1601613619,122,94
1601615559,153,159
1601617453,111,118
1601619379,172,159
1601621345,148,121
1601623238,163,149
1601625135,139,120
1601627105,142,175
1601629057,139,107
1601631144,229,184
1601633155,125,172
1601634987,114,107
1601636932,170,247
1601638823,116,100
1601640744,138,139
1601642664,208,119
1601644582,126,114
1601646542,91,101
1601648433,139,104
1601650366,93,127
1601652296,144,153
1601654230,102,108
1601656121,121,156
1601658392,126,101
1601660465,109,84
1601662378,103,150
1601664348,81,95
1601666207,138,110
1601668117,64,84
1601670095,113,114
1601671971,71,1201
1601673885,214,1504
1601675850,88,2056
1601677716,179,1499
1601679974,121,1126
1601681831,92,101
1601683941,119,125
1601685889,102,103
1601687804,130,164
1601689703,110,125
1601691640,250,173
1601693660,342,149
1601695484,477,180
1601697376,491,148
1601699298,475,187
1601701419,579,171
1601703404,638,157
1601705301,634,173
1601707217,559,155
1601709175,588,187
1601711073,579,140
1601712975,118,152
1601714921,107,176
1601716817,116,173
1601718739,99,187
1601720682,1214,165
1601722595,92,127
1601724510,129,150
1601726453,115,127
1601728337,223,205
1601730184,127,188
1601732218,98,138
1601734103,423,156
1601736017,91,106
1601737957,152,166
1601739855,99,107
1601741773,136,154
1601743715,103,97
1601745611,144,125
1601747535,83,116
1601749478,149,116
