DateTime,AddedIPs,RemovedIPs
1601090915,71,95
1601093084,59,89
1601094972,106,92
1601096955,85,101
1601098814,81,51
1601100754,91,54
1601102682,83,70
1601104578,68,114
1601106493,71,50
1601108448,90,72
1601110336,72,61
1601112501,108,93
1601114541,87,90
1601116603,93,88
1601118549,95,82
1601120414,83,85
1601122333,87,85
1601124275,99,84
1601126269,97,73
1601128096,64,67
1601130717,113,256
1601132574,73,70
1601134572,74,71
1601136520,82,70
1601138419,71,62
1601140351,87,90
1601142280,77,75
1601144173,88,60
1601146094,77,91
1601148036,86,85
1601149961,73,74
1601151856,67,98
1601153796,83,83
1601155691,90,98
1601157707,94,83
1601159557,80,72
1601161484,81,88
1601163386,76,79
1601165316,82,93
1601167216,115,77
1601169133,83,71
1601170997,62,70
1601172846,76,82
1601174736,77,95
1601176608,62,79
1601178500,40,60
1601180445,68,70
1601182348,78,102
1601184286,65,82
1601186214,55,76
1601188098,72,104
1601190240,63,75
1601192175,73,69
1601194366,85,86
1601196297,74,77
1601198184,74,80
1601200121,94,73
1601202016,76,76
1601203935,63,91
1601205878,87,109
1601207777,118,105
1601209695,49,73
1601211828,37,118
1601213796,65,81
1601215783,187,104
1601217669,115,89
1601219531,60,85
1601221453,87,65
1601223436,126,75
1601225322,133,70
1601227211,96,87
1601229163,110,101
1601231055,121,81
1601233000,115,96
1601234952,114,108
1601236917,120,69
1601238735,123,71
1601241634,247,133
1601243531,96,89
1601245478,110,95
1601247389,107,84
1601249294,133,93
1601251394,126,108
1601253549,140,115
1601255531,108,95
1601257475,105,82
1601259378,117,83
1601261599,110,82
1601263458,104,98
1601265402,100,58
1601267293,105,92
1601270443,178,156
1601272330,107,60
1601274257,86,95
1601276212,102,112
1601278124,88,125
1601280114,94,117
1601281997,90,161
1601283999,96,157
1601285800,89,56
1601287697,121,74
1601289613,91,62
1601291561,77,86
1601293451,90,125
1601295391,82,75
1601297318,95,39
1601299214,89,33
1601301130,87,66
1601303078,85,113
1601304974,61,92
1601306892,94,65
1601309799,111,144
1601311689,74,99
1601313635,91,88
1601315531,67,103
1601317455,85,95
1601319399,66,82
1601321302,94,109
1601323481,86,102
1601325377,72,98
1601327336,269,119
1601329219,58,97
1601331164,89,105
1601333070,71,93
1601334980,65,102
1601336920,76,99
1601338815,78,130
1601340740,90,91
1601342685,91,121
1601344577,67,117
1601346817,87,120
1601348925,100,126
1601350850,73,108
1601352817,101,109
1601354661,76,117
1601356577,53,123
1601358522,90,116
1601360419,89,121
1601362337,66,139
1601364296,92,110
1601366178,66,85
1601368094,94,100
1601370211,90,89
1601372069,90,96
1601374099,87,116
1601376042,79,115
1601378276,86,139
1601380185,64,95
1601382062,68,72
1601383950,71,115
1601385901,58,240
1601387789,72,124
1601389694,54,108
1601391920,77,103
1601393799,64,100
1601395694,73,98
1601397617,62,125
1601399563,65,98
1601401452,74,82
1601403327,71,98
1601405156,76,78
1601407031,74,102
1601408901,76,113
1601410842,82,111
1601412740,119,89
1601414668,80,289
1601416601,79,81
1601418497,91,117
1601420640,122,111
1601422573,102,126
1601424829,119,119
1601426677,94,122
1601428879,104,159
1601430768,66,90
1601432908,83,122
1601435124,90,123
1601436999,67,95
1601438905,72,83
1601440838,69,110
1601442997,78,122
1601444892,79,102
1601446816,75,101
1601448732,68,110
1601450739,82,123
1601452581,83,63
1601454493,101,115
1601457894,233,197
1601459810,85,100
1601461771,93,89
1601464579,127,138
1601466498,103,81
1601468484,95,81
1601470342,85,74
1601472331,126,76
1601474204,94,72
1601476099,90,63
1601478332,100,63
1601480177,80,56
1601482052,77,52
1601484019,115,59
1601486021,77,51
1601487944,63,56
1601489787,121,63
1601491941,97,68
1601493862,100,51
1601495817,130,60
1601497698,80,56
1601499837,78,89
1601501818,99,92
1601503693,94,50
1601505618,108,56
1601507561,89,71
1601509454,101,49
1601511430,120,60
1601513344,93,47
1601515367,104,80
1601517375,76,59
1601519298,86,60
1601521410,82,71
1601523399,91,60
1601525576,106,81
1601527464,91,56
1601529412,113,67
1601531729,112,71
1601533791,87,51
1601535904,99,64
1601537776,89,63
1601539890,80,85
1601541809,100,95
1601543794,89,86
1601545697,71,72
1601547610,99,70
1601549440,74,71
1601551509,137,80
1601553420,89,204
1601555295,87,71
1601557425,86,82
1601559375,94,92
1601561316,95,73
1601563216,60,73
1601565130,71,61
1601567078,84,69
1601569000,107,74
1601570923,69,85
1601572840,78,66
1601574760,81,73
1601576680,85,100
1601578626,92,81
1601580501,86,74
1601582700,100,89
1601584626,91,68
1601586497,97,138
1601588420,66,85
1601590337,72,96
1601592257,90,73
1601594198,82,93
1601596098,89,92
1601598037,78,106
1601599951,76,66
1601601861,90,100
1601603857,75,82
1601605724,83,80
1601607906,104,98
1601609830,110,90
1601611804,92,72
1601613621,80,80
1601615561,128,95
1601617455,83,72
1601619380,108,67
1601621347,112,75
1601623239,94,89
1601625137,110,87
1601627106,108,97
