DateTime,AddedIPs,RemovedIPs
1600922916,1,0
1600924814,2,1
1600928681,1,3
1600930576,0,1
1600932513,0,1
1600934541,1,4
1600936598,3,0
1600938513,0,2
1600940411,1,0
1600942365,0,2
1600944254,0,2
1600948358,0,3
1600950290,2,1
1600952198,2,1
1600954343,1,1
1600956294,3,0
1600958209,3,1
1600962023,2,2
1600963932,4,0
1600965886,3,1
1600969982,0,1
1600973804,1,0
1600975752,0,2
1600977809,2,1
1600979799,2,0
1600981727,1,0
1600983872,2,1
1600985792,2,0
1600987740,0,4
1600989620,0,2
1600991794,0,1
1600993701,0,2
1600999950,1,0
1601001888,1,1
1601003805,1,1
1601005699,10,2
1601007680,1,3
1601009550,1,0
1601011491,0,2
1601013428,1,1
1601019224,1,1
1601021195,1,1
1601023009,1,2
1601024909,1,0
1601026826,2,1
1601028813,0,1
1601034528,0,1
1601036495,1,2
1601038428,1,1
1601040286,1,1
1601042267,2,2
1601044399,3,3
1601046392,0,1
1601048255,0,2
1601050138,1,3
1601052056,1,1
1601053999,2,3
1601056166,1,0
1601058138,3,0
1601060196,4,1
1601062094,0,1
1601064178,1,2
1601066177,0,1
1601070260,3,2
1601072178,3,2
1601074127,5,1
1601076014,2,0
1601077934,6,1
1601079880,5,1
1601085892,0,1
1601087840,1,1
1601089804,0,1
1601091619,1,5
1601093537,1,2
1601095482,1,2
1601097388,3,1
1601099311,1,2
1601101266,1,0
1601103146,0,1
1601105075,0,1
1601107027,1,1
1601108921,0,2
1601111015,2,0
1601112997,1,2
1601116875,1,0
1601118760,1,0
1601120684,1,0
1601124502,18,1
1601126413,0,1
1601128384,0,1
1601130777,1,2
1601132582,2,0
1601134573,0,3
1601136521,0,1
1601138422,0,3
1601140352,1,1
1601142282,3,1
1601144174,1,2
1601146095,1,2
1601148037,4,0
1601149962,2,1
1601151860,0,2
1601153798,3,1
1601155692,4,2
1601157731,2,4
1601159558,4,4
1601161486,2,4
1601165317,1,6
1601167217,1,2
1601169134,1,0
1601170999,1,0
1601172854,0,1
1601176613,1,1
1601178502,1,3
1601182352,0,2
1601184288,0,2
1601186217,0,1
1601188099,3,0
1601190245,2,0
1601192177,0,1
1601194368,1,1
1601196299,2,0
1601198217,0,2
1601202018,1,1
1601205879,0,3
1601207780,2,1
1601209696,2,4
1601211832,0,14
1601213797,2,1
1601215819,2,0
1601217671,2,0
1601219533,0,3
1601225324,1,0
1601227213,2,1
1601229164,2,2
1601231058,0,1
1601234954,1,3
1601236961,2,0
1601238971,1,3
1601240947,4,4
1601242853,1,3
1601244767,2,2
1601246653,2,4
1601248813,1,1
1601250748,1,1
1601252719,2,0
1601254608,0,1
1601256520,1,2
1601258338,2,0
1601260361,1,0
1601262266,1,0
1601264182,0,4
1601266142,1,1
1601268080,1,0
1601271912,2,1
1601275718,0,4
1601279562,1,0
1601281465,1,1
1601283413,0,1
1601287529,1,0
1601289414,1,2
1601295191,0,2
1601297084,0,3
1601300993,0,2
1601302852,1,1
1601304790,0,1
1601308634,0,1
1601310544,1,0
1601312613,1,1
1601314572,0,1
1601316548,0,2
1601318419,3,0
1601322303,1,2
1601324176,0,1
1601326343,3,2
1601328276,2,1
1601330255,0,3
1601332120,1,1
1601334322,1,2
1601336203,1,0
1601338394,5,4
1601340271,4,1
1601342179,2,1
1601344130,2,2
1601346025,0,1
1601347945,0,1
1601349929,1,0
1601351821,1,0
1601353715,1,0
1601357803,2,0
1601359728,2,2
1601361633,3,0
1601363594,1,0
1601365464,1,0
1601367452,1,1
1601369391,1,1
1601373172,0,1
1601375145,1,0
1601381082,1,1
1601383012,3,0
1601384919,11,1
1601388782,0,2
1601390669,2,0
1601392600,0,1
1601394569,1,0
1601396506,2,0
1601398356,0,2
1601400343,1,0
1601402211,1,1
1601404486,2,4
1601406330,1,1
1601408215,2,1
1601410137,2,0
1601412023,1,1
1601413976,5,1
1601415913,2,1
1601418037,5,2
1601419939,1,1
1601421889,3,1
1601423809,3,4
1601425724,2,0
1601428047,1,4
1601430009,5,2
1601431960,2,0
1601433876,1,1
1601436017,1,0
1601440126,3,2
1601442227,1,0
1601444171,1,3
1601446376,0,1
1601448267,2,3
1601450208,0,1
1601452152,2,1
1601454126,1,0
1601455963,1,1
1601459811,1,1
1601464584,4,1
1601466499,2,0
1601470343,1,12
1601472333,1,3
1601474205,1,0
1601476100,1,1
1601478334,1,1
1601484021,1,0
1601486024,3,2
1601488017,2,1
1601490034,1,3
1601491942,2,0
1601493864,0,1
1601495819,0,1
1601497701,0,1
1601499849,2,5
1601501820,3,3
1601503694,1,3
1601505620,1,3
1601507562,1,2
1601509455,1,2
1601511432,4,2
1601513346,3,1
1601515369,0,2
1601517380,1,1
1601519299,0,3
1601521426,3,1
1601523407,1,3
1601525580,1,4
1601527490,1,1
1601529414,1,0
1601531861,1,0
1601533846,0,2
1601535965,1,0
1601539921,3,1
1601541853,1,1
1601545700,1,0
1601547611,0,1
1601549442,2,1
1601551510,1,3
1601553424,0,4
1601555297,2,0
1601557467,0,2
1601559379,0,1
1601561317,2,0
1601563221,3,2
1601565131,4,0
1601567079,2,1
1601569002,5,0
1601570925,1,1
1601572842,0,1
1601575696,2,3
1601577612,1,1
1601579563,1,0
1601581477,1,1
1601585325,1,1
1601587226,1,3
1601589196,0,4
1601593002,0,1
1601594920,1,0
1601597056,0,2
1601598971,0,4
1601600937,2,2
1601602874,2,0
1601604791,1,1
1601606723,0,3
1601608605,1,2
1601610503,0,1
1601612684,1,1
1601616498,1,1
1601618730,0,2
1601620610,1,1
1601626361,0,4
1601628290,0,1
1601630204,2,0
1601632125,1,1
1601634044,0,1
1601635978,1,2
1601639804,2,1
1601641903,0,2
1601643858,1,1
1601645798,1,0
1601647968,0,1
1601649858,0,1
1601651777,1,3
1601653726,1,3
1601655626,0,5
1601657557,2,0
1601663298,2,2
1601665382,1,0
1601667240,0,1
1601669108,0,1
1601670974,1,0
1601672983,3,2
1601674815,1,1
1601678661,2,0
1601680819,2,1
1601682761,1,0
1601686592,1,2
1601688517,5,2
1601690674,1,2
1601692582,1,1
1601694873,1,1
1601696957,2,0
1601698829,2,1
1601700749,2,1
1601704601,1,1
1601706510,1,2
1601709614,1,0
1601711532,2,0
1601713480,1,0
1601715410,0,1
1601717297,3,1
1601719286,0,2
1601723300,2,2
1601725212,0,2
1601729062,1,0
1601730972,1,0
1601732920,0,1
1601734813,1,0
1601736734,1,0
1601738683,1,3
1601740574,1,0
1601744537,1,2
1601748493,1,2
1601752355,0,2
1601758113,2,1
1601760008,2,1
1601761932,4,0
1601763880,3,1
1601765772,2,1
1601767689,3,2
1601769685,2,0
1601771531,1,1
1601773362,4,1
1601775395,3,5
1601777295,3,1
1601779215,6,0
1601781158,1,0
1601783050,0,2
1601784970,1,2
1601786915,3,0
1601788808,1,0
1601798891,1,1
1601800814,2,0
1601802761,0,3
1601804653,0,1
1601808732,1,0
1601810681,0,3
1601812577,2,0
1601814491,1,1
1601817610,2,1
1601819535,2,0
1601821481,1,0
1601823375,0,1
1601825289,0,2
1601827329,1,1
1601831337,1,1
1601835187,0,1
1601837060,2,0
1601840933,0,1
1601842844,0,1
1601844730,2,2
1601846687,2,2
1601848570,2,2
1601850489,2,3
1601852469,1,2
1601854332,1,4
1601856251,0,2
1601858199,2,1
1601860093,4,5
1601862009,0,1
1601863961,0,1
1601865854,0,1
1601867772,1,5
1601869715,1,0
1601871613,1,2
1601873532,0,1
1601875478,2,1
1601879290,1,1
1601881282,4,1
1601883133,1,1
1601885052,0,2
1601886995,1,2
1601888893,2,1
1601892766,2,0
1601894649,0,2
1601896573,1,0
1601898517,1,1
1601900411,0,1
1601904280,3,2
1601906171,1,3
1601908094,2,2
1601910104,2,1
1601914095,1,1
1601916013,1,0
1601917964,0,1
1601919852,2,1
1601921776,3,0
1601923715,3,2
1601927528,2,0
1601929483,1,1
1601931371,3,1
1601933288,3,2
1601935285,3,2
1601937138,1,3
1601939053,3,2
1601940995,9,1
1601942890,3,0
1601944809,2,1
1601946761,1,2
1601948657,4,1
1601950576,0,1
1601952517,0,1
1601956313,1,0
1601958286,0,1
1601960184,2,1
1601962096,1,2
1601964116,1,0
1601967869,1,7
1601969804,0,1
1601971705,1,1
1601973621,1,1
1601975570,2,3
1601977468,2,0
1601979384,0,1
1601985141,0,3
1601990900,2,1
1601992862,4,1
1601994746,0,1
1601996671,4,2
1601998607,1,1
1602000504,0,1
1602002426,3,4
1602004365,1,0
1602006259,2,2
1602008179,0,3
1602010134,3,3
1602012022,2,1
1602013939,1,1
1602015886,3,2
1602017782,0,1
1602019730,3,6
1602021647,3,4
1602023544,2,1
1602025486,0,2
1602027385,0,7
1602029305,1,2
1602031245,2,1
1602033385,1,2
1602035298,1,2
1602037246,1,0
1602039143,2,1
1602041061,1,0
1602043018,1,1
1602044902,0,1
1602047008,0,2
1602049218,3,1
1602051137,0,1
1602053087,3,0
1602056892,0,1
1602060734,1,2
1602062658,1,1
1602064596,3,2
