DateTime,Entries,UniqueIPs
1601095482,912,912
1601097389,915,915
1601099312,921,921
1601101267,923,923
1601103147,925,925
1601105075,922,922
1601107028,920,920
1601108922,918,918
1601111015,864,864
1601112998,822,822
1601115026,767,767
1601116876,844,844
1601118760,881,881
1601120684,902,902
1601122593,923,923
1601124503,955,955
1601126414,1097,1097
1601128384,1169,1169
1601130801,1221,1221
1601132674,1254,1254
1601134574,1276,1276
1601136522,1292,1292
1601138423,1313,1313
1601140353,1331,1331
1601142283,1348,1348
1601144175,1360,1360
1601146096,1370,1370
1601148037,1391,1391
1601149962,1413,1413
1601151865,1424,1424
1601153798,1442,1442
1601155693,1455,1455
1601157743,1457,1457
1601159559,1462,1462
1601161487,1472,1472
1601163388,1482,1482
1601165318,1491,1491
1601167217,1495,1495
1601169135,1494,1494
1601170999,1498,1498
1601172854,1494,1494
1601174738,1491,1491
1601176613,1501,1501
1601178502,1520,1520
1601180451,1535,1535
1601182353,1543,1543
1601184289,1556,1556
1601186220,1580,1580
1601188100,1595,1595
1601190251,1618,1618
1601192179,1639,1639
1601194369,1665,1665
1601196300,1673,1673
1601198219,1673,1673
1601200124,1683,1683
1601202019,1693,1693
1601203937,1681,1681
1601205881,1680,1680
1601207781,1677,1677
1601209697,1659,1659
1601211833,1611,1611
1601213798,1558,1558
1601215847,1509,1509
1601217672,1480,1480
1601219533,1449,1449
1601221455,1411,1411
1601223438,1385,1385
1601225325,1358,1358
1601227214,1347,1347
1601229165,1334,1334
1601231059,1325,1325
1601233031,1311,1311
1601234955,1295,1295
1601236969,1281,1281
1601238972,1273,1273
1601240947,1263,1263
1601242854,1237,1237
1601244768,1227,1227
1601246654,1228,1228
1601248813,1217,1217
1601250749,1212,1212
1601252747,1203,1203
1601254609,1192,1192
1601256521,1186,1186
1601258339,1179,1179
1601260361,1182,1182
1601262266,1184,1184
1601264183,1174,1174
1601266143,1169,1169
1601268086,1158,1158
1601269939,1144,1144
1601271913,1138,1138
1601273791,1118,1118
1601275719,1097,1097
1601277649,1072,1072
1601279562,1062,1062
1601281466,1050,1050
1601283414,1043,1043
1601285303,1033,1033
1601287530,1012,1012
1601289415,998,998
1601291347,987,987
1601293252,975,975
1601295192,966,966
1601297085,958,958
1601299004,955,955
1601300994,942,942
1601302854,931,931
1601304791,921,921
1601306719,918,918
1601308635,916,916
1601310545,906,906
1601312613,884,884
1601314574,877,877
1601316549,870,870
1601318420,860,860
1601320340,852,852
1601322305,841,841
1601324178,831,831
1601326344,815,815
1601328276,809,809
1601330256,811,811
1601332121,801,801
1601334324,791,791
1601336204,791,791
1601338395,776,776
1601340272,783,783
1601342180,781,781
1601344131,788,788
1601346026,790,790
1601347946,783,783
1601349931,774,774
1601351822,766,766
1601353716,765,765
1601355994,767,767
1601357804,757,757
1601359730,754,754
1601361636,759,759
1601363595,766,766
1601365465,772,772
1601367453,767,767
