DateTime,AddedIPs,RemovedIPs
1598523367,20,12
1598531074,15,15
1598538329,15,15
1598541877,3,0
1598545053,12,19
1598552431,16,19
1598559631,20,16
1598566831,10,0
1598574033,25,20
1598581953,45,76
1598588497,28,13
1598596382,13,20
1598603557,15,29
1598610881,11,15
1598617451,13,0
1598624651,15,16
1598632260,12,36
1598639079,13,0
1598646966,13,33
1598653857,14,0
1598661183,16,49
1598669056,43,36
1598676032,25,0
1598683208,13,13
1598689953,26,16
1598697276,14,14
1598704481,21,18
1598711792,13,19
1598719502,16,19
1598726678,21,16
1598733875,12,20
1598741072,7,25
1598748274,20,26
1598755475,35,35
1598762674,25,23
1598769873,15,13
1598777073,10,16
1598784275,18,17
1598791474,11,15
1598798674,18,15
1598805877,17,19
1598813079,13,13
1598820510,21,15
1598827741,10,17
1598834910,25,28
1598842110,37,40
1598849311,26,25
1598856510,18,6
1598863710,16,16
1598871154,17,12
1598877873,14,16
1598885553,14,13
1598892753,14,23
1598900191,17,17
1598907151,14,15
1598914590,18,12
1598921811,40,30
1598928512,38,40
1598935713,20,20
1598943703,17,15
1598950330,24,12
1598957312,18,14
1598964996,14,14
1598971952,17,6
1598979151,17,25
1598986840,6,16
1598994043,12,17
1599000751,10,12
1599008445,26,30
1599015645,42,42
1599022594,24,21
1599029795,13,7
1599036992,16,17
1599044193,8,17
1599051639,16,17
1599059392,19,12
1599066019,10,20
1599073689,15,19
1599080892,13,16
1599088088,12,15
1599095083,27,35
1599102019,39,34
1599109453,28,20
1599116649,10,13
1599123623,14,17
1599131530,13,15
1599138730,19,22
1599145959,18,19
1599153131,14,25
1599160353,14,16
1599167552,20,12
1599174753,19,20
1599181966,31,40
1599189403,47,31
1599196133,16,19
1599203324,10,11
1599210758,13,9
1599217956,13,14
1599225173,12,11
1599232367,18,23
1599239566,15,19
1599246730,22,14
1599254167,16,23
1599261368,8,15
1599268380,31,56
1599276025,51,28
1599283212,21,9
1599290680,17,13
1599298085,16,13
1599305286,15,6
1599312273,13,16
1599319505,17,13
1599326677,14,18
1599334115,12,13
1599341310,14,17
1599348512,10,1
1599355994,26,24
1599363391,47,50
1599370592,20,14
1599377791,11,18
1599384991,15,10
1599391495,9,14
1599399394,13,20
1599406831,16,13
1599414274,12,11
1599421472,13,14
1599428914,15,13
1599433474,10,22
1599434190,2,0
1599441162,26,34
1599448111,42,35
1599455314,21,15
1599463230,22,13
1599469962,15,15
1599477870,29,10
1599485072,23,17
1599492511,17,14
1599499962,18,16
1599507155,19,10
1599514592,15,14
1599521793,10,18
1599528997,36,37
1599536193,37,29
1599543394,20,9
1599550594,13,10
1599557797,17,5
1599564992,22,14
1599572205,15,16
1599580134,13,15
1599587317,14,16
1599592609,3,20
1599594037,15,0
1599601252,18,16
1599609150,20,25
1599616621,39,37
1599623796,38,26
1599631480,20,18
1599638680,17,9
1599645878,17,13
1599652594,18,12
1599659803,13,20
1599667965,14,17
1599674443,18,17
1599681877,16,26
1599689318,7,17
1599696758,19,24
1599703477,36,44
1599710680,39,29
1599717877,25,16
1599725792,12,15
1599733072,17,13
1599740192,15,12
1599747892,16,14
1599754352,23,14
1599762031,20,19
1599769958,25,14
1599777159,7,20
1599784362,22,28
1599791554,39,47
1599799473,25,26
1599806673,14,14
1599813878,15,14
1599821096,12,16
1599827827,13,19
1599835001,21,21
1599842193,17,13
1599849393,15,14
1599856833,16,13
1599864032,11,15
1599871475,27,28
1599878672,31,43
1599885872,30,25
1599893310,17,15
1599900515,18,15
1599907714,14,13
1599914912,10,17
1599922114,16,17
1599929313,17,18
1599936511,8,11
1599943710,6,12
1599950911,9,11
1599951644,2,0
1599958848,29,33
1599966050,39,40
1599973482,25,26
1599980918,15,14
1599987876,31,16
1599995563,17,20
1600002521,14,10
1600009718,13,21
1600016918,12,13
1600024127,15,8
1600031561,11,13
1600038757,15,15
1600045962,29,30
1600053180,39,36
1600060835,21,20
1600067582,7,7
1600075477,9,15
1600082931,11,10
1600089874,8,10
1600097075,14,16
1600104761,16,12
1600111482,13,13
1600119394,12,18
1600126355,13,22
1600133811,34,35
1600140994,47,36
1600148678,22,34
1600155873,18,19
1600162620,12,13
1600170511,19,20
1600177712,9,13
1600184914,17,13
1600191660,16,0
1600199077,14,35
1600206515,15,18
1600213952,11,25
1600220673,39,0
1600222118,1,37
1600224998,27,0
1600230031,21,18
1600237477,14,11
1600244673,18,16
1600252356,11,11
1600259074,13,15
1600266277,16,22
1600273956,23,21
1600280915,19,18
1600288357,17,20
1600296034,22,24
1600303295,25,25
1600310671,44,12
1600317874,38,18
1600325088,20,25
1600332295,11,30
1600339711,21,9
