DateTime,AddedIPs,RemovedIPs
1600230873,1,0
1600238080,0,2
1600243482,2,0
1600251686,1,0
1600255389,1,3
1600256097,0,1
1600257866,0,1
1600263278,1,1
1600266389,0,1
1600270475,0,1
1600277136,1,0
1600277658,0,1
1600280735,1,0
1600289082,7,0
1600292074,0,1
1600293544,0,1
1600295135,1,0
1600301177,0,2
1600302864,2,0
1600304925,0,2
1600309358,2,0
1600312382,0,3
1600317276,1,1
1600321881,0,1
1600323074,0,1
1600324942,0,1
1600327534,2,0
1600328074,1,0
1600331672,0,1
1600334130,2,0
1600335273,0,1
1600338874,0,1
1600342476,0,1
1600346072,0,2
1600348705,0,1
1600353272,1,1
1600356871,1,0
1600359937,0,1
1600362217,0,1
1600364072,2,0
1600365826,1,0
1600367675,1,1
1600375045,0,3
1600377932,2,0
1600382077,1,0
1600392336,0,1
1600393875,0,2
1600397618,0,1
1600407272,2,0
1600409867,1,0
1600415426,0,2
1600421692,0,1
1600423370,0,1
1600433395,2,1
1600437320,1,0
1600440922,1,0
1600451654,1,1
1600453536,1,0
1600459415,2,7
1600461277,1,0
1600464333,0,1
1600465830,0,1
1600469928,0,1
1600472073,0,2
1600474278,1,0
1600477184,0,2
1600488600,2,0
1600497273,0,2
1600499078,0,1
1600500332,1,0
1600503818,1,1
1600505431,0,2
1600508076,1,0
1600511136,2,0
1600518871,1,0
1600523437,0,1
1600528032,2,1
1600530630,0,1
1600533269,0,2
1600534414,1,0
1600536337,0,1
1600537721,0,1
1600541786,1,0
1600548578,0,2
1600554334,0,1
1600558478,1,0
1600565658,1,0
1600568735,0,1
1600571542,1,0
1600576476,2,1
1600581032,0,1
1600583136,2,0
1600587274,4,0
1600589307,1,0
1600591707,2,0
1600593394,1,0
1600594683,1,0
1600597066,1,0
1600602337,1,0
1600604335,0,2
1600606988,1,1
1600611751,1,1
1600614982,1,0
1600616072,2,1
1600620213,1,0
1600623268,2,1
1600626334,1,0
1600628828,0,2
1600631436,0,1
1600634074,1,0
1600636730,1,0
1600641275,2,0
1600643987,0,1
1600645447,1,0
1600647934,2,0
1600652072,1,0
1600719826,21,11
1600724069,3,0
1600727678,1,0
1600730432,1,1
1600742078,1,1
1600745682,0,2
1600748154,1,0
1600755180,1,1
1600756486,0,3
1600758376,3,2
1600762169,1,2
1600764647,0,1
1600767310,6,1
1600773076,0,1
1600775817,1,0
1600777075,0,1
1600785278,0,1
1600788153,1,2
1600788877,0,3
1600790341,2,1
1600792476,0,2
1600795533,0,1
1600800634,1,0
1600802734,2,0
1600804233,0,1
1600806877,0,1
1600810475,1,2
1600817676,0,1
1600819337,1,0
1600820735,1,0
1600824340,1,3
1600828474,0,1
1600831210,1,0
1600832446,1,1
1600835678,3,0
1600838725,0,1
1600839277,0,1
1600842874,1,1
1600848396,0,1
1600850077,0,1
1600853685,4,0
1600855041,2,0
1600857280,0,4
1600863401,0,2
1600865438,1,1
1600866763,1,0
1600868086,0,1
1600872798,1,0
1600877332,0,2
1600882470,1,2
1600884290,1,0
1600885537,1,0
1600886664,0,2
1600889672,1,1
1600891843,1,0
1600893274,0,2
1600894399,0,1
1600899458,0,1
1600900478,1,0
1600902270,4,0
1600904080,1,0
1600908780,1,0
1600910734,1,0
1600912178,2,2
1600913583,1,0
1600916557,2,0
1600918514,0,1
1600920357,3,0
1600922077,1,0
1600927526,0,3
1600932334,0,1
1600936479,0,6
1600937601,1,0
1600938847,3,0
1600940079,2,0
1600943149,1,0
1600944286,2,0
1600946739,0,1
1600948241,1,0
1600949788,1,0
1600950889,1,0
1600953188,1,0
1600954485,1,0
1600957058,2,0
1600958070,0,1
1600959218,1,0
1600960895,0,2
1600961678,0,1
1600964307,1,0
1600971276,1,1
1600972471,2,2
1600979713,0,1
1600985859,3,0
1600989933,0,1
1600991438,0,1
1600994076,1,1
1600997143,1,1
1601000556,0,2
1601003931,1,1
1601004878,0,3
1601013776,0,1
1601015679,1,0
1601019279,1,0
1601022881,0,2
1601025942,1,1
1601030073,2,0
1601034636,1,0
1601037284,2,2
1601043385,1,1
1601046868,2,0
1601048082,0,2
1601054349,1,1
1601055478,0,2
1601057289,1,0
1601058874,0,1
1601060021,2,0
1601062470,1,0
1601064573,6,0
1601066082,1,0
1601071464,0,2
1601073277,0,3
1601076874,1,0
1601079937,1,2
1601084077,0,1
1601087673,1,2
1601089129,0,3
1601090738,1,0
1601091277,0,1
1601094883,2,0
1601097213,5,0
1601099437,2,0
1601105134,1,0
1601108030,1,1
1601109191,0,5
1601112338,2,0
1601112876,0,1
1601114563,2,1
1601117435,1,0
1601120080,0,2
1601121197,0,1
1601122904,1,1
1601123673,0,1
1601126734,1,0
1601127273,0,2
1601129480,0,1
1601133455,0,1
1601134501,2,0
1601137312,1,0
1601141136,0,1
1601145275,0,1
1601148875,3,0
1601156070,8,3
1601162738,1,0
1601166121,0,2
1601166873,0,1
1601173533,2,0
1601175041,0,1
1601184876,0,1
1601190235,1,0
1601193066,1,0
1601194754,2,0
1601196672,5,1
1601199273,0,2
1601200605,2,0
1601202878,2,1
1601207438,0,2
1601210073,1,0
1601212421,2,0
1601217279,2,2
1601220878,0,1
1601224478,0,1
1601227295,2,1
1601228075,2,0
1601230747,1,4
1601231674,0,1
1601233721,2,4
1601235273,1,3
1601236783,2,0
1601246082,0,1
1601247783,2,0
1601249678,0,1
1601252036,1,1
1601256875,1,1
1601260481,0,1
1601264075,4,2
1601267679,2,5
1601269884,4,2
1601273862,2,1
1601278469,0,1
1601281133,2,1
1601282241,1,1
1601284295,2,2
1601288735,0,1
1601291802,1,1
1601295192,0,2
1601299016,1,0
1601301203,1,0
1601303141,0,1
1601304639,0,2
1601305859,0,1
1601307273,2,0
1601308776,1,0
1601309900,1,0
1601314475,0,1
1601317213,0,2
1601320424,2,1
1601323713,0,8
1601330369,0,1
1601331944,1,0
1601334708,3,0
1601341171,0,1
1601343280,0,1
1601345200,1,0
1601347842,2,0
1601354819,1,0
1601360086,0,1
1601363423,0,2
1601368478,0,5
1601371544,3,0
1601373254,0,4
1601374547,1,0
1601382877,0,3
1601384701,1,0
1601385943,1,0
1601387450,0,1
1601389068,1,0
1601390083,1,0
1601396494,0,1
1601397280,0,2
1601399679,13,1
1601400876,2,0
1601406250,1,0
1601411682,2,0
1601413056,1,0
1601417436,0,1
1601422484,4,1
1601426088,0,1
1601433284,0,1
1601439950,1,0
1601450132,1,0
1601451282,0,1
1601458479,1,0
1601462928,1,0
1601464166,2,0
1601472877,1,0
1601475100,1,0
1601478892,0,2
1601480075,0,1
1601481462,1,0
1601483135,2,0
1601486739,2,0
1601489356,1,0
1601493227,1,0
1601494622,1,0
1601497541,4,0
1601501676,2,0
1601505291,3,0
1601508111,1,0
1601515367,1,0
1601518271,1,0
1601525428,1,0
1601534083,1,0
1601536605,0,1
1601540737,0,1
1601541292,0,2
1601549433,1,0
1601556863,1,0
1601559319,0,1
1601560554,1,0
1601565281,0,1
1601567986,0,1
1601569124,0,1
1601573135,0,51
1601576254,0,1
1601577276,1,0
1601580880,1,2
1601583351,0,1
1601588083,1,0
1601591679,1,3
1601593402,4,1
1601605542,1,0
1601609684,1,1
1601613295,1,0
1601620476,1,1
1601627676,0,1
1601629696,2,0
1601632253,1,2
1601634356,0,2
1601642091,2,0
1601644534,0,1
1601651435,2,1
1601653247,0,2
1601656472,0,3
1601660082,0,1
1601664859,0,1
1601668100,0,4
1601671835,0,2
1601673118,0,2
1601674471,0,1
1601676645,0,1
1601684496,0,1
1601685278,1,1
1601694878,0,1
1601701161,2,0
1601717675,1,0
1601720732,2,2
1601723851,1,0
1601724878,1,0
1601728666,0,1
1601731112,2,1
1601738358,1,1
1601746480,0,1
1601748243,1,0
1601750081,1,1
1601752851,1,0
1601757951,0,1
1601760099,0,1
1601761841,6,0
1601763816,0,4
1601774608,2,0
1601775281,0,1
1601778875,1,1
1601782479,1,1
1601784378,3,0
1601789034,1,0
1601799945,2,1
1601801451,1,1
1601811283,0,2
1601814888,1,0
1601818471,0,1
1601819623,1,0
1601821457,1,2
1601826642,0,2
1601829287,1,0
1601854488,0,1
1601860488,1,0
1601861684,1,0
1601863967,1,0
1601872498,0,1
1601878542,1,0
1601884314,1,0
1601886875,0,1
1601888388,1,1
1601889934,2,1
1601894091,3,2
1601899620,2,2
1601907060,0,1
1601908489,1,0
1601918737,0,1
1601920237,1,1
1601930095,1,0
1601933673,1,6
1601937272,1,0
1601940889,1,0
1601943061,1,1
1601944487,0,1
1601948081,0,1
1601953059,0,2
1601954745,1,2
1601969720,0,2
1601971495,0,1
1601976308,2,0
1601984079,0,1
1601987679,1,0
1601989048,1,1
1601991278,0,1
1601997935,0,1
1602000556,0,1
1602008733,1,0
1602014817,1,1
1602021401,1,0
1602030336,1,1
1602030887,0,1
1602034490,8,1
1602041696,1,0
1602046611,0,1
1602048885,0,1
1602051472,1,1
1602052474,2,0
1602057951,1,1
1602059697,0,2
1602061829,1,1
1602063284,1,0
1602064765,0,2
