DateTime,Entries,UniqueIPs
1601166136,3552,3552
1601166880,3545,3545
1601168674,3589,3589
1601170483,3577,3577
1601173539,3614,3614
1601175048,3563,3563
1601177131,3624,3624
1601178669,3610,3610
1601181288,3596,3596
1601183633,3502,3502
1601184884,3496,3496
1601186643,3677,3677
1601188480,3674,3674
1601190245,3738,3738
1601191549,3749,3749
1601193075,3747,3747
1601194763,3738,3738
1601196686,3741,3741
1601199279,3769,3769
1601200611,3822,3822
1601201852,3712,3712
1601202886,3707,3707
1601204136,3708,3708
1601205939,3754,3754
1601207444,3748,3748
1601209382,3795,3795
1601210082,3782,3782
1601212427,3758,3758
1601217286,3741,3741
1601219799,3758,3758
1601220885,3747,3747
1601222522,3764,3764
1601224485,3819,3819
1601225785,3868,3868
1601227303,3884,3884
1601228082,3877,3877
1601230758,3891,3891
1601231682,3877,3877
1601233729,3897,3897
1601235281,3884,3884
1601236789,3922,3922
1601238351,3923,3923
1601241939,3883,3883
1601243438,3875,3875
1601246092,3877,3877
1601247799,3867,3867
1601249686,3857,3857
1601252044,3887,3887
1601253336,3931,3931
1601256885,3906,3906
1601260488,3900,3900
1601264082,3888,3888
1601267691,3849,3849
1601269890,3754,3754
1601271097,3742,3742
1601273874,3827,3827
1601274889,3804,3804
1601278477,3756,3756
1601281147,3709,3709
1601282248,3698,3698
1601284302,3669,3669
1601285718,3674,3674
1601286953,3682,3682
1601288742,3663,3663
1601289283,3676,3676
1601291817,3744,3744
1601293483,3772,3772
1601295199,3744,3744
1601296490,3666,3666
1601299022,3564,3564
1601300086,3562,3562
1601303151,3531,3531
1601304649,3538,3538
1601305867,3496,3496
1601307280,3491,3491
1601308783,3448,3448
1601309908,3454,3454
1601310886,3456,3456
1601313234,3608,3608
1601314481,3606,3606
1601317224,3623,3623
1601318384,3627,3627
1601320431,3638,3638
1601321866,3717,3717
1601323720,3843,3843
1601325283,3828,3828
1601327605,3747,3747
1601330375,3728,3728
1601331952,3720,3720
1601332492,3669,3669
1601334715,3662,3662
1601336108,3656,3656
1601338488,3642,3642
1601339692,3614,3614
1601341178,3612,3612
1601342744,3614,3614
1601343286,3594,3594
1601345206,3578,3578
1601346349,3578,3578
1601347850,3551,3551
1601349336,3584,3584
1601350889,3582,3582
1601353559,3587,3587
1601354854,3592,3592
1601357009,3538,3538
1601357688,3518,3518
1601360092,3689,3689
1601361768,3630,3630
1601363431,3628,3628
1601364893,3627,3627
1601368486,3557,3557
1601369976,3525,3525
1601371551,3530,3530
1601373262,3517,3517
1601374561,3487,3487
1601375683,3481,3481
1601377490,3457,3457
1601379289,3463,3463
1601382887,3440,3440
1601385949,3425,3425
1601387457,3430,3430
1601389080,3423,3423
1601390090,3420,3420
1601392925,3592,3592
1601394084,3561,3561
1601396506,3559,3559
1601397288,3557,3557
1601399685,3854,3854
1601400883,3802,3802
1601406264,3706,3706
1601408082,3720,3720
1601411689,3871,3871
1601413062,3865,3865
1601414741,3932,3932
1601416245,3897,3897
1601417445,4017,4017
1601418900,4017,4017
1601422491,3855,3855
1601424995,3774,3774
1601426098,3762,3762
1601429176,3760,3760
1601429683,3752,3752
1601431687,3850,3850
1601433291,3833,3833
1601435182,3821,3821
1601436888,3817,3817
1601438189,3820,3820
1601439957,3817,3817
1601440495,3806,3806
1601442561,3783,3783
1601444081,3701,3701
1601446111,3931,3931
1601447682,3922,3922
1601450141,3916,3916
1601451288,3913,3913
1601452728,3904,3904
1601454178,3908,3908
1601454885,3892,3892
1601456646,3886,3886
1601458485,3875,3875
1601459768,3851,3851
1601461529,3797,3797
1601462933,3740,3740
1601464178,3713,3713
1601465685,3697,3697
1601467809,3674,3674
1601469070,3697,3697
1601470244,3704,3704
1601471397,3782,3782
1601472884,3760,3760
1601475107,3751,3751
1601477388,3742,3742
1601478897,3893,3893
1601480083,3887,3887
1601481467,3880,3880
1601483141,3813,3813
1601484575,3744,3744
1601486744,3969,3969
1601488245,3918,3918
1601489361,3960,3960
1601490883,3768,3768
1601491981,3762,3762
1601493238,3737,3737
1601494635,3618,3618
1601496005,3633,3633
1601497547,3640,3640
1601498091,3633,3633
1601499231,3639,3639
1601501141,3656,3656
1601501682,3647,3647
1601505297,3646,3646
1601506491,3652,3652
1601508118,3657,3657
1601508887,3660,3660
1601511351,3666,3666
1601512489,3669,3669
1601513739,3675,3675
1601515372,3744,3744
1601516089,3742,3742
1601518283,3771,3771
1601519994,3722,3722
1601522743,3749,3749
1601523284,3741,3741
1601525446,3736,3736
1601526898,3727,3727
