DateTime,AddedIPs,RemovedIPs
1601201790,47,167
1601202845,43,79
1601204102,62,21
1601205905,102,49
1601207404,41,45
1601209346,119,78
1601210045,14,78
1601212388,95,129
1601217248,710,260
1601219751,217,100
1601220845,108,56
1601222482,0,20302
1601224448,20583,0
1601225744,163,25
1601227267,170,73
1601228044,69,63
1601230710,418,109
1601231645,199,95
1601233697,504,101
1601235245,236,62
1601236758,131,63
1601238306,103,4
1601240455,392,162
1601241904,104,3
1601243405,109,53
1601246046,160,130
1601247739,85,73
1601249645,88,51
1601252008,184,84
1601253257,147,86
1601256845,167,153
1601260444,175,108
1601264045,188,145
1601266220,111,69
1601267646,88,81
1601268743,59,46
1601269850,71,127
1601271067,85,67
1601273831,228,74
1601274846,61,93
1601278444,213,200
1601281086,152,121
1601282207,87,87
1601283303,64,26
1601284748,83,80
1601285645,63,57
1601286915,101,23
1601288704,148,109
1601289245,59,67
1601291766,302,138
1601293410,133,79
1601295157,114,121
1601296444,68,148
1601298976,158,193
1601300046,71,76
1601301162,66,24
1601303106,2653,97
1601304606,84,61
1601305829,53,100
1601307244,63,60
1601308740,88,119
1601309859,48,5
1601310849,43,54
1601313196,220,99
1601314446,61,61
1601317196,158,95
1601318344,75,72
1601320394,164,128
1601321828,165,65
1601323676,166,74
1601325244,84,65
1601327502,101,157
1601328848,59,69
1601330332,57,56
1601331911,70,14
1601332450,22,107
1601334680,97,63
1601336062,68,65
1601338444,99,94
1601339644,50,86
1601341139,62,52
1601342704,74,9
1601343245,19,69
1601345158,94,98
1601346305,58,5
1601347805,60,84
1601349279,103,60
1601350828,59,59
1601353506,123,58
1601354779,71,60
1601356969,124,143
1601357645,36,89
1601360057,289,98
1601361694,130,144
1601363374,120,116
1601364847,144,142
1601368446,276,302
1601369934,107,95
1601371506,140,8
1601373227,114,114
1601374492,86,73
1601375644,67,72
1601377469,0,26499
1601379251,26518,0
1601382845,231,149
1601384661,119,128
1601385904,67,0
1601387411,87,94
1601389035,102,102
1601390049,64,66
1601392880,320,101
1601394034,55,91
1601396457,171,167
1601397250,30,92
1601399652,350,89
1601400845,48,347
1601406177,97,770
1601408044,110,75
1601411645,262,170
1601413028,57,31
1601414708,135,71
1601416205,60,95
1601417384,129,89
1601418847,69,72
1601422445,145,363
1601424931,79,172
1601426046,52,86
1601429645,146,194
1601431188,119,76
1601432666,110,8
1601433245,25,96
1601435134,96,105
1601436847,78,98
1601438141,68,40
1601439905,105,85
1601440446,25,112
1601442498,112,126
1601444044,91,186
1601446068,289,128
1601447644,92,105
1601450087,164,105
1601451248,69,124
1601452659,101,51
1601454120,111,81
1601454845,64,123
1601456591,110,138
1601458444,104,126
1601459734,70,59
1601461468,98,149
1601462896,102,182
1601464139,89,129
1601465648,75,120
1601467754,144,144
1601469005,145,111
1601470204,67,2
1601471363,133,126
1601472844,89,3096
1601475074,121,127
1601477355,124,131
1601478864,180,96
1601480045,62,73
1601481658,106,232
1601483104,117,0
1601484539,140,141
1601486708,326,95
1601488205,113,143
1601489322,163,167
1601490844,136,301
1601491946,69,48
1601493158,87,107
1601494595,87,204
1601495961,69,80
1601497505,95,6
1601498045,32,68
1601499200,57,24
1601501106,104,55
1601501645,35,79
1601505245,181,169
1601506441,67,33
1601508085,75,59
1601508845,49,71
1601511298,100,82
1601512444,54,77
1601513699,60,23
1601515332,142,47
1601516052,35,99
1601518238,132,79
1601519953,98,138
1601522705,164,89
1601523247,26,97
1601525354,143,112
1601526845,80,103
1601528192,87,36
1601529495,97,173
1601530452,63,219
1601534045,294,292
1601536564,170,199
1601537645,78,157
1601540705,220,133
1601541252,38,148
1601542361,67,36
1601543954,129,78
1601544854,76,114
1601546035,79,50
1601547852,116,67
1601549407,121,99
1601550818,263,101
1601552044,90,153
1601553259,101,67
1601555037,150,83
1601555645,39,89
1601556832,74,33
1601558037,85,86
1601559254,98,107
1601560527,66,34
1601561833,91,99
1601563806,103,180
1601565254,88,106
1601566447,71,128
1601567958,69,129
1601569078,140,66
1601571011,94,139
1601573105,146,220
1601574218,53,0
1601576216,126,5
1601577245,56,84
1601578666,63,35
1601580311,88,165
1601580845,21,91
1601583315,201,100
1601584445,55,149
1601585995,96,74
1601587102,92,83
1601588044,56,102
1601591644,182,153
1601593338,100,67
1601595253,93,99
1601596374,51,35
1601598309,72,51
1601599807,84,68
1601602445,155,281
1601605505,201,97
1601606051,29,82
1601607842,112,105
1601609646,90,195
1601613245,243,198
1601615146,126,281
1601616853,105,208
1601620445,227,223
1601622410,136,127
1601624045,123,146
1601625983,148,116
1601627646,107,103
1601629662,163,91
1601632205,232,106
1601634313,131,117
1601635806,91,88
1601636913,81,105
1601638446,103,207
1601642045,222,353
1601643194,54,38
1601644493,64,73
1601645822,58,100
1601648265,130,301
1601650206,105,151
1601651397,101,110
1601653220,94,155
1601655822,148,320
1601656445,39,125
1601657861,78,40
1601659454,188,140
1601660052,39,108
1601661658,175,125
1601662835,101,2
1601664604,65,93
1601666705,227,91
1601668065,43,79
1601669636,155,90
1601671804,89,84
1601673094,57,107
1601674444,65,67
1601676576,79,94
1601677678,39,2
1601678798,36,78
1601680336,50,91
1601681645,33,73
1601684468,74,131
1601685245,26,111
1601687576,90,126
1601688844,55,88
1601692446,171,227
1601694827,122,115
1601696045,71,100
1601697169,50,33
1601699644,115,210
1601701075,71,41
1601702455,64,123
1601703245,36,121
1601704482,61,46
1601706306,100,92
1601707805,73,124
1601709235,99,135
1601711235,92,131
1601712839,92,138
1601715360,131,180
1601716524,124,92
1601717645,67,107
1601720704,169,224
1601722205,67,225
1601723820,86,143
1601724844,65,170
1601727057,137,124
1601728636,137,114
1601729731,69,45
1601731068,58,65
1601732053,43,98
1601734311,109,119
1601735645,69,107
1601738328,99,93
1601739748,64,140
1601742304,130,227
1601742844,23,146
1601744095,62,37
1601745573,105,320
1601746444,35,69
1601748191,161,102
1601750044,101,88
1601752823,204,125
1601753644,47,134
1601756709,231,109
1601757920,55,134
1601760068,116,106
1601761804,105,79
1601763787,167,107
1601764446,23,88
1601767314,106,85
1601768045,30,88
1601770670,111,105
1601771645,40,107
1601774577,240,105
1601775245,36,121
1601778845,164,222
1601782446,306,260
1601784319,81,146
1601786044,68,176
1601789008,146,136
1601789645,30,117
1601791481,186,132
1601793245,79,130
1601794471,58,47
1601796304,116,95
1601797805,58,112
1601799899,130,163
1601801407,67,162
1601804044,132,249
1601806064,127,112
1601807431,58,132
1601808605,74,1
1601810705,119,107
1601811244,27,103
1601814852,207,206
1601818444,752,192
1601819599,212,34
1601821412,193,106
1601822044,46,120
1601823550,127,81
1601825052,96,12
1601826604,117,126
1601829245,368,289
1601831694,202,182
1601833039,107,164
1601834452,119,157
1601835788,70,1
1601837075,87,204
1601839489,236,184
1601840044,46,93
1601841821,139,75
1601843644,127,89
1601847252,230,137
1601848869,140,63
1601850845,175,70
1601853562,159,56
1601854444,52,61
1601857505,185,74
1601858045,32,97
1601860436,209,97
1601861645,105,84
1601863937,194,103
1601865245,115,98
1601868845,316,179
1601871906,275,91
1601872446,47,97
1601876051,280,185
1601878485,266,110
1601879645,114,83
1601881687,204,85
1601882845,113,1
1601884236,129,94
1601885338,114,106
1601886512,114,2
1601886846,37,143
1601888351,164,110
1601889907,171,4
1601890445,43,101
1601894044,289,210
1601896738,208,103
1601898244,112,122
1601899491,85,152
1601901244,131,73
1601904845,716,185
1601907032,157,82
1601908445,96,83
1601909569,52,35
1601910721,72,85
1601912045,61,79
1601915644,184,181
1601918705,207,118
1601920206,63,85
1601922844,153,205
1601926445,160,211
1601928399,114,68
1601930046,67,97
1601933644,159,249
1601936135,159,81
1601937244,51,75
1601940846,157,171
1601943034,105,152
1601944445,54,107
1601946246,73,85
1601948044,61,85
1601951071,133,81
1601953012,68,230
1601954705,118,55
1601955247,78,83
1601958046,207,101
1601958845,28,80
1601962444,135,277
1601963960,71,106
1601965506,90,8
1601966867,70,105
1601968110,40,127
1601969663,57,86
1601971441,87,93
1601972705,49,2
1601974414,60,146
1601976269,74,77
1601976846,23,112
1601978346,46,145
1601979707,62,12
1601981405,57,107
1601984046,343,207
1601987645,139,267
1601988999,57,63
1601991248,71,215
1601994305,157,140
1601994845,19,95
1601996045,61,48
1601997907,64,114
1601998445,29,93
1602000053,76,107
1602001503,80,0
1602002044,35,95
1602003654,90,139
1602005104,94,1
1602005646,158,96
1602006932,921,33
1602008704,120,101
1602009245,30,82
1602010857,64,117
1602012304,55,0
1602012845,25,72
1602014757,106,101
1602016446,95,99
1602018595,120,110
1602020045,76,99
1602021369,75,29
1602023106,90,55
1602024605,75,68
1602026705,136,96
1602029088,124,224
1602030845,109,139
1602034445,174,272
1602037068,173,127
1602038047,32,148
1602041645,151,314
1602044383,110,133
1602045247,37,139
1602046545,63,52
1602048437,71,131
1602048844,21,154
1602051440,120,168
1602052445,58,142
1602053851,86,41
1602055509,108,132
1602056045,26,160
1602057922,109,187
1602059647,126,170
1602061779,80,152
1602063244,69,124
1602064672,58,39
