DateTime,AddedIPs,RemovedIPs
1601175040,6,3
1601177114,12,5
1601178659,12,5
1601183627,21,15
1601184875,10,4
1601186629,2,7
1601188473,8,3
1601190225,11,4
1601191542,8,8
1601193066,2,6
1601194751,2,5
1601196670,13,13
1601198637,8,6
1601199273,5,1
1601200605,8,2
1601201838,4,4
1601202877,12,5
1601204129,3,7
1601205932,6,8
1601207437,7,5
1601209374,4,6
1601210073,0,4
1601212420,5,4
1601217279,4,11
1601219784,4,2
1601220878,1,4
1601222509,5,7
1601224478,2,9
1601225770,6,4
1601227295,7,7
1601228074,1,4
1601230747,600,8
1601231674,578,40
1601233721,1213,107
1601235273,653,158
1601236783,1,165
1601238341,1,137
1601241933,9,295
1601243431,8,96
1601246081,12,160
1601247781,13,71
1601249678,9,97
1601252036,5,95
1601253325,2,72
1601256875,9,130
1601260480,9,90
1601264075,9,63
1601267679,10,96
1601269883,12,45
1601271083,3,22
1601273862,7,53
1601274881,0,18
1601278468,16,40
1601281132,17,37
1601282241,8,18
1601284295,9,20
1601285706,7,16
1601286946,8,13
1601288734,6,18
1601289277,4,7
1601291802,19,35
1601293468,5,18
1601295190,5,18
1601296481,7,11
1601299016,7,18
1601300079,4,9
1601301203,3,12
1601303141,4,286
1601304638,5,5
1601305858,5,0
1601307273,4,5
1601308776,3,9
1601309896,5,3
1601310878,2,4
1601313228,10,9
1601314475,5,4
1601317212,13,17
1601318376,2,7
1601320424,5,7
1601321858,2,6
1601323712,6,7
1601325274,7,9
1601327596,11,8
1601328876,5,6
1601330369,4,6
1601331944,9,3
1601332483,5,2
1601334708,10,13
1601336096,7,8
1601338480,13,8
1601339683,10,4
1601341171,7,8
1601342738,2,10
1601343279,2,3
1601345199,4,5
1601346340,4,7
1601347842,12,3
1601349320,5,4
1601350875,5,8
1601353550,18,9
1601354818,4,6
1601357001,16,11
1601357680,2,3
1601360086,7,7
1601361751,11,7
1601363421,9,2
1601364886,4,6
1601368477,17,12
1601369969,11,10
1601371544,10,11
1601373254,12,12
1601374542,3,4
1601375675,2,6
1601377483,5,4
1601379281,16,3
1601382877,15,15
1601384700,12,11
1601385942,6,6
1601387449,2,9
1601389068,2,7
1601390082,5,5
1601392917,8,10
1601396492,15,13
1601397279,6,4
1601399678,10,14
1601400875,5,228
1601406241,7,462
1601408075,5,8
1601411681,19,11
1601413055,8,10
1601414734,7,7
1601416237,10,5
1601417436,5,5
1601418892,7,8
1601422483,18,15
1601424979,7,11
1601426088,3,5
1601429139,13,8
1601429675,8,6
1601431677,7,7
1601433283,5,7
1601435170,7,6
1601436880,7,2
1601438171,4,6
1601439950,8,8
1601440487,3,1
1601442547,4,4
1601444075,9,2
1601446105,12,4
1601447674,12,9
1601450132,7,15
1601451281,3,8
1601452721,4,5
1601454163,7,6
1601454878,3,7
1601456639,6,14
1601458479,6,13
1601459759,0,9
1601461515,9,7
1601462927,14,6
1601464163,9,6
1601465677,3,8
1601467795,11,9
1601469048,13,6
1601470238,5,4
1601471389,4,5
1601472876,1,11
1601475100,6,7
1601477382,11,9
1601478892,9,6
1601480075,6,2
1601481461,5,4
1601483134,5,7
1601484568,13,8
1601486739,12,12
1601488238,5,12
1601489354,7,7
1601490876,13,8
1601491973,2,5
1601493225,2,10
1601494621,3,14
1601495992,4,11
1601497540,11,9
1601498082,5,2
1601499225,4,10
1601501136,12,10
1601501675,3,5
1601505290,7,11
1601506484,5,5
