DateTime,AddedIPs,RemovedIPs
1601177081,50,51
1601178628,32,59
1601181263,53,110
1601183612,41,58
1601184855,33,62
1601186608,27,60
1601188456,32,43
1601190194,29,64
1601191526,28,7
1601193050,36,38
1601194733,47,46
1601198624,101,140
1601199256,23,34
1601200589,19,20
1601201804,23,36
1601202857,27,55
1601204114,38,16
1601205916,31,35
1601207417,24,32
1601209359,38,49
1601210058,8,42
1601212398,30,47
1601217258,589,117
1601219762,139,38
1601220858,90,23
1601223916,239,36
1601224460,50,43
1601225754,111,17
1601227279,106,36
1601228055,56,38
1601230722,182,484
1601231658,98,511
1601233707,187,883
1601235257,227,556
1601236769,228,41
1601238321,214,3
1601241916,442,70
1601243417,178,34
1601246060,252,62
1601247757,128,58
1601249658,160,40
1601252021,181,36
1601253278,111,32
1601256856,214,75
1601260457,205,69
1601264057,177,68
1601266233,133,34
1601267658,93,30
1601269862,133,49
1601273843,245,85
1601274859,60,37
1601281108,294,133
1601282218,73,58
1601284272,90,51
1601285656,79,44
1601286929,89,24
1601288717,85,37
1601289260,32,36
1601291774,142,50
1601293445,81,37
1601295169,88,40
1601296461,51,38
1601298992,104,51
1601300060,39,53
1601301179,44,15
1601303121,2882,32
1601304620,36,37
1601305839,28,40
1601307256,44,38
1601308751,60,44
1601309871,30,7
1601310862,28,30
1601313209,64,40
1601314458,39,28
1601318357,117,75
1601320407,58,40
1601321840,34,32
1601323688,49,36
1601325258,63,46
1601327515,66,53
1601328859,33,39
1601330345,36,28
1601331927,35,10
1601332464,6,33
1601334693,55,36
1601336077,46,51
1601338459,50,58
1601339660,34,50
1601341151,47,36
1601342719,44,8
1601343261,17,38
1601345170,59,52
1601346320,36,10
1601347821,36,47
1601349290,38,41
1601350845,32,35
1601353526,79,51
1601354792,55,41
1601356980,97,49
1601357661,27,47
1601360068,96,51
1601361706,84,68
1601363386,74,80
1601364860,87,110
1601368459,214,193
1601369951,82,39
1601371524,93,13
1601373240,78,70
1601374508,65,29
1601375659,47,34
1601378721,95,54
1601379262,14,41
1601382859,123,70
1601384674,62,70
1601385922,31,6
1601387423,55,69
1601389049,54,51
1601390064,30,42
1601392895,91,45
1601394056,30,39
1601396467,64,57
1601397262,12,63
1601399664,57,58
1601400856,19,46
1601406219,47,151
1601408056,57,49
1601411659,67,115
1601413039,30,25
1601414718,49,48
1601416215,42,48
1601417398,19,62
1601418862,41,50
1601422462,76,153
1601424947,59,64
1601426060,39,50
1601429117,93,71
1601429656,18,72
1601431199,63,62
1601432677,58,11
1601433263,21,61
1601435149,72,79
1601436860,53,78
1601438152,55,30
1601439926,76,66
1601440463,16,82
1601442518,78,85
1601444056,71,83
1601446082,86,108
1601447658,70,78
1601450102,113,75
1601451262,53,91
1601452669,76,29
1601454136,87,57
1601454859,47,74
1601456601,96,110
1601458463,81,87
1601459746,60,30
1601461488,73,70
1601462906,72,113
1601464149,66,86
1601465659,62,73
1601467767,109,99
1601469021,105,76
1601470221,45,6
1601471375,51,60
1601472856,75,3055
1601475085,80,77
1601477367,82,93
1601478875,53,67
1601480057,35,53
1601483117,121,59
1601484549,104,52
1601486719,74,61
1601488219,82,58
1601489334,51,72
1601490855,94,62
1601491959,42,24
1601493168,45,33
1601494605,59,54
1601495971,44,50
1601497522,62,14
1601498061,25,42
1601499211,47,17
1601501118,65,49
1601501658,26,44
1601505263,115,92
1601506452,46,20
1601508096,52,40
1601508859,29,38
1601511311,65,57
1601512463,33,55
1601513713,31,22
1601515346,56,38
1601516064,25,65
1601518251,82,57
1601519968,83,51
1601522719,108,62
1601523257,22,63
1601525379,106,94
1601526862,76,81
1601528207,74,29
1601529510,75,57
1601530467,52,85
1601534060,195,216
1601536583,132,133
1601537660,55,127
1601540720,137,102
1601541269,25,94
1601542382,59,31
1601543967,115,55
1601544874,61,92
1601546048,59,33
1601547863,81,52
1601549418,88,49
1601550828,93,62
1601552056,46,70
1601553271,56,26
1601555052,83,48
1601555660,29,50
1601556843,54,21
1601558051,64,56
1601559273,50,60
1601560540,49,21
1601561846,71,44
1601563817,80,53
1601565264,65,62
1601566466,49,45
1601567970,49,35
1601569090,42,6
1601571028,70,41
1601573117,97,124
1601574227,42,3
1601576236,81,3
1601577258,36,48
1601578678,48,22
1601580322,49,25
1601580858,15,27
1601583331,98,56
1601584463,41,56
1601586014,72,39
1601588062,74,45
1601591659,106,88
1601593370,73,45
1601595266,66,78
1601596385,35,33
1601598335,54,42
1601599818,59,55
1601602464,123,141
1601605522,155,77
1601606069,28,55
1601607857,81,88
1601609662,70,160
1601613264,188,159
1601615156,94,82
1601616865,74,85
1601620456,180,162
1601622422,104,96
1601624060,92,110
1601625995,99,99
1601627656,84,70
1601629674,101,76
1601632220,158,79
1601634331,96,86
1601635821,67,67
1601636926,60,83
1601638464,75,129
1601642061,168,173
1601643204,48,29
1601644507,49,47
1601645837,49,67
1601648279,66,78
1601650223,71,57
1601651408,46,58
1601653231,62,56
1601655834,82,135
1601656456,20,46
1601657871,43,26
1601659464,44,47
1601660064,28,55
1601662024,65,80
1601663542,31,46
1601664836,33,13
1601666716,58,34
1601668077,34,52
1601669649,50,51
1601671816,77,53
1601673104,41,64
1601674456,50,52
1601676601,67,63
1601677823,26,50
1601678932,37,5
1601680347,33,52
1601681660,24,40
1601684480,57,53
1601685258,15,68
1601687588,58,87
1601688860,41,62
1601692463,135,158
1601694840,79,87
1601696057,34,80
1601697183,35,26
1601699656,86,162
1601701135,59,90
1601702466,51,9
1601703262,27,78
1601704498,39,35
1601706321,69,68
1601707821,58,85
1601709261,65,88
1601711245,64,69
1601712851,63,105
1601715371,93,140
1601716535,54,349
1601717659,70,72
1601720716,159,109
1601722224,66,90
1601723831,70,77
1601724858,51,72
1601727069,78,90
1601728646,101,68
1601731078,100,75
1601732068,28,61
1601734321,92,89
1601735658,52,66
1601738340,83,60
1601739776,42,60
1601742318,85,104
1601742858,19,71
1601744107,35,27
1601745585,41,43
1601746460,21,46
1601748203,51,67
1601750061,66,55
1601752835,120,75
1601753659,45,55
1601756724,122,77
1601757934,44,62
1601760080,67,72
1601761820,79,48
1601763800,49,62
1601764462,19,61
1601767324,68,61
1601768061,24,59
1601770681,79,87
1601771661,34,86
1601774590,75,78
1601775261,26,92
1601778857,101,170
1601782458,113,198
1601784353,59,105
1601786061,53,137
1601789018,95,103
1601789658,18,93
1601791493,75,104
1601793262,55,95
1601794483,47,35
1601796315,57,64
1601797821,48,74
1601799922,62,108
1601801423,52,105
1601804061,70,177
1601806075,59,84
1601807448,39,89
1601808619,55,2
1601810718,53,70
1601811262,20,71
1601814868,120,155
1601818455,672,122
1601819610,179,41
1601821431,117,76
1601822062,30,69
1601823563,74,52
1601825072,61,31
1601826620,83,66
1601829267,340,107
1601831706,188,66
1601833051,77,45
1601835801,118,73
1601837096,72,80
1601839502,206,78
1601840054,49,50
1601841844,110,72
1601843662,91,65
1601847268,155,139
1601848880,105,73
1601850857,158,62
1601853572,137,45
1601854461,37,52
1601857518,143,83
1601858063,28,68
1601860447,172,106
1601861661,99,68
1601863949,146,106
1601865256,109,64
1601868865,253,172
1601872464,301,167
1601876063,224,145
1601878499,193,88
1601879664,98,69
1601881700,145,75
1601882856,85,9
1601884255,105,68
1601885806,112,89
1601886859,84,80
1601888371,125,78
1601889918,129,28
1601890458,37,85
1601894062,217,187
1601896750,156,109
1601898268,89,74
1601899601,66,102
1601901262,83,61
1601904863,175,149
1601907044,111,78
1601908461,64,75
1601909580,48,38
1601910745,44,44
1601912059,44,57
1601915660,128,115
1601918719,106,58
1601920217,43,65
1601922857,101,139
1601926461,124,146
1601928411,77,45
1601930064,47,67
1601933657,130,152
1601936147,79,67
1601937257,28,56
1601940863,121,145
1601943046,76,88
1601944464,45,73
1601946269,64,79
1601948061,58,63
1601951084,95,74
1601953025,48,85
1601954724,51,57
1601955259,22,65
1601958062,86,83
1601958865,25,52
1601962461,103,163
1601963971,33,98
1601965521,69,9
1601966881,45,50
1601968122,25,84
1601969683,44,66
1601971462,58,80
1601972723,30,15
1601974431,43,90
1601976283,53,52
1601976860,13,68
1601978359,33,109
1601979722,49,14
1601981420,52,86
1601984058,67,132
1601987659,86,188
