DateTime,Entries,UniqueIPs
1601177081,13553,13553
1601178628,13526,13526
1601181263,13469,13469
1601183612,13452,13452
1601184855,13423,13423
1601186608,13390,13390
1601188456,13379,13379
1601190194,13344,13344
1601191526,13365,13365
1601193050,13363,13363
1601194733,13364,13364
1601198624,13325,13325
1601199256,13314,13314
1601200589,13313,13313
1601201804,13300,13300
1601202857,13272,13272
1601204114,13294,13294
1601205916,13290,13290
1601207417,13282,13282
1601209359,13271,13271
1601210058,13237,13237
1601212398,13220,13220
1601217258,13692,13692
1601219762,13793,13793
1601220858,13860,13860
1601223916,14063,14063
1601224460,14070,14070
1601225754,14164,14164
1601227279,14234,14234
1601228055,14252,14252
1601230722,13950,13950
1601231658,13537,13537
1601233707,12841,12841
1601235257,12512,12512
1601236769,12699,12699
1601238321,12910,12910
1601241916,13282,13282
1601243417,13426,13426
1601246060,13616,13616
1601247757,13686,13686
1601249658,13806,13806
1601252021,13951,13951
1601253278,14030,14030
1601256856,14169,14169
1601260457,14305,14305
1601264057,14414,14414
1601266233,14513,14513
1601267658,14576,14576
1601269862,14660,14660
1601273843,14820,14820
1601274859,14843,14843
1601281108,15004,15004
1601282218,15019,15019
1601284272,15058,15058
1601285656,15093,15093
1601286929,15158,15158
1601288717,15206,15206
1601289260,15202,15202
1601291774,15294,15294
1601293445,15338,15338
1601295169,15386,15386
1601296461,15399,15399
1601298992,15452,15452
1601300060,15438,15438
1601301179,15467,15467
1601303121,18317,18317
1601304620,18316,18316
1601305839,18304,18304
1601307256,18310,18310
1601308751,18326,18326
1601309871,18349,18349
1601310862,18347,18347
1601313209,18371,18371
1601314458,18382,18382
1601318357,18424,18424
1601320407,18442,18442
1601321840,18444,18444
1601323688,18457,18457
1601325258,18474,18474
1601327515,18487,18487
1601328859,18481,18481
1601330345,18489,18489
1601331927,18514,18514
1601332464,18487,18487
1601334693,18506,18506
1601336077,18501,18501
1601338459,18493,18493
1601339660,18477,18477
1601341151,18488,18488
1601342719,18524,18524
1601343261,18503,18503
1601345170,18510,18510
1601346320,18536,18536
1601347821,18525,18525
1601349290,18522,18522
1601350845,18519,18519
1601353526,18547,18547
1601354792,18561,18561
1601356980,18609,18609
1601357661,18589,18589
1601360068,18634,18634
