DateTime,AddedIPs,RemovedIPs
1600496738,1,0
1600503821,1,0
1600508078,1,1
1600509836,0,1
1600512678,0,6
1600514736,0,4
1600518000,0,41
1600518874,1,1
1600520734,3,0
1600525535,0,1
1600534416,1,0
1600539228,2,0
1600540476,4,1
1600543168,0,1
1600547140,2,0
1600549734,1,1
1600554337,0,1
1600555880,0,1
1600564249,1,0
1600568737,1,1
1600570284,0,5
1600576478,4,3
1600581035,1,1
1600583138,0,1
1600585790,1,3
1600587276,1,0
1600589310,0,1
1600591709,3,0
1600593399,0,1
1600597071,0,5
1600600679,1,1
1600602341,0,3
1600604338,0,3
1600605307,1,0
1600606999,3,1
1600608881,1,0
1600611753,1,0
1600621545,0,2
1600626337,0,1
1600626874,0,1
1600628833,0,1
1600631438,1,0
1600637671,0,1
1600641278,2,2
1600642578,1,0
1600643990,1,0
1600647936,1,0
1600648477,1,0
1600651286,3,1
1600719831,54,12
1600720476,24,0
1600722223,1,0
1600724072,4,0
1600727681,2,0
1600730435,3,0
1600734343,2,0
1600734882,0,1
1600737596,2,0
1600742081,3,0
1600745685,3,0
1600748158,1,0
1600750246,1,0
1600751492,1,0
1600753839,1,1
1600755183,1,0
1600760674,1,1
1600764649,0,1
1600767313,0,1
1600768576,1,0
1600769671,1,1
1600770878,1,3
1600773083,2,1
1600774484,0,1
1600775819,0,2
1600777078,2,0
1600780118,7,0
1600782556,1,1
1600783863,1,1
1600785281,1,1
1600790343,1,0
1600800637,1,1
1600802737,2,0
1600808655,1,1
1600810478,1,1
1600817678,0,1
1600819342,2,0
1600822239,0,1
1600825780,0,2
1600828476,0,1
1600831218,1,1
1600833880,0,1
1600838728,0,1
1600839279,0,1
1600841146,1,0
1600853688,0,1
1600857282,1,1
1600861845,1,0
1600863408,0,1
1600865441,0,1
1600866765,1,0
1600877335,1,0
1600882472,0,1
1600886669,0,4
1600889675,1,27
1600897837,0,1
1600899462,0,1
1600900481,0,1
1600904083,1,2
1600905857,0,3
1600907675,1,1
1600908786,0,1
1600912181,0,3
1600913588,0,1
1600914879,0,1
1600918518,0,1
1600920360,1,3
1600922080,0,2
1600923242,0,1
1600925679,0,3
1600933512,0,1
1600940082,0,2
1600943152,0,4
1600944294,0,4
1600946742,2,2
1600948244,0,4
1600949791,0,3
1600953193,2,1
1600954488,0,5
1600957061,5,0
1600958072,0,1
1600959220,0,1
1600960897,1,0
1600964310,0,1
1600967834,0,2
1600968873,1,0
1600971278,0,1
1600972473,0,2
1600977049,1,1
1600978842,0,1
1600982242,4,2
1600983279,1,1
1600991441,0,1
1600993300,2,2
1600994078,0,1
1600995476,2,0
1601000558,0,1
1601001285,0,1
1601007560,6,0
1601008701,0,1
1601012074,0,1
1601013780,1,0
1601015681,0,1
1601016921,0,1
1601025944,1,1
1601027090,0,2
1601030076,1,0
1601033141,1,0
1601037315,1,0
1601040879,0,2
1601046871,0,2
1601054352,1,0
1601058876,2,0
1601062472,1,1
1601073281,0,1
1601076877,0,1
1601079940,1,0
1601087676,0,2
1601089135,1,2
1601094886,1,0
1601102069,0,1
