DateTime,AddedIPs,RemovedIPs
1601705494,32,38
1601706214,53,65
1601706934,67,61
1601707655,88,57
1601708374,79,493
1601709094,50,52
1601709813,54,39
1601710533,52,43
1601711254,47,35
1601711974,48,36
1601712694,56,46
1601713414,45,46
1601714134,57,82
1601714854,51,74
1601715574,46,45
1601716294,48,48
1601717014,35,51
1601717735,63,38
1601718454,41,40
1601719174,49,36
1601719894,61,46
1601720614,34,50
1601721334,39,46
1601722054,45,47
1601722774,43,59
1601723494,31,77
1601724214,39,69
1601724934,44,71
1601725654,42,57
1601726374,50,57
1601727094,51,45
1601727815,47,48
1601728534,42,45
1601729254,40,41
1601729974,41,47
1601730694,41,52
1601731414,34,38
1601732134,42,34
1601732854,46,39
1601733574,42,49
1601734294,36,69
1601735014,39,54
1601735734,47,44
1601736454,47,45
1601737174,35,48
1601737894,51,51
1601738614,40,46
1601739334,34,52
1601740054,36,51
1601740774,42,50
1601741494,47,50
1601742213,39,45
1601742934,35,37
1601743653,29,49
1601744374,40,54
1601745094,60,39
1601745814,47,51
1601746534,54,29
1601747254,40,42
1601747974,47,29
1601748694,35,57
1601749414,41,42
1601750135,45,49
1601750854,54,33
1601751574,61,37
1601752294,46,32
1601753013,49,49
1601753734,36,44
1601754454,37,39
1601755174,32,47
1601755894,49,44
1601756614,51,63
1601757334,38,52
1601758054,43,41
1601758773,39,34
1601759496,30,35
1601760213,42,40
1601760934,34,32
1601761653,26,36
1601762374,40,42
1601763094,38,59
1601763814,61,45
1601764534,57,50
1601765254,43,44
1601765974,31,41
1601766694,37,29
1601767414,34,46
1601768134,26,42
1601768854,36,63
1601769574,39,39
1601770294,51,37
1601771014,61,37
1601771735,90,43
1601772454,66,41
1601773174,50,37
1601773894,35,31
1601774614,41,42
1601775334,289,37
1601776053,72,53
1601776773,27,29
1601777494,31,28
1601778214,41,44
1601778935,41,41
1601779654,75,28
1601780373,84,49
1601781094,67,38
1601781815,44,47
1601782535,35,57
1601783255,55,47
1601783974,52,32
1601784694,38,48
1601785414,34,52
1601786133,38,38
1601786854,27,55
1601787574,45,49
1601788294,32,46
1601789013,37,46
1601789733,31,37
1601790454,35,39
1601791174,36,35
1601791894,42,42
1601792614,57,47
1601793334,45,52
1601794054,56,85
1601794774,35,64
1601795494,46,47
1601796214,70,46
1601796934,38,52
1601797654,30,47
1601798374,49,40
1601799094,51,55
1601799814,35,44
1601800534,43,56
1601801254,43,52
1601801974,55,37
1601802694,41,48
1601803413,33,39
1601804134,42,44
1601804853,35,52
1601805575,35,49
1601806293,35,50
1601807013,47,32
1601807734,54,39
1601808453,65,40
1601809174,75,50
1601809894,47,38
1601810614,39,36
1601811334,39,35
1601812054,46,42
1601812774,60,40
1601813493,36,48
1601814214,48,53
1601814935,39,31
1601815654,39,40
1601816374,54,46
1601817094,36,38
1601817814,50,36
1601818534,33,44
1601819253,45,54
1601819974,90,42
1601820694,51,34
1601821414,45,32
1601822134,35,51
1601822854,42,44
1601823574,31,43
1601824294,38,44
1601825014,70,41
1601825734,56,34
1601826454,47,34
1601827174,47,39
1601827894,39,49
1601828614,40,31
1601829334,30,42
1601830055,44,35
1601830773,36,33
1601831494,40,69
1601832214,56,53
1601832934,48,51
1601833654,36,44
1601834374,39,48
1601835094,53,32
1601835814,38,40
1601836535,61,48
1601837254,42,55
1601837974,53,50
1601838694,55,45
1601839414,32,46
1601840134,40,38
1601840854,34,42
1601841574,47,39
1601842294,53,48
1601843014,62,48
1601843734,49,32
1601844454,35,33
1601845174,40,33
1601845894,42,42
1601846614,27,47
1601847334,34,37
1601848054,34,37
1601848774,60,38
1601849494,134,35
1601850214,61,58
1601850934,49,60
1601851654,52,43
1601852374,36,30
1601853093,29,28
1601853814,31,44
1601854533,34,20
1601855253,36,31
1601855975,37,41
1601856694,44,49
1601857414,37,56
1601858134,27,91
1601858854,38,65
1601859574,37,55
1601860294,49,34
1601861014,47,33
1601861734,36,223
1601862454,115,110
1601863174,44,30
1601863894,55,30
1601864614,113,49
1601865334,94,48
1601866054,78,74
1601866834,42,90
1601867494,42,67
1601868215,53,49
1601868935,39,35
1601869654,39,44
1601870373,52,56
1601871094,48,48
1601871814,48,41
1601872534,61,43
1601873253,51,39
1601873974,47,51
1601874694,43,41
1601875415,52,42
1601876133,51,31
1601876853,60,40
1601877574,43,39
1601878294,63,57
1601879014,53,52
1601879734,57,54
1601880454,68,60
1601881174,71,48
1601881895,69,42
1601882614,60,74
1601883334,48,47
1601884054,60,42
1601884774,45,61
1601885494,54,59
1601886214,59,39
1601886934,53,52
1601887654,52,49
1601888375,68,62
1601889095,176,49
1601889814,52,45
1601890534,58,57
1601891254,48,50
1601891974,294,44
1601892694,40,38
1601893414,45,47
1601894134,52,63
1601894854,45,67
1601895574,57,65
1601896294,48,48
1601897014,66,48
1601897734,74,44
1601898455,58,47
1601899174,63,67
1601899894,60,43
1601900614,197,52
1601901335,61,36
1601902054,49,43
1601902774,52,62
1601903494,47,39
1601904214,45,55
1601904934,71,42
1601905654,50,40
1601906374,46,95
1601907094,41,44
1601907814,54,40
1601908534,111,45
1601909255,76,47
1601909975,67,36
1601910695,36,47
1601911414,45,59
1601912134,61,53
1601912854,96,54
1601913574,75,40
1601914294,71,45
1601915014,40,51
1601915734,36,38
1601916454,53,44
1601917174,40,36
1601917894,40,43
1601918614,42,56
1601919334,54,60
1601920055,44,293
1601920774,51,484
1601921494,23,63
1601922215,47,45
1601922935,60,56
1601923654,43,48
1601924374,44,55
1601925094,36,54
1601925814,34,43
1601926534,29,35
1601927255,40,47
1601927973,41,46
1601928693,40,52
1601929414,40,62
1601930134,46,53
1601930854,39,43
1601931574,45,40
1601932294,48,40
1601933014,70,35
1601933734,81,39
1601934454,84,36
1601935174,55,54
1601935894,52,133
1601936614,52,48
1601937334,39,50
1601938054,51,50
1601938774,54,51
1601939494,63,30
1601940214,81,34
1601940934,52,36
1601941654,41,39
1601942374,144,33
1601943094,146,38
1601943814,35,39
1601944535,35,35
1601945254,30,54
1601945974,40,31
1601946694,26,58
1601947413,47,59
1601948134,40,40
1601948854,52,106
1601949635,61,49
1601950294,47,41
1601951014,55,102
1601951734,50,96
1601952454,58,84
1601953174,37,34
1601953894,32,58
1601954614,29,51
1601955334,48,52
1601956054,40,32
1601956774,53,49
1601957494,40,57
1601958214,37,48
1601958934,43,60
1601959654,41,46
1601960373,45,49
1601961094,48,53
1601961813,49,53
1601962533,38,54
1601963253,45,60
1601964034,66,56
1601964693,50,58
1601965414,57,52
1601966135,48,53
1601966854,62,59
1601967574,43,63
1601968294,57,68
1601969014,88,60
1601969734,56,48
1601970455,64,59
1601971175,630,56
1601971894,142,54
1601972614,118,75
1601973334,104,57
1601974054,50,54
1601974775,51,57
1601975494,53,59
1601976214,51,49
1601976934,50,63
1601977654,44,42
1601978375,61,279
1601979095,61,35
1601979815,49,46
1601980534,45,64
1601981254,39,47
1601981974,40,49
1601982694,50,50
1601983414,45,66
1601984134,71,76
1601984855,73,63
1601985575,63,57
1601986295,58,49
1601987014,51,60
1601987735,46,78
1601988454,44,34
1601989173,95,41
1601989894,101,39
1601990614,95,45
1601991334,46,85
1601992054,67,57
1601992774,54,56
1601993495,75,44
1601994215,54,50
1601994934,41,112
1601995654,52,66
1601996375,41,79
1601997095,79,31
1601997814,51,33
1601998534,45,49
1601999254,36,82
1601999974,33,74
1602000694,42,57
1602001414,54,49
1602002135,50,34
1602002854,57,53
1602003574,42,44
1602004294,37,43
1602005014,49,47
1602005734,50,59
1602006453,42,44
1602007174,37,47
1602007894,52,34
1602008614,43,40
1602009334,35,54
1602010054,45,38
1602010774,39,44
1602011494,44,43
1602012214,42,32
1602012934,34,41
1602013654,37,40
1602014374,45,46
1602015094,33,38
1602015814,45,43
1602016535,31,47
1602017254,35,37
1602017974,53,38
1602018694,56,61
1602019654,54,108
1602020374,32,83
1602021093,27,70
1602021814,32,59
1602022534,40,45
1602023254,46,49
1602023974,65,37
1602024694,36,37
1602025414,63,61
1602026134,42,54
1602026854,45,74
1602027574,35,38
1602028294,37,121
1602029014,46,148
1602029734,53,42
1602030454,60,29
1602031174,62,37
1602031894,47,38
1602032854,49,49
1602033574,43,39
1602034294,43,44
1602035014,40,52
1602035735,34,42
1602036454,39,47
1602037174,40,46
1602037894,85,56
1602038614,36,50
1602039334,37,45
1602040054,50,39
1602040774,38,45
1602041494,42,37
1602042214,48,39
1602042934,42,43
1602043894,67,55
1602044614,50,42
1602045333,63,32
1602046294,69,60
1602047254,70,52
1602047974,39,46
1602048694,53,44
1602049414,53,47
1602050134,44,44
1602050853,49,47
1602051574,52,52
1602052294,51,51
1602053014,48,55
1602053735,58,37
1602054454,53,49
1602055174,47,75
1602055894,42,64
1602056614,51,61
1602057334,46,55
1602058053,57,98
1602058774,73,133
1602059494,68,93
1602060214,57,67
1602060934,100,45
1602061654,78,43
1602062374,69,60
1602063094,55,43
1602063814,52,47
1602064534,38,46
1602065254,58,54
1602065973,51,50
