DateTime,Entries,UniqueIPs
1601705494,31910,31910
1601706214,31898,31898
1601706934,31904,31904
1601707655,31935,31935
1601708374,31521,31521
1601709094,31519,31519
1601709813,31534,31534
1601710533,31543,31543
1601711254,31555,31555
1601711974,31567,31567
1601712694,31577,31577
1601713414,31576,31576
1601714134,31551,31551
1601714854,31528,31528
1601715574,31529,31529
1601716294,31529,31529
1601717014,31513,31513
1601717735,31538,31538
1601718454,31539,31539
1601719174,31552,31552
1601719894,31567,31567
1601720614,31551,31551
1601721334,31544,31544
1601722054,31542,31542
1601722774,31526,31526
1601723494,31480,31480
1601724214,31450,31450
1601724934,31423,31423
1601725654,31408,31408
1601726374,31401,31401
1601727094,31407,31407
1601727815,31406,31406
1601728534,31403,31403
1601729254,31402,31402
1601729974,31396,31396
1601730694,31385,31385
1601731414,31381,31381
1601732134,31389,31389
1601732854,31396,31396
1601733574,31389,31389
1601734294,31356,31356
1601735014,31341,31341
1601735734,31344,31344
1601736454,31346,31346
1601737174,31333,31333
1601737894,31333,31333
1601738614,31327,31327
1601739334,31309,31309
1601740054,31294,31294
1601740774,31286,31286
1601741494,31283,31283
1601742213,31277,31277
1601742934,31275,31275
1601743653,31255,31255
1601744374,31241,31241
1601745094,31262,31262
1601745814,31258,31258
1601746534,31283,31283
1601747254,31281,31281
1601747974,31299,31299
1601748694,31277,31277
1601749414,31276,31276
1601750135,31272,31272
1601750854,31293,31293
1601751574,31317,31317
1601752294,31331,31331
1601753013,31331,31331
1601753734,31323,31323
1601754454,31321,31321
1601755174,31306,31306
1601755894,31311,31311
1601756614,31299,31299
1601757334,31285,31285
1601758054,31287,31287
1601758773,31292,31292
1601759496,31287,31287
1601760213,31289,31289
1601760934,31291,31291
1601761653,31281,31281
1601762374,31279,31279
1601763094,31258,31258
1601763814,31274,31274
1601764534,31281,31281
1601765254,31280,31280
1601765974,31270,31270
1601766694,31278,31278
1601767414,31266,31266
1601768134,31250,31250
1601768854,31223,31223
1601769574,31223,31223
1601770294,31237,31237
1601771014,31261,31261
1601771735,31308,31308
1601772454,31333,31333
1601773174,31346,31346
1601773894,31350,31350
1601774614,31349,31349
1601775334,31601,31601
1601776053,31620,31620
1601776773,31618,31618
1601777494,31621,31621
1601778214,31618,31618
1601778935,31618,31618
1601779654,31665,31665
1601780373,31700,31700
1601781094,31729,31729
1601781815,31726,31726
1601782535,31704,31704
1601783255,31712,31712
1601783974,31732,31732
1601784694,31722,31722
1601785414,31704,31704
1601786133,31704,31704
1601786854,31676,31676
