DateTime,AddedIPs,RemovedIPs
1600999004,26,25
1601000941,20,30
1601002865,18,28
1601004753,30,0
1601006724,27,79
1601009536,36,33
1601011474,23,27
1601013404,27,28
1601015299,26,24
1601017231,15,22
1601019190,36,24
1601022029,24,26
1601023946,21,24
1601025886,30,29
1601028793,23,23
1601030688,21,24
1601032606,19,18
1601034509,27,0
1601036448,28,26
1601038372,16,56
1601040262,21,0
1601042228,31,46
1601044384,36,23
1601046259,23,21
1601048205,40,41
1601050119,18,27
1601052042,24,46
1601057070,24,47
1601059006,42,29
1601060929,23,23
1601062835,32,26
1601064747,30,18
1601066707,22,30
1601068603,26,29
1601070536,29,25
1601072435,33,0
1601074351,24,18
1601076321,22,33
1601078202,20,24
1601080101,21,20
1601082060,18,28
1601083984,23,26
1601085867,25,25
1601087821,46,28
1601090663,27,23
1601092657,28,37
1601097378,30,60
1601099301,15,20
1601101254,18,27
1601103135,18,26
1601105062,22,22
1601107007,23,29
1601108912,22,26
1601110812,23,20
1601114929,19,33
1601117826,15,38
1601119702,29,24
1601121626,16,26
1601123573,25,27
1601125468,13,17
1601127408,19,19
1601129331,27,26
1601131279,30,40
1601133144,24,23
1601135060,20,41
1601137021,23,14
1601138911,14,28
1601140842,18,0
1601142753,31,0
1601144663,25,20
1601146611,30,42
1601148532,30,18
1601150440,30,29
1601152395,41,20
1601154249,32,22
1601156186,29,24
1601158132,21,23
1601160050,24,37
1601161948,24,26
1601163883,28,29
1601165794,24,15
1601167712,37,24
1601169642,31,26
1601171546,30,27
1601173505,26,35
1601175395,28,38
1601177340,28,32
1601179257,26,24
1601181183,24,0
1601183066,26,0
1601186936,20,46
1601188825,26,24
1601190750,26,20
1601192739,27,27
1601194578,20,25
1601196530,28,18
1601198416,24,21
1601200341,16,0
1601202279,13,21
1601205176,16,22
1601207078,25,16
1601208978,25,16
1601210920,24,22
1601212826,29,13
1601214749,27,22
1601216685,16,24
1601218566,20,26
1601220526,15,23
1601222424,18,21
1601226286,22,30
1601228180,23,14
1601230370,24,25
1601232293,18,23
