DateTime,Entries,UniqueIPs
1600999004,14377,14893
1601000941,14364,14880
1601002865,14354,14870
1601004753,14346,14862
1601006724,14333,14849
1601009536,14326,14843
1601011474,14307,14824
1601013404,14307,14823
1601015299,14304,14821
1601017231,14300,14817
1601019190,14296,14815
1601022029,14290,14809
1601023946,14287,14806
1601025886,14297,14818
1601028793,14275,14796
1601030688,14276,14797
1601032606,14270,14793
1601034509,14271,14794
1601036448,14275,14796
1601038372,14266,14786
1601040262,14266,14786
1601042228,14268,14788
1601044384,14270,14790
1601046259,14267,14787
1601048205,14278,14798
1601050119,14264,14785
1601052042,14252,14772
1601057070,14231,14750
1601059006,14237,14755
1601060929,14244,14757
1601062835,14236,14748
1601064747,14218,14733
1601066707,14212,14726
1601068603,14217,14730
1601070536,14226,14739
1601072435,14234,14748
1601074351,14232,14746
1601076321,14221,14735
1601078202,14207,14722
1601080101,14204,14718
1601082060,14196,14715
1601083984,14203,14722
1601085867,14210,14732
1601087821,14213,14737
1601090663,14211,14739
1601092657,14191,14720
1601097378,14180,14709
1601099301,14183,14712
1601101254,14185,14714
1601103135,14192,14724
1601105062,14182,14713
1601107007,14175,14706
1601108912,14162,14691
1601110812,14175,14704
1601114929,14185,14715
1601117826,14171,14702
1601119702,14177,14712
1601121626,14187,14722
1601123573,14169,14704
1601125468,14176,14711
1601127408,14171,14705
1601129331,14160,14694
1601131279,14169,14705
1601133144,14176,14712
1601135060,14161,14697
1601137021,14158,14694
1601138911,14150,14686
1601140842,14123,14658
1601142753,14134,14670
1601144663,14127,14663
1601146611,14127,14667
1601148532,14130,14673
1601150440,14132,14677
1601152395,14126,14671
1601154249,14126,14671
1601156186,14141,14687
1601158132,14138,14685
1601160050,14109,14657
1601161948,14116,14664
1601163883,14113,14660
1601165794,14110,14657
1601167712,14118,14666
1601169642,14121,14669
1601171546,14114,14660
1601173505,14109,14657
1601175395,14118,14666
1601177340,14097,14645
1601179257,14108,14656
1601181183,14101,14648
1601183066,14097,14644
1601186936,14090,14636
1601188825,14096,14642
1601190750,14082,14629
1601192739,14075,14622
1601194578,14082,14629
1601196530,14084,14630
1601198416,14075,14621
1601200341,14080,14626
1601202279,14077,14623
1601205176,14072,14618
1601207078,14072,14619
1601208978,14073,14618
1601210920,14069,14614
1601212826,14062,14606
1601214749,14059,14602
1601216685,14052,14594
1601218566,14041,14584
1601220526,14034,14577
1601222424,14040,14584
1601226286,14035,14580
1601228180,14024,14569
1601230370,13997,14543
1601232293,13983,14527
1601234214,13977,14520
1601236123,13974,14520
1601238044,13966,14512
1601239971,13966,14512
1601241870,13976,14524
1601243827,13970,14518
1601245712,13987,14535
1601247660,13987,14534
1601249565,13977,14524
1601251719,13978,14529
1601254823,13971,14522
1601256774,13980,14533
1601258660,13986,14539
1601260581,13994,14547
1601262536,14000,14553
1601264435,13982,14534
1601266601,13993,14545
1601268747,13991,14543
1601270683,13980,14532
1601272599,13979,14532
1601274510,13986,14540
1601276487,13984,14539
1601278382,14004,14559
1601282182,13980,14534
1601284378,13980,14534
1601286297,13985,14539
1601288185,13983,14537
1601291331,13978,14532
1601293235,13984,14539
1601295163,13972,14527
1601297064,13960,14519
1601298978,13960,14520
1601300939,13950,14511
1601302826,13946,14506
1601304751,13936,14495
1601306689,13938,14497
1601309545,13934,14491
1601311473,13942,14499
1601313379,13952,14509
1601315304,13961,14518
1601317280,13967,14524
1601319176,13977,14534
1601321067,13989,14546
1601323050,13991,14548
1601324900,13997,14554
1601326822,14012,14569
1601328777,14024,14581
1601330682,14030,14587
1601333546,14039,14596
1601335509,14057,14616
1601337392,14064,14623
1601339336,14073,14632
1601341257,14078,14637
1601343140,14085,14644
1601345100,14090,14649
1601347025,14095,14654
1601348917,14111,14670
1601353702,14123,14683
1601355666,14134,14694
1601357540,14152,14712
1601359698,14161,14721
1601361620,14190,14750
1601364524,14198,14759
1601367387,14212,14775
1601369332,14219,14787
1601371221,14229,14797
1601373160,14238,14810
1601376035,14248,14823
1601378184,14258,14835
1601380124,14264,14842
1601382999,14280,14859
1601384909,14290,14869
1601386838,14309,14888
1601388772,14319,14899
1601390659,14332,14913
1601392582,14342,14923
1601394548,14351,14932
1601398347,14364,14945
1601400333,14377,14958
1601404478,14406,14988
1601406554,14418,15002
1601409417,14430,15016
1601411311,14446,15032
1601413231,14461,15049
1601415186,14485,15073
1601417085,14493,15084
1601419024,14512,15103
1601420970,14524,15115
1601424822,14535,15127
1601426668,14545,15137
1601428854,14555,15147
1601430760,14567,15159
1601432715,14577,15170
1601434568,14592,15187
1601438476,14601,15197
1601440367,14608,15204
1601444413,14617,15213
1601446367,14637,15233
1601448252,14645,15241
1601450179,14654,15250
1601452137,14672,15268
1601454087,14685,15284
1601455936,14696,15296
1601457863,14707,15307
1601459798,14715,15315
1601461707,14728,15329
1601463644,14736,15337
1601465579,14761,15363
1601467466,14774,15376
1601471371,14780,15382
1601473231,14804,15406
1601475146,14809,15411
1601477089,14814,15416
1601479002,14827,15429
1601480900,14833,15435
1601482860,14846,15448
1601484746,14859,15461
1601486698,14869,15471
1601488582,14880,15483
1601490522,14897,15501
1601493378,14915,15520
1601495324,14928,15534
1601497264,14939,15545
1601499204,14950,15557
1601501090,14960,15568
1601503052,14970,15578
