DateTime,AddedIPs,RemovedIPs
1600999004,46,48
1601000941,54,49
1601002865,48,55
1601004753,64,47
1601006724,47,64
1601009536,56,47
1601011474,45,55
1601013404,55,48
1601015299,51,54
1601017231,41,42
1601019190,61,46
1601022029,50,64
1601023946,39,49
1601025886,56,41
1601028793,50,57
1601030688,45,49
1601032606,48,44
1601034509,48,45
1601036448,45,49
1601038372,49,45
1601040262,38,48
1601042228,50,40
1601044384,58,51
1601046259,42,57
1601048205,62,44
1601050119,30,61
1601052042,61,29
1601057070,49,61
1601059006,63,48
1601060929,41,64
1601062835,55,44
1601064747,49,51
1601066707,45,48
1601068603,48,49
1601070536,53,48
1601072435,51,49
1601074351,54,53
1601076321,50,54
1601078202,53,49
1601080101,45,51
1601082060,52,49
1601083984,52,51
1601085867,56,55
1601087821,70,56
1601090663,55,66
1601092657,54,54
1601097378,59,59
1601099301,44,57
1601101254,39,34
1601103135,39,42
1601105062,53,46
1601107007,43,54
1601108912,43,43
1601110812,37,43
1601114929,32,34
1601117826,43,35
1601119702,44,42
1601121626,33,43
1601123573,54,35
1601125468,33,55
1601127408,58,34
1601129331,51,56
1601131279,43,51
1601133144,48,42
1601135060,45,49
1601137021,47,46
1601138911,29,45
1601140842,33,32
1601142753,56,31
1601144663,48,54
1601146611,55,48
1601148532,57,53
1601150440,56,60
1601152395,64,55
1601154249,48,66
1601156186,59,49
1601158132,45,57
1601160050,52,45
1601161948,57,48
1601163883,56,59
1601165794,55,53
1601167712,63,57
1601169642,57,68
1601171546,60,57
1601173505,59,60
1601175395,57,60
1601177340,61,55
1601179257,47,61
1601181183,64,47
1601183066,55,65
1601186936,43,54
1601188825,71,41
1601190750,54,73
1601192739,42,45
1601194578,49,52
1601196530,43,47
1601198416,50,46
1601200341,44,48
1601202279,43,44
1601205176,44,41
1601207078,51,43
1601208978,46,53
1601210920,53,45
1601212826,50,52
1601214749,53,49
1601216685,43,53
1601218566,39,47
1601220526,36,39
1601222424,36,37
1601226286,39,34
1601228180,50,39
1601230370,52,51
1601232293,52,49
1601234214,53,52
1601236123,50,55
1601238044,39,52
1601239971,39,37
1601241870,44,38
1601243827,49,45
1601245712,60,47
1601247660,51,62
1601249565,54,52
1601251719,50,52
1601254823,56,52
1601256774,62,56
1601258660,55,62
1601260581,53,57
1601262536,60,51
1601264435,57,61
1601266601,64,57
1601268747,61,61
1601270683,40,63
1601272599,52,41
1601274510,54,50
1601276487,58,56
1601278382,61,58
1601282182,53,57
1601284378,55,57
1601286297,56,50
1601288185,52,56
1601291331,49,54
1601293235,66,53
1601295163,51,62
1601297064,47,46
1601298978,50,52
1601300939,47,49
1601302826,48,46
1601304751,43,47
1601306689,34,41
1601309545,48,38
1601311473,35,46
1601313379,49,39
1601315304,48,48
1601317280,46,49
1601319176,50,46
1601321067,50,45
1601323050,41,49
1601324900,42,46
1601326822,52,43
1601328777,65,53
1601330682,45,61
1601333546,51,48
1601335509,55,52
1601337392,42,52
1601339336,41,42
1601341257,46,41
1601343140,57,50
1601345100,55,55
1601347025,53,55
1601348917,50,49
1601353702,60,54
1601355666,56,59
1601357540,65,59
1601359698,52,63
1601361620,81,56
1601364524,55,79
1601367387,50,56
1601369332,46,47
1601371221,61,46
1601373160,49,57
1601376035,67,54
1601378184,61,67
1601380124,62,59
1601382999,65,61
1601384909,50,64
1601386838,60,54
1601388772,47,60
1601390659,48,48
1601392582,45,45
1601394548,32,47
1601398347,43,35
1601400333,41,38
1601404478,77,43
1601406554,60,77
1601409417,53,59
1601411311,60,54
1601413231,55,59
1601415186,65,57
1601417085,58,65
1601419024,67,58
1601420970,46,57
1601424822,51,55
1601426668,54,47
1601428854,55,58
1601430760,64,55
1601432715,58,63
1601434568,62,56
1601438476,61,65
1601440367,51,60
1601444413,46,45
1601446367,61,52
1601448252,30,61
1601450179,38,31
1601452137,61,38
1601454087,58,62
1601455936,58,58
1601457863,46,55
1601459798,45,45
1601461707,53,40
1601463644,44,58
1601465579,79,50
1601467466,45,77
1601471371,52,45
1601473231,67,50
1601475146,40,71
1601477089,34,37
1601479002,41,36
1601480900,38,39
1601482860,35,38
1601484746,41,36
1601486698,37,38
1601488582,50,38
1601490522,62,52
1601493378,60,59
1601495324,62,61
