DateTime,AddedIPs,RemovedIPs
1596625512,3,3
1596636485,8,4
1596647133,6,2
1596658017,4,2
1596669038,4,1
1596680127,4,1
1596690740,2,3
1596701674,2,3
1596712573,5,1
1596723182,7,2
1596734139,2,5
1596745190,6,4
1596756218,5,2
1596767248,3,2
1596778274,4,4
1596788787,3,0
1596799607,5,3
1596810631,3,2
1596821515,5,4
1596832230,3,3
1596843237,3,4
1596854180,1,1
1596865199,3,2
1596876188,4,4
1596887290,4,3
1596897984,3,3
1596908254,4,2
1596919157,2,4
1596930186,3,2
1596941251,6,2
1596952268,4,1
1596963323,4,1
1596974054,0,3
1596985100,2,3
1596995970,5,4
1597007089,4,2
1597018052,5,2
1597029089,2,3
1597040136,3,4
1597051153,3,3
1597062177,4,5
1597072760,3,3
1597083749,3,1
1597094620,5,1
1597105591,0,5
1597116558,1,5
1597127488,4,1
1597138282,4,2
1597148891,6,1
1597159495,3,3
1597170705,7,6
1597180589,4,1
1597191460,2,4
1597202369,4,3
1597212979,4,1
1597223648,1,10
1597234392,4,1
1597245319,2,2
1597256404,5,2
1597266802,8,2
1597277766,2,4
1597288779,8,3
1597299675,9,1
1597310599,8,4
1597321191,5,39
1597332168,5,80
1597342552,11,2
1597353806,11,13
1597364773,6,55
1597375907,11,51
1597386912,5,44
1597397780,6,40
1597408763,5,71
1597419697,6,116
1597430322,8,3
1597441340,5,3
1597452428,5,1
1597463474,4,2
1597474345,5,5
1597485324,9,4
1597495954,7,5
1597506744,9,6
1597518027,5,2
1597529047,4,2
1597540096,12,3
1597551105,4,4
1597562116,13,5
1597572996,4,2
1597583795,4,3
1597594624,7,8
1597605609,5,2
1597616022,6,5
1597626387,8,3
1597637542,4,6
1597648471,2,6
1597659380,11,1
1597669994,8,3
1597680829,2,3
1597691616,4,2
1597702291,5,1
1597713412,3,0
1597724343,3,3
1597734299,2,2
1597744574,0,2
1597755594,3,5
1597766088,2,7
1597776913,2,3
1597787807,6,5
1597798837,6,3
1597809256,3,3
1597820299,1,1
1597830949,3,7
1597841819,6,4
1597852799,5,4
1597863843,0,2
1597874908,3,4
1597885903,5,1
1597896932,2,1
1597907630,3,3
1597918407,13,2
1597928660,3,1
1597939551,1,4
1597950227,3,2
1597960960,6,2
1597972262,10,3
1597983608,7,2
1597994645,9,3
1598004972,6,3
1598015809,5,2
1598026583,2,5
1598037518,4,1
1598048559,1,1
1598059142,6,0
1598070169,2,2
1598081271,8,1
1598092318,0,3
1598103041,3,2
1598114157,5,4
1598125066,2,2
1598135482,2,4
1598146418,2,4
1598157263,1,0
1598168044,1,3
1598178888,3,3
1598189650,2,4
1598200534,0,3
1598211261,5,6
1598221788,2,4
1598232573,6,3
1598243344,1,3
1598254298,4,3
1598265294,7,6
1598276109,5,1
1598287106,5,2
1598298264,13,2
1598309188,7,2
1598320032,8,5
1598330636,7,2
1598341232,2,2
1598352241,3,2
1598363577,7,1
1598374391,3,2
1598385200,2,2
1598396016,9,4
1598406911,1,2
1598417537,9,2
1598428371,5,3
1598439071,1,1
1598450129,1,0
1598460834,4,1
1598471517,1,3
1598482310,1,5
1598493331,2,6
1598504441,11,7
1598515336,2,2
1598526182,4,1
1598537223,4,1
1598548209,6,4
1598559151,7,7
1598570161,4,5
1598581199,4,4
1598591754,6,5
1598602781,3,2
1598613085,4,4
1598624047,9,1
1598634330,2,0
1598645281,7,1
1598656209,10,5
1598668789,3,3
1598679726,1,0
1598690065,3,3
1598701158,5,2
1598712152,3,3
1598722950,3,0
1598733859,2,0
1598744819,5,5
1598755879,9,3
1598766770,1,3
1598777583,1,0
1598788281,2,4
1598799381,5,3
1598810376,3,1
1598821361,4,3
1598832228,3,4
1598842707,1,2
1598853609,2,4
1598863954,4,3
1598874906,2,4
1598885916,2,4
1598897008,2,4
1598907816,3,1
1598918465,3,4
1598929379,3,1
1598939752,2,2
1598950754,2,1
1598961188,1,1
1598972036,3,4
1598982953,4,4
1598993809,3,3
1599004769,5,1
1599015797,1,4
1599026854,2,2
1599037857,6,6
1599048955,4,2
1599060064,4,5
1599071067,2,4
1599081471,2,3
1599092277,3,2
1599103195,6,4
1599114244,2,4
1599125270,5,3
1599136316,3,1
1599147344,5,1
1599158025,4,3
1599168934,2,1
1599179862,3,3
1599189525,0,2
1599200506,7,5
1599211278,9,3
1599222182,9,5
1599233043,2,9
1599244026,0,4
1599255141,3,4
1599265741,3,1
1599276480,3,7
1599287252,4,6
1599298219,3,2
1599308943,6,5
1599319920,2,3
1599330976,3,6
1599341913,3,3
1599352924,6,5
1599363821,2,5
1599374901,4,0
1599385664,1,0
1599396551,2,3
1599406944,4,1
1599417520,4,3
1599428363,1,1
1599439348,11,2
1599450067,2,3
1599460971,4,6
1599472071,4,3
1599483065,3,8
1599494148,2,7
1599505036,4,3
1599515732,6,2
1599525933,5,7
1599536809,3,4
1599547810,4,4
1599558573,4,2
1599569397,2,2
1599580509,3,3
1599591372,3,1
1599602386,5,3
1599613326,3,8
1599624079,3,1
1599635046,2,3
1599646108,1,6
1599656821,5,3
1599667916,3,6
1599678303,4,5
1599689123,2,3
1599699477,2,1
1599710332,4,5
1599721334,11,3
1599732003,4,4
1599742935,3,3
1599753999,7,2
1599765105,2,4
1599776017,11,2
1599786099,3,5
1599796603,5,3
1599806951,7,4
1599817787,3,0
1599828697,5,3
1599839292,5,5
1599850213,5,7
1599860849,9,3
1599871669,7,2
1599882614,5,3
1599893384,4,1
1599904329,5,2
1599915171,4,1
1599926144,5,3
1599937205,8,1
1599948225,8,4
1599959286,8,4
1599970299,6,6
1599981233,4,6
1599992118,2,1
1600002273,1,5
1600013202,5,2
1600024421,8,2
1600035117,8,3
1600057113,8,5
1600068031,5,3
1600079035,3,4
1600089997,4,5
1600101053,6,4
1600111197,4,1
1600122211,1,6
1600133262,4,5
1600143712,6,4
1600154594,6,5
1600165540,5,2
1600175959,1,3
1600187023,3,3
1600197979,2,1
1600208648,8,6
1600219582,2,5
1600230548,3,2
1600241342,2,2
1600252271,4,0
1600263274,1,2
1600274202,4,3
1600285149,2,6
1600295903,5,2
1600306029,5,5
1600316829,2,1
1600327636,5,4
1600338507,4,1
1600349457,5,1
1600360528,3,4
1600371450,4,0
1600382188,13,7
1600393208,2,2
1600403882,2,2
1600414149,4,0
1600425067,5,5
1600436123,4,4
1600447088,5,3
1600458218,7,2
1600469128,5,2
1600480038,6,1
1600490899,3,3
1600501742,5,3
1600512616,5,14
1600523454,5,2
1600534782,4,4
1600545843,5,7
1600556694,5,5
1600567401,3,2
1600578285,3,3
1600589423,3,4
1600600333,5,3
1600611363,8,2
1600621706,2,4
1600632075,5,3
1600643196,8,2
1600654349,3,1
1600665541,6,1
1600676649,6,3
1600687555,2,4
1600698100,3,3
1600709056,3,7
1600720075,4,1
1600730805,4,6
1600741972,6,3
1600752778,2,1
1600763580,2,2
1600774372,11,3
1600785308,3,0
1600796046,2,3
1600806893,5,4
1600817831,3,5
1600828566,4,6
1600839091,0,4
1600850089,2,3
1600861094,5,3
1600872206,1,6
1600882979,5,5
1600893868,7,10
1600904823,2,4
1600915793,4,5
1600926549,6,3
1600937464,5,2
1600947970,5,5
1600958884,4,11
1600969896,5,6
1600980829,12,5
1600991739,8,7
1601002650,7,3
1601013543,11,6
1601024392,13,3
1601035411,6,0
1601046663,9,2
1601057754,8,4
1601068706,11,1
1601079485,13,2
1601090345,12,6
1601101338,3,5
1601112451,9,3
1601123404,5,5
1601134202,12,7
1601145138,8,7
1601156125,8,2
1601167123,9,2
1601178222,4,7
1601189253,12,4
1601199562,6,5
1601210491,4,1
1601221141,3,10
1601232122,4,5
1601243072,2,4
1601253465,0,16
1601264196,2,1
1601275105,1,4
1601286124,3,6
1601297032,1,5
1601308080,2,1
1601318571,0,6
1601329519,1,4
1601340237,7,4
1601351240,6,2
1601362275,4,3
1601373286,2,1
1601384367,1,4
1601395397,2,5
1601406232,8,5
1601417386,2,5
1601428286,4,5
1601439317,2,2
1601450182,3,0
1601461074,2,2
1601471894,3,2
1601482875,5,0
1601493795,2,1
1601504876,7,3
1601515720,1,4
1601526692,8,5
1601537923,1,2
1601548858,2,0
1601559683,3,3
1601570591,4,6
1601581500,3,5
1601592175,5,6
1601602998,2,1
1601614067,4,2
1601625077,5,5
1601636054,3,8
1601647029,2,3
1601657946,3,2
1601668583,3,7
1601679618,2,5
1601690891,3,13
1601701831,9,4
1601712918,4,3
1601723683,3,6
1601734767,2,4
1601745749,2,4
1601756756,2,3
1601767542,3,2
1601778300,5,5
1601789056,0,1
1601799820,2,4
1601810712,3,9
1601821687,2,3
1601832475,2,8
1601843100,3,6
1601853662,2,5
1601864599,2,6
1601875636,3,9
1601886624,6,6
1601897676,2,6
1601908710,2,4
1601919805,0,4
1601930515,4,5
1601941333,4,3
1601952484,3,6
1601963386,5,4
1601974245,4,5
1601984998,5,4
1601995796,2,8
1602006370,0,5
1602017102,2,3
1602027597,6,14
1602038666,2,5
1602049685,7,8
1602060616,4,7
