DateTime,AddedIPs,RemovedIPs
1596575041,3478,3478
1596585841,3938,3938
1596596641,4570,4570
1596607441,1563,1563
1596618241,1537,1537
1596629041,1361,1361
1596639841,2137,2137
1596650641,2842,2842
1596661441,3584,3584
1596672241,4227,4227
1596683041,4886,4886
1596693841,2038,2038
1596704641,1785,1785
1596715441,2125,2125
1596726241,3140,3140
1596737041,3798,3798
1596747841,4304,4304
1596758641,4792,4792
1596769441,5333,5333
1596780241,1879,1879
1596791041,1652,1652
1596801841,1582,1582
1596812641,2436,2436
1596823441,3074,3074
1596834241,3770,3770
1596845041,4355,4355
1596855841,5163,5163
1596866641,2133,2133
1596877441,1811,1811
1596888241,1950,1950
1596899041,2816,2816
1596909841,3536,3536
1596920641,3991,3991
1596931441,4377,4377
1596942241,5006,5006
1596953041,1843,1843
1596963841,1741,1741
1596974641,1739,1739
1596985441,2869,2869
1596996241,3658,3658
1597007041,4169,4169
1597017841,4650,4650
1597028641,5244,5244
1597039441,2059,2059
1597050241,1851,1851
1597061041,2147,2147
1597071841,3180,3180
1597082641,3931,3931
1597093441,4484,4484
1597104241,4775,4775
1597115041,5309,5309
1597125841,1945,1945
1597136641,1771,1771
1597147441,2068,2068
1597158241,2970,2970
1597169041,3604,3604
1597179841,4162,4162
1597190641,4664,4664
1597201441,5143,5143
1597212241,2065,2065
1597223041,1734,1734
1597233841,2163,2163
1597244641,3092,3092
1597255441,3859,3859
1597266241,4293,4293
1597277041,4732,4732
1597287841,5208,5208
1597298641,1950,1950
1597309441,1830,1830
1597320241,2118,2118
1597331041,3028,3028
1597341841,3701,3701
1597352641,4152,4152
1597363441,4536,4536
1597374241,5004,5004
1597388641,2278,2278
1597399441,1607,1607
1597410241,2087,2087
1597421041,2923,2923
1597431841,3481,3481
1597442641,4001,4001
1597453441,4711,4711
1597464241,2151,2151
1597475041,1703,1703
1597485841,1473,1473
1597496642,1800,1800
1597507441,2650,2650
1597518241,3258,3258
1597529041,3656,3656
1597539841,4325,4325
1597550641,1786,1786
1597561441,1447,1447
1597572241,1421,1421
1597583041,1355,1355
1597593841,2174,2174
1597604641,2723,2723
1597615441,3250,3250
1597626241,4116,4116
1597637041,1747,1747
1597647841,1378,1378
1597658641,1321,1321
1597669441,1403,1403
1597680241,2281,2281
1597691041,3141,3141
1597701841,3702,3702
1597712641,4295,4295
1597723441,1992,1992
1597734241,1566,1566
1597745041,1379,1379
1597755841,1798,1798
1597766641,2555,2555
1597777441,3164,3164
1597788241,3646,3646
1597799041,4292,4292
1597809841,1786,1786
1597820641,1376,1376
1597831441,1267,1267
1597842241,1392,1392
1597853041,2157,2157
1597863841,2794,2794
1597874641,3217,3217
1597885441,4090,4090
1597896241,1600,1600
1597907041,1274,1274
1597917841,1269,1269
1597928641,1116,1116
1597939441,1669,1669
1597950241,2333,2333
1597961041,2963,2963
1597971841,3983,3983
1597982641,2074,2074
1597993441,1316,1316
1598004241,1318,1318
1598015041,1476,1476
1598025841,2239,2239
1598036641,2895,2895
1598047441,3410,3410
1598058241,4163,4163
1598069041,1825,1825
1598079841,1379,1379
1598090641,1306,1306
1598101441,1376,1376
1598112241,2147,2147
1598123041,2831,2831
1598133841,3402,3402
1598144641,4095,4095
1598155441,1804,1804
1598166241,1367,1367
1598177041,1317,1317
1598187841,1547,1547
1598198641,2271,2271
1598209441,2882,2882
1598220241,3311,3311
1598231041,4092,4092
1598241841,2343,2343
1598252641,1566,1566
1598263441,1568,1568
