DateTime,AddedIPs,RemovedIPs
1600290242,50,52
1600296002,27,47
1600297925,47,27
1600318805,218,212
1600320722,22,3611
1600322642,3600,0
1600324562,49,55
1600328402,35,42
1600332243,44,43
1600336082,31,31
1600339922,29,45
1600341843,52,42
1600348804,47,67
1600354808,39,37
1600358642,48,38
1600360561,45,42
1600364403,39,32
1600368242,37,40
1600370163,40,37
1600372082,52,69
1600375921,46,40
1600377842,39,38
1600383610,32,44
1600423682,44,32
1600425602,256,232
1600429443,33,43
1600433282,34,51
1600437123,48,40
1600440962,39,34
1600444805,36,46
1600446722,15,5060
1600448641,5058,0
1600450562,39,57
1600456322,38,51
1600458245,35,33
1600460163,37,34
1600466163,35,52
1600468082,43,34
1600471921,51,1253
1600473843,1243,0
1600475762,38,43
1600479602,74,49
1600483442,60,69
1600487282,65,78
1600491121,55,58
1600493041,58,55
1600494964,55,58
1600497124,72,76
1600500962,36,45
1600506724,54,42
1600508642,40,50
1600512482,38,56
1600516322,47,49
1600520162,47,53
1600524004,38,42
1600527842,38,35
1600530002,41,43
1600533842,39,35
1600537682,39,48
1600541522,37,54
1600543442,36,40
1600549208,40,35
1600551121,27,1230
1600553043,976,0
1600556884,33,48
1600558803,79,44
1600562642,39,43
1600566482,91,48
1600568402,64,67
1600572248,58,64
1600576084,49,62
1600579924,54,41
1600583763,36,32
1600587604,28,33
1600593362,33,23
1600595284,28,16
1600599123,19,26
1600602963,18,33
1600606805,24,30
1600608721,37,511
1600610642,482,0
1600612562,32,40
1600616403,29,25
1600622402,32,27
1600624322,28,34
1600633202,60,67
1600638962,21,36
1600642811,37,29
1600644721,63,36
1600648802,38,42
1600652642,67,44
1600656721,55,62
1600660810,49,63
1600664642,75,85
1600670402,42,35
1600674242,36,48
1600676162,58,27
1600680002,27,58
1600681923,75,48
1600685762,23,48
1600691522,58,47
1600695362,30,33
1600699923,34,38
1600703763,31,37
1600707606,35,29
1600711444,33,29
1600713361,28,34
1600717204,39,35
1600721042,27,40
1600724882,30,31
1600728722,29,39
1600732562,61,31
1600734724,25,27
1600738802,60,40
1600742882,60,70
1600746722,54,59
1600750563,64,54
1600754409,51,43
1600756322,41,27
1600760163,32,29
1600764243,29,35
1600768082,23,25
1600770002,32,34
1600775762,25,40
1600779604,32,35
1600781522,38,37
1600783442,34,39
1600789202,35,36
1600793043,32,32
1600794962,26,27
1600800722,34,33
1600802642,27,38
1600804562,49,39
1600806482,40,58
1600810323,34,37
1600814403,139,112
1600816322,112,139
1600818242,78,51
1600822081,39,29
1600824002,68,46
1600829762,56,64
1600833609,62,62
1600835522,52,56
1600837442,100,96
1600839362,130,125
1600843442,24,35
1600847282,37,29
1600849201,39,38
1600854962,29,21
1600858804,19,51
1600861203,48,33
1600865282,45,37
1600869364,34,35
1600871282,24,37
1600875122,33,32
1600877044,32,33
1600878962,59,47
1600882803,30,37
1600886642,27,37
1600890481,33,31
1600894322,24,38
1600898163,29,31
1600902003,34,28
1600903922,55,27
1600907763,26,31
1600911605,63,38
1600915443,51,62
1600919282,55,56
1600923122,47,53
1600926962,57,41
1600930813,19,27
1600932722,36,33
1600936562,30,28
1600940403,18,28
1600944241,27,20
1600946403,19,60
1600952162,48,30
1600956241,26,13
1600958163,16,25
1600962004,20,21
1600965844,23,40
1600969926,26,21
1600971842,24,17
1600977612,20,30
1600981442,16,34
1600983362,24,17
1600987203,28,19
1600991042,53,20
1600994882,15,35
1600998722,55,26
1601002563,44,44
1601006413,51,62
1601010242,32,46
1601012162,45,37
1601016004,25,20
1601019842,21,22
1601023923,27,18
1601027762,19,18
1601031604,20,17
1601035441,15,37
1601037361,20,31
1601041441,30,17
