DateTime,Entries,UniqueIPs
1600290242,6366,6366
1600296002,6346,6346
1600297925,6366,6366
1600318805,6372,6372
1600320722,2783,2783
1600322642,6383,6383
1600324562,6377,6377
1600328402,6370,6370
1600332243,6371,6371
1600336082,6371,6371
1600339922,6355,6355
1600341843,6365,6365
1600348804,6345,6345
1600354808,6347,6347
1600358642,6357,6357
1600360561,6360,6360
1600364403,6367,6367
1600368242,6364,6364
1600370163,6367,6367
1600372082,6350,6350
1600375921,6356,6356
1600377842,6357,6357
1600383610,6345,6345
1600423682,6357,6357
1600425602,6381,6381
1600429443,6371,6371
1600433282,6354,6354
1600437123,6362,6362
1600440962,6367,6367
1600444805,6357,6357
1600446722,1312,1312
1600448641,6370,6370
1600450562,6352,6352
1600456322,6339,6339
1600458245,6341,6341
1600460163,6344,6344
1600466163,6327,6327
1600468082,6336,6336
1600471921,5134,5134
1600473843,6377,6377
1600475762,6372,6372
1600479602,6397,6397
1600483442,6388,6388
1600487282,6375,6375
1600491121,6372,6372
1600493041,6375,6375
1600494964,6372,6372
1600497124,6368,6368
1600500962,6359,6359
1600506724,6371,6371
1600508642,6361,6361
1600512482,6343,6343
1600516322,6341,6341
1600520162,6335,6335
1600524004,6331,6331
1600527842,6334,6334
1600530002,6332,6332
1600533842,6336,6336
1600537682,6327,6327
1600541522,6310,6310
1600543442,6306,6306
1600549208,6311,6311
1600551121,5108,5108
1600553043,6084,6084
1600556884,6069,6069
1600558803,6104,6104
1600562642,6100,6100
1600566482,6143,6143
1600568402,6140,6140
1600572248,6134,6134
1600576084,6121,6121
1600579924,6134,6134
1600583763,6138,6138
1600587604,6133,6133
1600593362,6143,6143
1600595284,6155,6155
1600599123,6148,6148
1600602963,6133,6133
1600606805,6127,6127
1600608721,5653,5653
1600610642,6135,6135
1600612562,6127,6127
1600616403,6131,6131
1600622402,6136,6136
1600624322,6130,6130
1600633202,6123,6123
1600638962,6108,6108
1600642811,6116,6116
1600644721,6143,6143
1600648802,6139,6139
1600652642,6162,6162
1600656721,6155,6155
1600660810,6141,6141
1600664642,6131,6131
1600670402,6138,6138
1600674242,6126,6126
1600676162,6157,6157
1600680002,6126,6126
1600681923,6153,6153
1600685762,6128,6128
1600691522,6139,6139
1600695362,6136,6136
1600699923,6132,6132
1600703763,6126,6126
1600707606,6132,6132
1600711444,6136,6136
1600713361,6130,6130
1600717204,6134,6134
1600721042,6121,6121
1600724882,6120,6120
1600728722,6110,6110
1600732562,6140,6140
1600734724,6138,6138
1600738802,6158,6158
1600742882,6148,6148
1600746722,6143,6143
1600750563,6153,6153
