DateTime,AddedIPs,RemovedIPs
1595865612,1536,1536
1595889012,512,512
1595912412,256,256
1595938512,1280,1280
1595957411,256,256
1595972078,512,512
1595980813,256,256
1596038403,1792,1792
1596043811,512,512
1596051182,768,768
1596088812,1024,1024
1596135226,2048,2048
1596150911,512,512
1596209412,1536,1536
1596213012,512,512
1596216787,256,256
1596223812,256,256
1596232812,256,256
1596303912,1024,1024
1596310211,512,512
1596317411,256,256
1596321260,512,512
1596326414,512,512
1596332712,256,256
1596344412,256,256
1596385811,1280,1280
1596413713,1024,1024
1596427213,1024,1024
1596431713,256,256
1596446111,256,256
1596519912,2304,2304
1596675818,2048,2048
1596743137,2816,2816
1596744011,256,256
1596753044,256,256
1596808373,1280,1280
1596812021,256,256
1596815625,256,256
1596819178,256,256
1596822667,256,256
1596832239,256,256
1596833011,256,256
1596834040,256,256
1596837603,256,256
1596839442,256,256
1596844846,256,256
1596848438,256,256
1596898803,1280,1280
1596905654,256,256
1596911434,256,256
1596915036,256,256
1596923725,256,256
1596925840,256,256
1596927604,256,256
1596929444,256,256
1596933044,768,768
1596947446,256,256
1596981141,1024,1024
1596990635,256,256
1596995668,256,256
1597015847,256,256
1597019451,1280,1280
1597071201,1280,1280
1597078803,256,256
1597091441,256,256
1597100616,256,256
1597153609,1280,1280
1597159834,256,256
1597167036,512,512
1597168838,256,256
1597172429,256,256
1597194381,256,256
1597244403,768,768
1597247174,256,256
1597249831,256,256
1597257033,256,256
1597258828,256,256
1597270538,256,256
1597271441,256,256
1597275043,256,256
1597330803,1280,1280
1597332634,256,256
1597337847,256,256
1597339833,256,256
1597343434,256,256
1597347036,256,256
1597354239,256,256
1597357842,256,256
1597417203,1280,1280
1597426231,256,256
1597440638,256,256
1597444240,512,512
1597448826,256,256
1597451445,1024,1024
1597458645,256,256
1597459626,256,256
1597506325,2048,2048
1597512632,256,256
1597518003,256,256
1597519835,256,256
1597527036,256,256
1597537845,1024,1024
1597539650,256,256
1597549650,256,256
1597593137,2048,2048
1597594528,256,256
1597595429,256,256
1597602631,256,256
1597604432,256,256
1597607576,256,256
1597615203,256,256
1597617038,256,256
1597617937,256,256
1597618803,256,256
1597624241,256,256
1597637742,256,256
1597660933,1792,1792
1597665628,256,256
1597670128,256,256
1597671029,256,256
1597672510,256,256
1597676430,512,512
1597678230,256,256
1597678917,256,256
1597680031,256,256
1597681832,256,256
1597687234,256,256
1597688134,256,256
1597689035,256,256
1597724145,256,256
1597747504,1536,1536
1597752927,256,256
1597753828,256,256
1597755265,256,256
1597762832,256,256
1597764633,256,256
1597766433,256,256
1597768234,256,256
1597770035,256,256
1597771835,256,256
1597855282,512,512
1597858243,256,256
1597860100,256,256
1597862965,256,256
1597945411,512,512
1597951837,256,256
1597955439,256,256
1597983386,256,256
1597984248,256,256
1598021027,1024,1024
1598025633,256,256
1598027436,256,256
1598029234,256,256
1598049045,256,256
1598052647,256,256
1598107153,1280,1280
1598112034,256,256
1598122836,256,256
1598124639,256,256
1598130039,256,256
1598135443,256,256
1598187103,512,512
1598189429,256,256
1598196630,256,256
1598214638,256,256
1598280303,1024,1024
1598281232,256,256
1598283033,256,256
1598286632,256,256
1598288434,256,256
1598292036,256,256
1598295637,256,256
1598297439,256,256
1598298022,256,256
1598299239,256,256
1598301467,256,256
1598308245,256,256
1598313648,256,256
1598315447,256,256
1598338848,256,256
1598370168,768,768
1598375737,256,256
1598380241,256,256
1598382040,256,256
1598391045,256,256
1598394650,256,256
1598400056,256,256
1598401856,1536,1536
1598456237,1280,1280
1598472042,256,256
1598475643,256,256
1598481047,256,256
1598493650,512,512
1598499462,256,256
1598510196,1280,1280
1598515225,512,512
1598517026,256,256
1598520771,256,256
1598533237,256,256
1598538637,256,256
1598544940,256,256
1598546016,256,256
1598547641,256,256
1598549442,256,256
1598551203,256,256
1598554843,256,256
1598558446,256,256
1598611208,1280,1280
1598617836,256,256
1598621765,256,256
1598625419,256,256
1598661585,1280,1280
1598675902,256,256
1598736815,1536,1536
1598738445,256,256
1598740727,256,256
1598744235,256,256
1598819403,768,768
1598833890,256,256
1598884853,1792,1792
1598887840,512,512
1598889633,256,256
1598891433,256,256
1598901337,256,256
1598909441,256,256
1598913064,256,256
1598914845,256,256
1598959802,1024,1024
1598961634,256,256
1598963403,256,256
1598977855,256,256
1598979638,256,256
1598985039,256,256
1598990443,256,256
1599042603,1536,1536
1599049804,256,256
1599055238,256,256
1599066043,256,256
1599068218,256,256
1599075038,256,256
1599078603,256,256
1599080451,256,256
1599082203,256,256
1599085852,256,256
1599087484,512,512
1599139833,1792,1792
1599143402,256,256
1599150604,256,256
1599154014,256,256
1599159644,256,256
1599161503,256,256
1599166845,256,256
1599172271,256,256
1599174049,256,256
1599179573,256,256
1599193845,256,256
1599258928,1280,1280
1599265847,768,768
1599289249,256,256
1599298203,2048,2048
1599309348,256,256
1599310830,512,512
1599312603,256,256
1599318033,256,256
1599321635,256,256
1599325236,256,256
1599333340,256,256
1599345046,256,256
1599350451,256,256
1599352345,1024,1024
1599416806,2048,2048
1599418842,256,256
1599422443,256,256
1599424779,256,256
1599438652,1024,1024
1599493080,1280,1280
1599494438,256,256
1599544853,256,256
1599572240,1024,1024
1599577232,256,256
1599584436,256,256
1599586203,256,256
1599593403,256,256
1599604245,256,256
1599605229,256,256
1599609648,256,256
1599624948,256,256
1599669517,1536,1536
1599676203,256,256
1599683403,256,256
1599688842,256,256
1599690643,256,256
1599744603,1792,1792
1599746432,256,256
1599757237,256,256
1599766203,256,256
1599773403,256,256
1599834623,1280,1280
1599836431,256,256
1599838232,256,256
1599840933,256,256
1599841834,512,512
1599843634,256,256
1599845403,256,256
1599849055,256,256
1599859803,256,256
1599865243,256,256
1599917403,2048,2048
1599919228,256,256
1599937235,256,256
1599940837,256,256
1599942603,256,256
1599949842,256,256
1599951099,256,256
1599953404,256,256
1599955248,256,256
1599971484,256,256
1600007186,1792,1792
1600024533,256,256
1600028133,256,256
1600034436,256,256
1600038038,256,256
1600090787,1024,1024
1600104635,256,256
1600108240,256,256
1600113638,256,256
1600120843,256,256
1600126244,256,256
1600173034,1024,1024
1600180222,256,256
1600183803,256,256
1600187435,256,256
1600209073,256,256
1600273803,1280,1280
1600279235,256,256
1600290038,256,256
1600302605,256,256
1600345803,1536,1536
1600347628,256,256
1600352131,256,256
1600358433,256,256
1600360203,256,256
1600371003,256,256
1600383645,256,256
1600387247,256,256
1600439403,1024,1024
1600443501,256,256
1600453839,256,256
1600456539,512,512
1600457439,256,256
1600468371,256,256
1600471849,256,256
1600473019,256,256
1600525984,768,768
1600531235,256,256
1600536603,256,256
1600554692,256,256
1600559385,256,256
1600561803,256,256
1600609135,768,768
1600617636,256,256
1600639247,256,256
1600640843,256,256
1600692124,1536,1536
1600693233,256,256
1600695034,512,512
1600711246,256,256
1600722047,256,256
1600723803,256,256
1600725649,256,256
1600727233,256,256
1600729252,256,256
1600734722,256,256
1600737354,256,256
1600785514,1792,1792
1600786835,512,512
1600788603,256,256
1600790438,256,256
1600792238,256,256
1600794038,512,512
1600797640,256,256
1600799432,256,256
1600810204,256,256
1600813850,512,512
1600817403,256,256
1600819257,256,256
1600822142,256,256
1600860888,1536,1536
1600864651,256,256
1600869640,256,256
1600880446,256,256
1600881348,256,256
1600882204,256,256
1600887652,256,256
1600889404,256,256
1600891258,256,256
1600894081,256,256
1600900260,256,256
1600905668,256,256
1600907465,256,256
1600979403,1024,1024
1600981240,256,256
1600984842,256,256
1600986642,256,256
1601044231,1024,1024
1601056835,256,256
1601069016,256,256
1601080246,256,256
1601081236,256,256
1601083803,256,256
1601091003,256,256
1601094656,256,256
1601134555,1536,1536
1601136037,256,256
1601145512,256,256
1601157639,256,256
1601158537,256,256
1601159403,256,256
1601161240,256,256
1601166424,256,256
1601175644,256,256
1601180759,256,256
1601213089,2048,2048
1601216127,256,256
1601216640,256,256
1601218828,256,256
1601220434,512,512
1601249177,256,256
1601296045,1536,1536
1601303254,256,256
1601310227,256,256
1601318323,256,256
1601319633,256,256
1601339040,256,256
1601350203,256,256
1601386028,768,768
1601392530,256,256
1601393280,256,256
1601395232,256,256
1601398832,256,256
1601413236,256,256
1601472662,1536,1536
1601481631,256,256
1601487121,256,256
1601492435,256,256
1601494347,256,256
1601497211,256,256
1601499637,256,256
1601501759,256,256
1601512585,256,256
1601566354,1024,1024
1601573648,256,256
1601575240,256,256
1601577175,256,256
1601577933,256,256
1601578834,512,512
1601581059,256,256
1601584432,256,256
1601586036,256,256
1601591440,256,256
1601593240,256,256
1601594637,256,256
1601598644,1024,1024
1601609021,256,256
1601612848,256,256
1601636444,256,256
1601649004,1792,1792
1601650830,256,256
1601651728,256,256
1601656451,256,256
1601658031,256,256
1601660073,256,256
1601668839,256,256
1601677840,512,512
1601685503,256,256
1601739088,1280,1280
1601744429,256,256
1601750155,256,256
1601753718,256,256
1601814692,1024,1024
1601827232,256,256
1601832003,256,256
1601833533,256,256
1601834435,256,256
1601836371,256,256
1601838035,512,512
1601846640,256,256
1601907684,768,768
1601913629,256,256
1601922168,256,256
1601924433,256,256
1601925757,256,256
1601928038,256,256
1601937033,256,256
1601998203,1024,1024
1602001383,256,256
1602003628,256,256
1602005510,256,256
1602014432,256,256
1602028843,256,256
