DateTime,AddedIPs,RemovedIPs
1597990082,571,584
1598001602,309,307
1598013122,255,248
1598020802,135,139
1598032563,157,156
1598044083,113,117
1598055602,30,31
1598063282,91,94
1598067123,872,841
1598070962,841,872
1598074803,872,841
1598078645,286,299
1598086322,406,412
1598090162,365,358
1598094002,331,342
1598101923,456,446
1598109602,182,180
1598124962,92,103
1598136482,99,107
1598140322,49,59
1598144163,870,861
1598148003,861,870
1598151843,853,854
1598155682,530,509
1598163362,202,210
1598167202,279,270
1598178722,353,362
1598186402,232,231
1598190243,393,381
1598197923,131,127
1598205603,95,102
1598209442,51,55
1598217123,53,56
1598220962,28,26
1598224802,78,77
1598228642,77,78
1598232482,843,866
1598236322,373,346
1598247843,597,618
1598259363,323,320
1598274723,292,280
1598286243,198,178
1598297762,137,136
1598309282,128,130
1598313122,93,91
1598320802,30,30
1598324642,890,885
1598336162,643,647
1598340002,647,643
1598343842,643,647
1598351522,362,358
1598359203,234,235
1598366882,194,190
1598370722,190,194
1598378410,194,190
1598382243,155,160
1598389922,103,110
1598409362,882,884
1598420882,600,607
1598432403,284,294
1598436482,294,284
1598440322,284,294
1598451843,331,316
1598455923,180,185
1598464323,138,145
1598479682,116,123
1598491682,93,101
1598495522,887,852
1598507043,583,607
1598526242,314,298
1598537762,286,287
1598553122,151,158
1598560802,130,132
1598576163,90,97
1598583842,869,868
1598591522,620,617
1598606883,307,318
1598614562,254,246
1598626083,223,212
1598645283,138,138
1598652243,121,125
1598656802,125,121
1598661603,121,125
1598671202,858,872
1598682722,636,622
1598690642,486,470
1598694482,621,634
1598709842,222,223
1598717523,180,178
1598732882,128,135
1598740562,106,118
1598752082,869,858
1598755922,15,835
1598759763,835,15
1598763610,664,652
1598767442,251,256
1598771282,256,251
1598775123,251,256
1598778963,403,411
1598790483,314,319
1598798162,4,4
1598802003,228,229
1598813522,178,176
1598821208,103,105
1598828883,206,212
1598840402,871,854
1598851923,606,614
1598867283,321,323
1598882643,212,207
1598898003,262,263
1598917682,195,200
1598921522,48,50
1598925362,50,48
1598929210,891,859
1598940723,587,600
1598956562,310,315
1598960403,249,251
1598979842,155,158
1598983682,156,162
1598987525,162,156
1598991602,156,162
1598999282,121,117
1599006962,122,120
1599014642,872,865
1599034082,642,640
1599041763,319,323
1599057123,310,306
1599060962,166,166
1599068643,136,139
1599084010,120,117
1599091682,106,116
1599095522,116,106
1599099362,867,881
1599118562,614,601
1599126245,326,326
1599145442,276,279
1599157202,297,298
1599161042,127,125
1599168722,225,234
1599180242,158,142
1599184082,38,41
1599187922,881,882
1599199443,599,600
1599215042,323,328
1599230402,392,387
1599234243,184,191
1599238082,191,184
1599241922,184,191
1599245763,328,314
1599253443,108,108
1599257522,108,108
1599261362,108,108
1599265442,93,95
1599276962,41,41
1599280803,895,882
1599288483,268,281
1599292322,441,444
1599307682,377,374
1599315363,202,206
1599319202,206,202
1599323042,202,206
1599327122,175,165
1599338642,112,120
1599346322,112,117
1599350162,34,36
1599357842,863,882
1599361682,390,414
1599369363,613,578
1599380882,407,412
1599392402,338,336
1599396242,336,338
1599400082,489,477
1599407762,205,215
1599411610,363,360
1599423123,151,144
1599430802,25,28
1599434642,75,78
1599446642,42,45
1599454562,872,857
1599458404,453,472
1599462242,472,453
1599466082,560,574
1599469923,338,331
1599473763,331,338
1599481443,511,497
1599489362,158,178
1599504722,139,140
1599516242,164,175
1599527765,75,88
1599531602,896,838
1599543123,627,648
1599554882,215,218
1599570242,300,310
1599585602,185,176
1599593283,183,181
1599600964,112,118
1599604803,118,112
1599608642,112,118
1599612482,112,116
1599616322,15,16
1599620162,895,866
1599631922,592,604
1599643442,302,311
1599662648,259,264
1599670323,190,194
1599674166,194,190
1599678009,323,334
1599685682,131,137
1599701042,112,109
1599704883,896,855
1599716403,598,608
1599731762,303,293
1599743522,242,235
1599758882,171,180
1599762722,136,130
1599774243,107,115
1599785762,132,142
1599789629,889,868
1599804962,590,599
1599812643,351,363
1599824403,234,245
1599835922,151,145
1599839762,145,151
1599843603,151,145
1599847682,156,146
1599866883,99,99
1599878402,136,142
1599882242,881,870
1599894002,609,620
1599905523,390,391
1599920882,221,216
1599928562,189,190
1599940083,130,126
1599947762,38,38
1599951602,84,95
1599959282,25,23
1599966963,846,879
1599970802,794,732
1599982322,438,476
1599986402,145,140
1599990242,140,145
1599994322,145,140
1599998163,339,338
1600009683,220,213
1600017363,163,166
1600021203,166,163
1600025042,163,166
1600036562,186,180
1600040403,103,108
1600044243,26,27
1600051922,892,871
1600067523,620,632
1600075202,339,325
1600086722,275,287
1600105923,151,156
1600113602,189,184
1600121283,124,125
1600128962,58,57
1600140482,898,885
1600152003,374,377
1600167363,305,304
1600179123,187,196
1600190642,181,184
1600198322,130,135
1600206003,135,130
1600209842,130,135
1600213682,110,109
1600225442,888,878
1600236963,601,616
1600244642,320,314
1600263843,272,274
1600267682,179,177
1600271522,177,179
1600275363,179,177
1600283043,147,160
1600294563,114,121
1600298402,121,114
1600302242,209,206
1600309923,869,861
1600325522,597,599
1600340882,327,315
1600348803,305,313
1600352642,313,305
1600356483,267,275
1600360322,192,192
1600364162,192,192
1600368003,192,192
1600371842,144,148
1600391282,127,137
1600395122,889,869
1600406642,614,627
1600422002,315,312
1600429682,257,258
1600441210,202,212
1600452963,152,147
1600464484,136,138
1600476003,122,129
1600479842,129,122
1600483682,122,129
1600487523,893,863
1600499042,279,296
1600506723,422,425
1600510563,351,345
1600514402,345,351
1600518242,351,345
1600525922,247,263
1600541522,167,174
1600545365,151,157
1600556883,93,90
1600560723,24,25
1600564563,852,857
1600568402,857,852
1600572247,837,841
1600579922,589,561
1600583762,561,589
1600587603,741,742
1600595282,271,248
1600599122,333,348
1600602963,293,291
1600614482,205,207
1600618323,207,205
1600622163,335,341
1600626242,177,173
1600633923,299,300
1600637762,100,104
1600641602,104,100
1600645447,157,162
1600649522,103,94
1600653613,873,845
1600668962,547,559
1600676642,255,254
1600688162,248,247
1600703763,161,164
1600711443,143,153
1600726803,164,162
1600734723,144,148
1600742403,885,861
1600754164,611,623
1600765684,274,275
1600781042,235,241
1600784882,153,154
1600792563,154,153
1600796402,262,267
1600815603,134,138
1600827122,883,858
1600838642,612,611
1600842482,611,612
1600846323,612,611
1600854003,302,292
1600861683,247,258
1600865522,258,247
1600869363,247,258
1600880882,179,199
1600888563,149,146
1600907762,257,253
1600911602,149,145
1600915443,885,868
1600926962,571,596
1600938484,260,261
1600950242,234,243
1600958162,146,154
1600962003,154,146
1600965843,146,154
1600969925,155,152
1600985283,124,126
1600996802,147,145
1601004482,874,839
1601016003,564,573
1601027522,345,350
1601043123,205,208
1601054643,169,167
1601066161,177,187
1601073843,111,120
1601081522,871,856
1601085362,856,871
1601089202,871,856
1601093042,763,741
1601096882,741,763
1601100725,763,741
1601112242,425,442
1601123762,368,370
1601127602,175,172
1601143442,166,179
1601151123,120,123
1601174162,826,856
1601185922,677,625
1601197442,358,366
1601208962,392,383
1601216642,186,188
1601228162,153,163
1601247363,125,117
1601258882,905,875
1601270402,611,640
1601281922,321,327
1601293443,265,265
1601301121,265,265
1601304963,381,379
1601316722,155,161
1601324402,161,155
1601328242,155,161
1601332083,156,164
1601335922,164,156
1601339763,252,263
1601347682,882,857
1601359213,624,621
1601370724,316,326
1601378642,348,343
1601382486,343,348
1601386322,348,343
1601390163,69,66
1601397843,147,147
1601401683,1,1
1601405522,1,1
1601409363,1,1
1601413210,117,126
1601420883,145,151
1601432642,870,851
1601448242,656,656
1601452082,656,656
1601455922,656,656
1601459763,388,400
1601467442,295,294
1601471282,3,4
1601478963,310,188
1601494322,172,172
1601509682,121,121
1601517649,998,998
1601533203,770,770
1601541123,492,492
1601544962,492,492
1601548803,492,492
1601552642,132,132
1601560322,228,228
1601564163,174,174
1601568009,174,174
1601572082,174,174
1601583602,131,131
1601595122,149,149
1601606642,987,987
1601618163,792,792
1601629683,454,454
1601641202,303,303
1601652723,1,1
1601656563,222,222
1601664242,159,159
1601679603,107,107
1601691363,187,187
1601695202,964,964
1601702883,25,961
1601706722,979,43
1601718243,414,414
1601722082,258,258
1601725922,330,330
1601729763,180,180
1601733610,80,80
1601741523,157,157
1601749202,6,6
1601753043,144,144
1601756882,144,144
1601760722,144,144
1601768402,148,148
1601776082,303,988
1601799123,967,282
1601806803,308,308
1601810643,78,78
1601818322,171,171
1601822163,54,54
1601829842,132,132
1601837522,44,44
1601845210,83,83
1601852882,214,214
1601860562,188,188
1601864402,983,983
1601875922,781,781
1601891282,451,451
1601898963,371,371
1601910482,8,8
1601914323,195,195
1601922002,122,122
1601925842,122,122
1601929683,122,122
1601933523,131,131
1601945042,172,172
1601952722,989,989
1601968082,801,801
1601971923,801,801
1601975763,801,801
1601979602,489,489
1601983442,330,330
1601998803,188,188
1602010322,167,167
1602018005,168,168
1602029523,188,188
1602033363,188,188
1602037202,985,985
1602048723,783,783
1602052562,783,783
1602056403,783,783
1602060243,459,459
1602064322,459,459
