DateTime,AddedIPs,RemovedIPs
1601268747,28,14
1601270683,17,17
1601272599,22,0
1601274510,30,11
1601274601,187,0
1601276487,20,10
1601278382,23,16
1601282182,137,30
1601284378,152,14
1601286297,24,12
1601288185,16,7
1601291331,137,8
1601293235,31,9
1601293717,1112,0
1601295163,13,17
1601297064,16,10
1601298978,17,9
1601299208,500,0
1601300939,284,11
1601302826,8,11
1601304302,144,0
1601304751,10,4
1601306689,4,11
1601307131,84,147
1601307901,142,0
1601309287,32,34
1601309545,17,9
1601311473,9,0
1601311501,103,0
1601313379,7,16
1601315304,92,5
1601317280,10,12
1601319176,12,7
1601321067,15,5
1601322303,159,0
1601323050,4,5
1601324900,6,6
1601325901,64,0
1601326822,14,5
1601328777,16,14
1601330682,5,17
1601333546,59,20
1601335509,103,11
1601336165,33,0
1601337392,4,13
1601339336,13,15
1601341257,64,13
1601343140,11,0
1601343902,156,1898
1601345100,8,39
1601346005,42,0
1601347025,12,7
1601348917,14,0
1601349854,36,0
1601353702,96,47
1601355666,262,23
1601357540,51,18
1601359698,138,17
1601361620,50,28
1601362802,136,0
1601364524,10,19
1601366402,121,0
1601367387,20,20
1601369332,10,19
1601370002,107,0
1601371221,14,13
1601373160,13,16
1601376035,17,16
1601377202,187,0
1601378184,15,14
1601380124,19,24
1601380802,117,0
1601382999,31,13
1601384909,155,14
1601386085,406,797
1601386838,23,13
1601388002,114,0
1601388772,13,9
1601390659,12,9
1601391127,500,999
1601391602,162,0
1601392582,13,11
1601394548,8,4
1601398347,20,22
1601398802,231,0
1601400333,16,8
1601404478,35,7
1601406554,183,8
1601409417,149,10
1601411311,19,8
1601413231,22,14
1601415186,252,10
1601417085,12,5
1601419024,23,0
1601420970,159,43
1601424822,276,21
1601426668,18,13
1601428854,165,2772
1601430760,21,9
1601432715,58,7
1601433002,68,0
1601434568,18,9
1601434806,69,115
1601436602,82,0
1601438476,20,13
1601440367,62,15
1601442968,11,17
1601443801,103,0
1601444413,9,38
1601446367,23,16
1601447402,106,0
1601448252,7,45
1601450179,10,0
1601451002,97,0
1601452137,22,13
1601454087,21,22
1601454602,119,0
1601455936,16,10
1601457863,15,13
1601459798,13,13
1601461707,24,0
1601461802,212,0
1601463644,14,15
1601465579,38,21
1601467466,18,13
1601469002,236,0
1601471371,11,47
1601473231,32,0
1601475146,5,22
1601477089,141,32
1601477527,390,388
1601479002,15,14
1601480900,278,0
1601482361,499,500
1601482860,11,6
1601484302,106,0
1601484746,17,0
1601486698,11,15
1601487902,113,0
1601488582,15,16
1601490522,25,0
1601491502,109,0
1601493378,21,42
1601495324,17,0
1601497264,14,19
1601499204,203,13
1601501090,13,20
1601503052,14,26
1601504948,14,13
1601505901,176,0
1601506843,17,19
1601507765,34,67
1601508744,8,11
1601510922,14,0
1601512821,6,17
1601513101,161,2924
1601514764,13,20
1601516658,18,17
1601518830,17,19
1601520004,39,0
1601520757,92,13
1601522716,11,20
1601524607,51,72
1601524802,207,0
1601526502,15,16
1601528448,33,17
1601530336,123,0
1601532278,135,10
1601534202,23,24
1601536394,220,10
1601538259,12,6
1601539202,119,0
1601540230,16,21
1601542142,19,20
1601542802,129,0
1601544037,10,18
1601545966,13,12
1601547867,12,11
1601548202,176,0
1601552677,15,70
1601554581,15,15
1601556503,187,0
1601558453,8,5
1601560339,9,31
1601560802,273,0
1601562278,15,4
1601564211,12,9
1601566116,9,15
1601568039,6,7
1601568519,507,394
1601569971,150,10
1601573063,11,12
1601575010,13,21
1601575455,500,499
1601576905,152,0
1601578847,17,21
1601580763,136,21
1601582906,7,20
1601583302,213,0
1601584823,28,12
1601586789,7,11
1601588692,12,12
1601590606,12,13
1601592508,245,11
1601594450,20,14
1601596358,11,7
1601596817,34,36
1601598269,124,11
1601598603,98,2408
1601600256,8,6
1601602100,15,15
1601604071,15,15
1601605444,34,39
1601605963,30,15
1601608149,386,15
1601609285,35,0
1601610056,18,12
1601612197,17,14
1601613002,204,0
1601614124,25,13
1601616029,18,19
1601616963,4,15
1601617943,13,21
1601619876,15,19
1601620202,166,0
1601621776,13,20
1601623939,26,9
1601625857,17,14
1601627818,152,19
1601629732,112,14
1601631639,35,8
1601633544,19,15
1601634038,500,0
1601634602,202,0
1601637126,388,0
1601637392,8,12
1601639304,19,13
1601641266,15,14
1601641802,205,0
1601643142,16,12
1601645083,9,11
1601646977,16,6
1601648911,13,15
1601649901,439,0
1601650852,10,10
1601652760,27,8
1601653501,151,0
1601654684,13,6
1601656602,30,22
1601657102,167,0
1601658533,7,0
1601660453,34,6
1601660702,68,0
1601662361,22,10
1601664302,84,0
1601668104,12,47
1601670080,8,6
1601671940,104,27
1601673873,104,9
1601675832,16,8
1601677705,20,8
1601679652,82,21
1601681556,23,17
1601682255,34,0
1601682302,174,0
1601683485,13,8
1601685391,23,11
