DateTime,AddedIPs,RemovedIPs
1601674923,1,0
1601676124,3,0
1601677323,3,0
1601678162,29,24
1601678564,19,0
1601680324,2,0
1601680924,2,1
1601681581,2,1
1601682247,52,22
1601683323,3,0
1601684523,3,0
1601685181,2,2
1601685723,44,0
1601686082,25,22
1601686924,2,2
1601687523,2,0
1601689323,3,0
1601689922,42,26
1601690523,2,0
1601691124,1,0
1601691724,4,0
1601692382,2,0
1601692924,20,0
1601693762,44,49
1601694123,31,2
1601695324,6,0
1601695982,5,0
1601696523,2,0
1601697612,57,47
1601697723,4,0
1601698924,4,2
1601699522,37,43
1601699581,0,1
1601700123,2,0
1601701324,3,0
1601702524,1,0
1601703181,1,1
1601703604,39,32
1601703723,3,0
1601704924,3,2
1601706124,3,0
1601707443,23,22
1601708523,6,0
1601709724,5,0
1601710924,9,0
1601711282,17,22
1601712124,6,1
1601713323,5,0
1601714524,1,0
1601715723,1,1
1601717043,17,21
1601718123,11,1
1601718724,2,0
1601718963,22,13
1601719323,1,0
1601720524,0,1
1601721724,1,0
1601722811,16,19
1601722924,2,0
1601724124,1,1
1601724723,22,24
1601725924,1,0
1601726642,26,24
1601727723,2,0
1601728381,2,1
1601729523,18,0
1601730724,2,0
1601731323,3,0
1601732404,22,15
1601732523,2,0
1601733724,2,0
1601734923,4,1
1601735581,1,0
1601736242,25,19
1601737324,5,0
1601737924,1,0
1601738523,1,0
1601739181,6,0
1601739724,6,0
1601740082,17,16
1601740323,4,0
1601740923,12,0
1601741524,1,0
1601742002,23,31
1601742123,5,0
1601742724,1,1
1601743324,4,0
1601744524,6,0
1601745723,4,0
1601746924,1,0
1601747763,19,20
1601748196,3,0
1601749324,4,0
1601749982,5,0
1601750524,3,0
1601751606,26,17
1601751723,1,0
1601752923,25,2
1601753522,19,16
1601754124,5,1
1601754723,4,0
1601755324,2,0
1601755923,4,0
1601756523,5,3
1601757362,15,25
1601757723,1,5
1601758923,4,6
1601761202,24,18
1601761323,1,0
1601762524,9,0
1601763723,2,0
1601765041,23,16
1601766124,4,0
1601768523,2,0
1601768881,53,22
1601769723,3,0
1601770756,1,0
1601770924,1,0
1601771581,2,0
1601772123,1,0
1601772722,14,19
1601772723,1,0
1601773923,3,1
1601774524,3,0
1601775723,4,0
1601776563,50,28
1601776924,2,0
1601777523,1,0
1601778123,10,0
1601779324,10,0
1601780407,38,52
1601780524,30,1
1601781723,35,0
1601782324,50,60
1601782924,32,2
1601784242,46,43
1601785324,29,0
1601785981,5,0
1601786524,17,0
1601787124,2,0
1601787723,26,0
1601788924,35,1
1601789185,1,0
1601790002,54,37
1601790124,32,0
1601790724,12,0
1601791323,7,0
1601792523,7,0
1601793723,15,0
1601794924,1,0
1601795763,21,21
1601796123,16,0
1601797323,5,0
1601797682,21,24
1601797923,5,0
1601798524,11,0
1601799724,2,1
1601800923,6,1
1601801522,23,18
1601802124,3,3
1601803324,5,0
1601804524,9,0
1601805124,4,0
1601805723,5,0
1601806324,4,0
1601806924,7,0
1601807282,22,17
1601807581,2,0
1601808124,6,0
1601808724,2,0
1601809204,13,24
1601810523,3,0
1601811123,23,29
1601811724,7,1
1601812324,0,2
1601812924,3,0
1601813523,7,0
1601814961,21,23
1601815323,4,0
1601815923,0,2
1601816524,8,0
1601817723,7,0
1601818381,0,1
1601818802,25,21
1601818924,3,0
1601820124,5,1
1601820723,7,2
1601821324,2,1
1601821981,10,3
1601822642,25,19
1601823123,3,0
1601823724,3,1
1601824324,1,0
1601824923,4,0
1601825524,6,0
1601826123,7,0
1601826482,12,20
1601827324,4,1
1601828523,1,0
1601829723,1,0
1601830322,20,17
1601830324,6,0
1601830923,1,1
1601832123,7,0
1601832724,3,0
1601833324,9,0
1601834162,20,25
1601834523,1,0
1601835123,4,0
1601836083,12,17
1601836923,10,0
1601838124,11,2
1601838723,1,0
1601839323,6,0
1601839924,27,14
1601840524,1,0
1601841124,3,0
1601842923,1,0
1601844124,7,0
1601844723,4,0
1601845682,17,27
1601845924,3,0
1601846524,3,1
1601847603,22,25
1601847724,5,0
1601848924,8,0
1601849522,39,25
1601850123,9,1
1601851444,36,44
1601852523,12,0
1601853724,4,0
1601854924,11,0
1601855281,46,22
1601855750,2,0
1601856123,3,0
1601857324,3,0
1601857981,2,0
1601858523,4,0
1601859122,19,19
1601859724,3,1
1601860373,1,0
1601860923,2,0
1601861581,0,1
1601862124,3,0
1601862962,59,31
1601864524,2,0
1601865723,5,0
1601866827,40,50
1601866924,11,0
1601867524,1,0
1601868123,9,0
1601868721,53,52
1601869323,7,0
1601870523,11,0
