DateTime,AddedIPs,RemovedIPs
1601778518,17,15
1601778935,40,40
1601779654,71,28
1601780442,91,59
1601781094,66,37
1601781815,44,45
1601782535,35,56
1601783255,53,44
1601783974,51,31
1601784269,16,43
1601784694,36,48
1601785414,32,47
1601786223,56,53
1601786854,27,53
1601787607,46,48
1601788112,9,21
1601788294,29,44
1601789013,36,41
1601789733,29,33
1601790030,14,12
1601790454,33,37
1601790969,20,2
1601791174,35,35
1601791973,53,60
1601792614,52,45
1601793334,44,51
1601793877,14,6
1601794054,52,85
1601794774,32,62
1601795494,45,45
1601795808,12,9
1601796214,68,44
1601796934,37,49
1601797730,45,64
1601798374,49,39
1601799094,50,51
1601799620,7,14
1601799814,34,43
1601800534,41,53
1601801254,40,50
1601801555,7,11
1601801974,53,35
1601802694,41,48
1601803511,76,1820
1601804134,40,42
1601804853,34,47
1601805632,42,52
1601806365,41,53
1601807013,45,31
1601807734,52,39
1601808261,11,7
1601808453,63,39
1601809174,74,48
1601809894,46,36
1601810183,11,11
1601810614,36,32
1601811334,39,34
1601812054,46,41
1601812774,59,38
1601813493,35,44
1601814214,43,52
1601814996,51,50
1601815654,38,40
1601816374,53,46
1601816904,10,20
1601817094,33,36
1601817814,48,36
1601818534,32,43
1601818871,12,10
1601819253,44,54
1601819974,80,40
1601820251,6,8
1601820771,67,52
1601821414,44,30
1601822134,32,50
1601822658,9,11
1601822854,41,44
1601823574,29,43
1601824294,37,41
1601824590,11,16
1601825014,67,39
1601825734,55,34
1601826454,44,31
1601827174,47,37
1601827894,37,46
1601828614,37,29
1601829419,52,61
1601830055,42,33
1601830773,35,30
1601831494,38,69
1601832214,52,51
1601832934,47,47
1601833244,19,17
1601833654,36,40
1601834374,38,46
1601834885,10,3
1601835179,55,42
1601835814,36,38
1601836535,60,45
1601837055,10,8
1601837254,36,52
1601837974,48,49
1601838694,49,44
1601838982,8,13
1601839414,31,46
1601840134,38,37
1601840924,39,62
1601841574,46,37
1601842294,51,47
1601843014,58,48
1601843819,68,40
1601844454,34,32
1601845174,38,32
1601845707,14,18
1601845894,40,41
1601846614,25,45
1601847334,33,35
1601847654,18,11
1601848054,33,37
1601848774,56,37
1601849572,169,49
1601850214,57,57
1601850934,47,60
1601851465,14,6
1601851654,47,40
1601852374,35,29
1601853093,26,26
1601853378,8,5
1601853814,30,44
1601854533,29,20
1601855342,44,36
1601855975,37,38
1601856694,42,46
1601857239,13,7
1601857414,37,53
1601858134,27,89
1601858854,38,64
1601859141,7,8
1601859574,36,54
1601860294,48,32
1601861096,58,39
1601861734,35,204
1601862454,106,108
1601862997,9,8
1601863174,43,29
1601863951,56,30
1601864165,21,4
1601864614,111,49
1601864906,9,9
1601865334,93,47
1601866054,77,74
1601866866,53,99
1601867494,42,65
1601868215,52,49
1601868755,25,11
1601868935,39,33
1601869654,37,43
1601870373,52,55
1601870919,13,17
1601871094,41,46
1601871814,47,38
1601872534,55,42
1601872833,18,17
1601873253,46,39
1601873974,45,51
1601874694,43,39
1601874964,2,0
1601875415,47,41
1601875695,4,8
1601876133,49,29
1601876853,60,40
1601877678,57,61
1601878294,61,55
1601878807,18,1
1601879014,49,45
1601879734,54,52
1601880525,76,68
1601881174,70,43
1601881895,64,40
1601882441,13,0
1601882614,55,74
1601883334,45,46
1601884054,53,42
1601884352,18,15
1601884774,44,60
1601885494,49,56
1601886288,67,39
1601886934,52,50
1601887654,49,45
1601888218,19,17
1601888375,66,61
1601889095,72,49
1601889814,1818,57
1601890111,9,12
1601890534,57,56
1601891254,45,49
1601892053,277,52
1601892694,37,35
1601893473,65,49
1601894134,48,59
1601894947,57,82
1601895574,54,63
1601896294,45,45
1601896833,7,6
1601897014,56,42
1601897734,68,43
1601898455,56,46
1601898741,7,8
1601899174,58,63
1601899894,60,42
1601900685,65,57
1601901335,60,31
1601902054,47,40
1601902774,51,60
1601903555,61,44
1601904214,44,53
1601904934,61,41
1601905459,10,14
1601905654,49,40
1601906374,45,85
1601907094,39,43
1601907406,16,11
1601907607,1,0
1601907814,53,39
1601908088,21,3
1601908534,109,45
1601909325,91,48
1601909975,66,34
1601910695,34,46
1601911213,12,6
1601911414,44,54
1601912134,61,51
1601912854,95,50
1601913137,12,7
1601913574,73,38
1601914294,69,45
1601915108,54,52
1601915734,33,36
1601916454,51,43
1601916996,10,8
1601917174,39,35
1601917894,38,40
1601918644,46,53
1601918900,7,13
1601919334,51,59
1601920055,42,268
1601920876,60,460
1601921494,23,62
1601922215,46,43
1601922752,41,10
1601922935,56,56
1601923654,41,45
1601924374,43,54
1601924904,13,9
1601925094,35,51
1601925814,32,43
1601926534,28,33
1601927255,39,40
1601927785,20,10
1601927973,38,46
1601928693,40,49
1601929414,39,60
1601929716,11,0
1601930134,44,51
1601930854,36,43
1601931648,52,46
1601932294,47,38
1601933014,68,34
1601933734,78,39
1601934454,82,36
1601935174,53,53
1601935476,16,22
1601935894,49,128
1601936614,52,46
1601937410,82,62
1601938054,49,48
1601938774,52,48
1601939494,61,30
1601940343,89,50
1601940934,50,32
1601941654,41,37
1601942211,13,0
1601942374,135,32
1601943094,135,35
1601943814,33,39
1601944106,13,7
1601944535,34,35
1601945254,29,52
1601945974,36,31
1601946694,26,57
1601947413,44,58
1601947957,31,30
1601948134,39,40
1601948854,51,97
1601949635,61,47
1601949868,12,13
1601950294,46,38
1601951014,52,100
1601951529,3,0
1601951812,68,104
1601952008,17,5
1601952454,57,83
1601953174,34,32
1601953712,17,0
1601953894,31,56
1601954614,28,51
1601955334,48,50
1601956054,39,29
1601956774,50,48
1601957494,39,53
1601958214,34,46
1601958934,41,57
1601959464,12,15
1601959654,39,45
1601960373,45,47
1601961094,44,50
1601961376,18,0
1601961813,47,50
1601962324,1,0
1601962533,37,52
1601963319,59,67
1601964034,63,53
1601964693,49,56
1601965244,14,8
1601965414,56,48
1601966135,46,50
1601966647,7,4
1601966854,62,53
1601967136,15,15
1601967574,43,63
1601968294,52,65
1601969123,97,64
1601969734,56,43
1601970455,62,56
1601971053,11,0
1601971175,522,56
1601971894,139,51
1601972614,114,73
1601973149,15,13
1601973334,104,55
1601974054,50,50
1601974775,50,56
1601975097,14,10
1601975494,50,59
1601976214,64,1607
1601977003,70,61
1601977654,43,40
1601978375,57,258
1601978907,12,5
1601979095,59,32
1601979815,48,44
1601980534,41,58
1601980833,21,12
1601981312,49,49
1601981974,40,48
1601982767,59,67
1601983414,43,56
1601984134,69,72
1601984855,68,62
1601985575,62,52
1601986295,57,48
1601987014,51,57
1601987547,23,21
1601987735,40,78
1601988454,43,33
1601989173,93,41
1601989458,11,8
1601989894,100,38
1601990614,93,43
1601991425,64,97
1601992054,66,56
1601992774,52,55
1601993302,12,3
1601993495,72,43
1601994215,51,50
1601994934,38,111
1601995239,22,13
1601995654,50,64
1601995926,6,6
1601996375,38,78
1601997170,81,36
1601997814,51,33
1601998534,43,49
1601999057,11,0
1601999254,35,82
1601999974,30,73
1602000694,40,57
1602000979,10,3
1602001414,53,45
1602002135,50,29
1602002922,69,60
1602003574,41,44
1602004294,36,42
1602004831,14,0
1602005014,43,47
1602005734,46,58
1602006004,1,0
1602006453,40,44
1602006760,10,6
1602007174,37,44
1602007894,49,34
1602008685,48,48
1602009334,35,54
1602010054,44,38
1602010588,21,3
1602010774,38,43
1602011494,42,41
1602012214,41,30
1602012548,10,20
1602012934,34,40
1602013654,37,40
1602014451,49,51
1602015094,32,38
1602015814,40,42
1602016535,29,45
1602017254,35,34
1602017974,49,37
1602018694,53,60
1602019250,11,14
1602019654,53,105
1602020374,30,80
1602021164,34,77
1602021814,32,59
1602022534,38,42
1602023254,46,49
1602023974,60,37
1602024694,36,37
1602024985,9,14
1602025214,21,4
1602025414,60,59
1602026134,42,52
1602026907,53,69
1602027574,32,38
1602028294,35,110
1602028844,10,15
1602029014,44,141
