DateTime,AddedIPs,RemovedIPs
1601611324,1,1
1601611923,1,0
1601613181,1,1
1601613723,2,0
1601614924,2,1
1601615523,3,0
1601617323,9,0
1601618523,1,0
1601619124,0,1
1601619723,3,0
1601620923,5,1
1601622124,2,0
1601622723,2,0
1601623323,1,0
1601624524,2,1
1601625124,33,0
1601625724,36,0
1601626324,1,0
1601628123,2,0
1601628723,1,0
1601629924,2,0
1601631124,5,0
1601631724,3,1
1601632323,3,0
1601632924,1,2
1601634123,50,0
1601634781,1,0
1601635324,1,0
1601635924,1,0
1601637123,9,0
1601637723,1,0
1601638381,1,0
1601638923,2,0
1601640123,7,0
1601641323,6,0
1601641982,3,0
1601642523,2,0
1601643123,3,1
1601644057,3,1
1601644324,6,0
1601645581,1,0
1601646123,3,0
1601647323,2,0
1601647924,3,2
1601648523,2,0
1601649723,2,1
1601650323,1,0
1601650923,3,1
1601651523,1,0
1601652123,4,0
1601652724,1,0
1601653323,2,0
1601653923,1,0
1601655724,6,1
1601656381,22,0
1601656923,1,0
1601658124,10,0
1601658723,3,1
1601659324,14,0
1601659924,14,0
1601660524,14,0
1601661123,0,1
1601661723,15,0
1601662923,10,1
1601664123,4,0
1601664723,11,0
1601665324,4,0
1601666523,4,0
1601667181,0,1
1601667723,5,1
1601668324,2,0
1601668923,13,0
1601670123,3,0
1601671323,6,0
1601672524,4,0
1601673123,3,0
1601673724,1,0
1601674381,1,0
1601674923,1,0
1601676124,3,0
1601677323,3,0
1601678524,19,0
1601680324,2,0
1601680924,2,1
1601681581,2,1
1601682123,6,0
1601683323,3,0
1601684523,3,0
1601685181,2,2
1601685723,44,0
1601686924,2,2
1601687523,2,0
1601689323,3,0
1601690523,2,0
1601691124,1,0
1601691724,4,0
1601692382,2,0
1601692924,20,0
1601694123,31,2
1601695324,6,0
1601695982,5,0
1601696523,2,0
1601697723,4,0
1601698924,4,2
1601699581,0,1
1601700123,2,0
1601701324,3,0
1601702524,1,0
1601703181,1,1
1601703723,3,0
1601704924,3,2
1601706124,3,0
1601707323,3,0
1601708523,6,0
1601709724,5,0
1601710924,9,0
1601712124,6,1
1601713323,5,0
1601714524,1,0
1601715723,1,1
1601718123,11,1
1601718724,2,0
1601719323,1,0
1601720524,0,1
1601721724,1,0
1601722924,2,0
1601724124,1,1
1601724723,1,0
1601725924,1,0
1601726524,2,0
1601727723,2,0
1601728381,2,1
1601729523,18,0
1601730724,2,0
1601731323,3,0
1601732523,2,0
1601733724,2,0
1601734923,4,1
1601735581,1,0
1601736123,7,0
1601737324,5,0
1601737924,1,0
1601738523,1,0
1601739181,6,0
1601739724,6,0
1601740323,4,0
1601740923,12,0
1601741524,1,0
1601742123,5,0
1601742724,1,1
1601743324,4,0
1601744524,6,0
1601745723,4,0
1601746924,1,0
1601748123,3,0
1601749324,4,0
1601749982,5,0
1601750524,3,0
1601751723,1,0
1601752923,25,2
1601754124,5,1
1601754723,4,0
1601755324,2,0
1601755923,4,0
1601756523,5,3
1601757181,1,0
1601757723,1,5
1601758923,4,6
1601761323,1,0
1601762524,9,0
1601763723,2,0
1601764923,5,1
1601766124,4,0
1601768523,2,0
1601769723,3,0
1601770323,1,0
1601770924,1,0
1601771581,2,0
1601772123,1,0
1601772723,1,0
1601773923,3,1
1601774524,3,0
1601775723,4,0
1601776924,2,0
1601777523,1,0
1601778123,10,0
1601779324,10,0
1601780524,30,1
1601781723,35,0
1601782924,32,2
1601784124,7,1
1601785324,29,0
1601785981,5,0
1601786524,17,0
1601787124,2,0
1601787723,26,0
1601788924,35,1
1601790124,32,0
1601790724,12,0
1601791323,7,0
1601792523,7,0
1601793723,15,0
1601794924,1,0
1601796123,16,0
1601797323,5,0
1601797923,5,0
1601798524,11,0
1601799724,2,1
1601800923,6,1
1601802124,3,3
1601803324,5,0
1601804524,9,0
1601805124,4,0
1601805723,5,0
1601806324,4,0
1601806924,7,0
1601807581,2,0
1601808124,6,0
1601808724,2,0
1601810523,3,0
1601811123,3,0
