DateTime,AddedIPs,RemovedIPs
1601100248,45,40
1601102168,66,46
1601104115,46,37
1601106013,77,51
1601107926,54,41
1601109869,58,41
1601111768,73,50
1601113687,66,45
1601115603,59,3144
1601117524,99,110
1601119447,1589,0
1601121465,95,75
1601123285,82,59
1601125209,83,78
1601127128,77,61
1601129069,67,60
1601131278,108,84
1601133143,63,43
1601135059,81,38
1601137020,86,75
1601138909,57,56
1601140840,62,76
1601142752,57,48
1601144662,90,67
1601146610,98,91
1601148531,82,69
1601150438,55,69
1601152394,61,60
1601154247,70,73
1601156184,104,73
1601158130,62,64
1601160050,87,92
1601161948,1321,0
1601163883,49,41
1601165793,68,56
1601167712,106,54
1601169641,201,52
1601171545,66,53
1601173504,59,46
1601175394,52,53
1601177340,39,32
1601179256,56,51
1601181182,37,41
1601183065,53,55
1601184974,53,58
1601186935,47,38
1601188824,48,80
1601190749,39,75
1601192738,54,65
1601194577,38,51
1601196528,56,60
1601198415,45,84
1601201286,92,3411
1601203202,62,79
1601205175,1446,0
1601207077,78,72
1601208977,65,67
1601210918,39,43
1601212824,26,72
1601214747,68,56
1601216684,156,60
1601218564,50,65
1601220524,52,41
1601222423,83,74
1601224362,94,64
1601226284,98,42
1601228178,106,64
1601230368,123,47
1601232291,121,51
1601234212,124,64
1601236120,113,60
1601238042,123,72
1601239968,137,57
1601241868,135,74
1601243825,111,65
1601245710,89,74
1601247660,1225,0
1601249565,72,59
1601251719,104,54
1601253902,90,42
1601255770,68,55
1601257687,71,49
1601259628,90,58
1601261528,77,35
1601263451,61,40
1601265387,81,45
1601267286,74,46
1601269215,107,38
1601271149,73,45
1601273047,50,38
1601274970,55,39
1601276913,47,42
1601278811,85,67
1601280726,59,52
1601282669,67,55
1601284806,75,74
1601286727,73,64
1601288670,67,3289
1601290567,127,90
1601292486,1391,0
1601294444,97,72
1601296332,93,101
1601298490,85,91
1601300405,63,80
1601302352,87,73
1601304245,88,63
1601306166,76,48
1601308084,56,41
1601310003,81,55
1601311947,86,40
1601313849,85,58
1601315786,91,53
1601317684,70,48
1601319610,68,45
1601321552,53,39
1601323449,68,41
1601325365,78,61
1601327322,72,44
1601329207,83,40
1601331152,69,76
1601333055,92,56
1601334969,1147,0
1601336910,47,45
1601338804,54,56
1601340730,62,89
1601342672,53,79
1601344564,70,61
1601346786,63,56
1601348916,56,49
1601350840,57,33
1601352788,41,43
1601354647,52,34
1601356566,64,50
1601358506,52,32
1601360403,55,47
1601362323,68,39
1601364268,68,31
1601366164,56,52
1601368082,66,42
1601370041,56,60
1601371932,59,32
1601373871,57,3844
1601375765,79,90
1601377712,1720,0
1601379609,70,96
1601381549,89,87
1601383446,74,88
1601385364,82,74
1601387307,53,73
1601389203,69,76
1601391123,54,92
1601393073,56,65
1601394968,67,77
1601396883,63,71
1601398843,67,113
1601400734,50,65
1601402648,40,48
1601404476,52,53
1601406552,60,62
1601408434,74,88
1601410326,67,55
1601412266,68,63
1601414169,84,79
1601416086,61,62
1601418006,61,67
1601419925,88,100
1601421846,1509,0
1601423796,70,89
1601425710,44,68
1601427607,34,66
1601429526,53,62
1601431693,50,83
1601433607,36,77
1601435569,61,62
1601437450,48,63
1601439392,57,60
1601441282,56,84
1601443224,50,57
1601445126,39,59
1601447068,48,32
1601448963,49,61
1601450882,33,62
1601452831,58,68
1601454729,81,62
1601456892,104,75
1601458833,69,68
1601460732,40,3297
1601462668,71,69
1601464564,1442,0
1601466482,86,53
1601468426,107,70
1601470326,62,49
1601472249,60,59
1601474186,72,68
1601476084,54,58
1601478023,51,47
1601479951,94,64
1601481847,77,37
1601483788,100,70
1601485690,108,67
1601487607,69,52
1601489767,97,79
1601491922,73,72
1601493847,65,70
1601495790,140,56
1601497682,158,65
1601499632,77,59
1601501521,101,63
1601503447,91,61
1601505386,92,71
1601507289,1210,0
1601509208,90,47
1601511148,54,39
1601513044,60,47
1601514969,69,43
1601516910,49,45
1601518830,77,59
1601520756,62,44
1601522716,62,47
1601524606,68,35
1601526501,50,53
1601528447,72,55
1601530336,70,49
1601532277,41,50
1601534201,79,57
1601536394,52,75
1601538259,39,40
1601540230,56,68
1601542142,64,48
1601544036,77,70
1601545965,66,55
1601547866,57,2806
1601549792,114,84
1601551737,1328,0
1601553615,100,70
1601555550,75,40
1601557715,117,49
1601559603,85,38
1601561527,113,61
1601563466,67,39
1601565365,102,71
1601567286,63,44
1601569225,92,56
1601571121,69,58
1601573061,49,40
1601575008,91,51
1601576903,84,46
1601578845,89,58
1601580761,79,33
1601582904,110,66
1601584821,97,113
1601586787,97,77
1601588690,85,55
1601590604,71,53
1601592508,94,69
1601594449,1139,0
1601596358,58,47
1601598269,64,35
1601600256,72,28
1601602099,61,34
1601604071,67,46
1601605962,50,32
1601608148,54,49
1601610055,55,47
1601612196,56,50
1601614123,54,51
1601616028,53,37
1601617942,49,37
1601619875,58,42
1601621775,54,45
1601623938,53,40
1601625856,41,39
1601627816,59,105
1601629731,49,80
1601631637,51,63
1601633542,40,3453
1601635482,68,91
1601637391,1517,0
1601639302,82,78
1601641265,88,67
1601643140,79,67
1601645082,75,62
1601646975,66,61
1601648909,56,73
1601650850,79,72
1601652758,56,52
1601654682,68,64
1601656600,73,62
1601658532,81,61
1601660451,82,79
1601662359,78,49
1601664296,89,60
1601666192,101,60
1601668102,65,44
1601670078,77,55
1601671938,59,66
1601673871,62,65
1601675829,71,75
1601677703,62,66
1601679651,1283,0
1601681555,45,53
1601683484,42,49
1601685390,66,55
1601687317,44,49
1601689226,62,53
1601691371,37,59
1601693282,49,57
1601695204,40,47
1601697125,57,55
1601699069,60,40
1601700970,59,58
1601702886,51,57
1601704837,42,48
1601706727,42,62
1601708888,30,53
1601710805,48,31
1601712749,51,53
1601714645,46,60
1601716564,70,67
1601718508,51,66
1601720405,22,3348
1601722324,56,79
1601724268,1327,0
1601726164,79,72
1601728082,51,62
1601730034,69,73
1601731924,65,78
1601733845,63,55
1601735786,67,53
1601737689,65,48
1601739605,59,54
1601741549,64,61
1601743446,59,52
1601745363,72,50
1601747304,58,59
1601749204,60,64
1601751126,75,48
1601753072,66,52
1601754963,75,53
1601756883,78,56
1601758843,76,50
1601760725,74,54
1601762644,69,41
1601764587,63,64
1601766487,1156,0
1601768410,68,57
1601770347,48,45
1601772245,94,50
1601774165,181,65
1601776111,78,60
1601778004,68,48
1601779925,53,49
1601781871,27,34
1601783765,60,61
1601785684,49,43
1601787641,45,47
1601789528,48,54
1601791446,53,50
1601793391,64,52
1601795286,39,40
1601797207,53,54
1601799151,46,42
1601801046,55,46
1601802964,66,69
1601804906,36,33
1601806805,44,2988
1601808723,88,54
1601810670,1229,0
1601812565,56,60
1601814483,58,67
1601816439,66,72
1601818326,361,62
1601820248,119,41
1601822193,57,52
1601824086,36,38
1601826006,56,48
1601827951,106,65
1601829844,179,54
1601831761,87,55
1601833713,58,43
1601835604,62,38
1601837523,50,46
1601839470,229,32
1601841365,137,55
1601843282,48,44
1601845240,54,61
1601847126,65,68
1601849045,73,52
1601850993,166,38
1601852889,1040,0
1601854804,41,41
1601856754,45,42
1601858648,63,58
1601860567,121,50
1601862510,121,36
1601864404,59,30
1601866325,51,50
1601868273,46,34
1601870164,74,52
1601872086,89,47
1601874035,80,55
1601875928,50,38
1601878088,59,44
1601880004,55,33
1601881950,83,24
1601883847,98,48
1601885763,70,46
1601887709,37,49
1601889641,56,71
1601891525,54,50
1601893473,109,2867
1601895362,121,96
1601897281,1365,0
1601899244,80,70
1601901125,63,96
1601903044,75,60
1601904989,107,78
1601906886,76,72
1601908804,61,57
1601910755,74,44
1601912643,55,43
1601914564,90,59
1601916506,91,43
1601918401,52,45
1601920321,64,61
1601922270,58,49
1601924164,102,61
1601926081,105,50
1601928028,87,54
1601929923,83,47
1601931843,81,60
1601933785,69,51
1601935682,66,40
1601937604,119,70
1601939551,1146,0
1601941447,63,47
1601943607,62,56
1601945524,77,74
1601947470,89,43
1601949363,99,71
1601951527,65,59
1601953451,51,35
1601955391,55,41
1601957284,48,46
1601959210,76,39
1601961151,74,36
1601963045,48,42
1601964964,57,47
1601966907,43,55
1601968808,84,46
1601970724,57,31
1601972669,61,57
1601974564,63,57
1601976487,56,45
1601978446,65,3866
1601980329,75,134
1601982245,1674,0
1601984188,103,59
1601986083,85,41
1601988006,63,60
1601989952,80,100
1601991846,86,133
1601993762,83,78
1601995705,62,44
1601997602,59,47
1601999524,69,76
1602001469,75,93
1602003363,110,88
1602005282,44,47
1602007236,74,59
1602009125,76,48
1602011045,80,58
1602012984,168,122
1602014886,112,65
1602017049,93,57
1602018968,91,51
1602020885,71,61
1602022801,73,103
1602024747,147,126
1602026647,1445,0
1602028565,66,31
1602030506,56,41
1602032411,104,67
1602034350,70,113
1602036255,65,71
1602038169,53,44
1602040108,37,37
1602042009,83,52
1602043962,71,57
1602045845,80,74
1602047764,60,57
1602049685,47,36
1602051627,55,58
1602053525,92,53
1602055446,59,85
1602057388,89,79
1602059283,60,45
1602061216,51,55
1602063149,62,43
1602065046,62,3404
