DateTime,Entries,UniqueIPs
1601100248,6517,6517
1601102168,6537,6537
1601104115,6546,6546
1601106013,6572,6572
1601107926,6585,6585
1601109869,6602,6602
1601111768,6625,6625
1601113687,6646,6646
1601115603,3561,3561
1601117524,3550,3550
1601119447,5139,5139
1601121465,5159,5159
1601123285,5182,5182
1601125209,5187,5187
1601127128,5203,5203
1601129069,5210,5210
1601131278,5234,5234
1601133143,5254,5254
1601135059,5297,5297
1601137020,5308,5308
1601138909,5309,5309
1601140840,5295,5295
1601142752,5304,5304
1601144662,5327,5327
1601146610,5334,5334
1601148531,5347,5347
1601150438,5333,5333
1601152394,5334,5334
1601154247,5331,5331
1601156184,5362,5362
1601158130,5360,5360
1601160050,5355,5355
1601161948,6676,6676
1601163883,6684,6684
1601165793,6696,6696
1601167712,6748,6748
1601169641,6897,6897
1601171545,6910,6910
1601173504,6923,6923
1601175394,6922,6922
1601177340,6929,6929
1601179256,6934,6934
1601181182,6930,6930
1601183065,6928,6928
1601184974,6923,6923
1601186935,6932,6932
1601188824,6900,6900
1601190749,6864,6864
1601192738,6853,6853
1601194577,6840,6840
1601196528,6836,6836
1601198415,6797,6797
1601201286,3478,3478
1601203202,3461,3461
1601205175,4907,4907
1601207077,4913,4913
1601208977,4911,4911
1601210918,4907,4907
1601212824,4861,4861
1601214747,4873,4873
1601216684,4969,4969
1601218564,4954,4954
1601220524,4965,4965
1601222423,4974,4974
1601224362,5004,5004
1601226284,5060,5060
1601228178,5102,5102
1601230368,5178,5178
1601232291,5248,5248
1601234212,5308,5308
1601236120,5361,5361
1601238042,5412,5412
1601239968,5492,5492
1601241868,5553,5553
1601243825,5599,5599
1601245710,5614,5614
1601247660,6839,6839
1601249565,6852,6852
1601251719,6902,6902
1601253902,6950,6950
1601255770,6963,6963
1601257687,6985,6985
1601259628,7017,7017
1601261528,7059,7059
1601263451,7080,7080
1601265387,7116,7116
1601267286,7144,7144
1601269215,7213,7213
1601271149,7241,7241
1601273047,7253,7253
1601274970,7269,7269
1601276913,7274,7274
1601278811,7292,7292
1601280726,7299,7299
1601282669,7311,7311
1601284806,7312,7312
1601286727,7321,7321
1601288670,4099,4099
1601290567,4136,4136
1601292486,5527,5527
1601294444,5552,5552
1601296332,5544,5544
1601298490,5538,5538
1601300405,5521,5521
1601302352,5535,5535
1601304245,5560,5560
1601306166,5588,5588
1601308084,5603,5603
1601310003,5629,5629
1601311947,5675,5675
1601313849,5702,5702
1601315786,5740,5740
1601317684,5762,5762
1601319610,5785,5785
1601321552,5799,5799
1601323449,5826,5826
1601325365,5843,5843
1601327322,5871,5871
1601329207,5914,5914
1601331152,5907,5907
1601333055,5943,5943
1601334969,7090,7090
1601336910,7092,7092
1601338804,7090,7090
1601340730,7063,7063
1601342672,7037,7037
1601344564,7046,7046
1601346786,7053,7053
1601348916,7060,7060
1601350840,7084,7084
1601352788,7082,7082
1601354647,7100,7100
1601356566,7114,7114
1601358506,7134,7134
1601360403,7142,7142
1601362323,7171,7171
1601364268,7208,7208
1601366164,7212,7212
1601368082,7236,7236
1601370041,7232,7232
1601371932,7259,7259
1601373871,3472,3472
1601375765,3461,3461
1601377712,5181,5181
1601379609,5155,5155
1601381549,5157,5157
1601383446,5143,5143
1601385364,5151,5151
1601387307,5131,5131
1601389203,5124,5124
1601391123,5086,5086
1601393073,5077,5077
1601394968,5067,5067
1601396883,5059,5059
1601398843,5013,5013
1601400734,4998,4998
1601402648,4990,4990
1601404476,4989,4989
1601406552,4987,4987
1601408434,4973,4973
1601410326,4985,4985
1601412266,4990,4990
1601414169,4995,4995
1601416086,4994,4994
1601418006,4988,4988
1601419925,4976,4976
1601421846,6485,6485
1601423796,6466,6466
1601425710,6442,6442
1601427607,6410,6410
1601429526,6401,6401
1601431693,6368,6368
1601433607,6327,6327
1601435569,6326,6326
1601437450,6311,6311
1601439392,6308,6308
1601441282,6280,6280
1601443224,6273,6273
1601445126,6253,6253
1601447068,6269,6269
1601448963,6257,6257
1601450882,6228,6228
1601452831,6218,6218
1601454729,6237,6237
1601456892,6266,6266
1601458833,6267,6267
1601460732,3010,3010
1601462668,3012,3012
1601464564,4454,4454
1601466482,4487,4487
1601468426,4524,4524
1601470326,4537,4537
1601472249,4538,4538
1601474186,4542,4542
1601476084,4538,4538
1601478023,4542,4542
1601479951,4572,4572
1601481847,4612,4612
1601483788,4642,4642
1601485690,4683,4683
1601487607,4700,4700
1601489767,4718,4718
1601491922,4719,4719
1601493847,4714,4714
1601495790,4798,4798
1601497682,4891,4891
1601499632,4909,4909
1601501521,4947,4947
1601503447,4977,4977
1601505386,4998,4998
1601507289,6208,6208
1601509208,6251,6251
1601511148,6266,6266
1601513044,6279,6279
1601514969,6305,6305
1601516910,6309,6309
1601518830,6327,6327
1601520756,6345,6345
1601522716,6360,6360
1601524606,6393,6393
1601526501,6390,6390
1601528447,6407,6407
1601530336,6428,6428
1601532277,6419,6419
1601534201,6441,6441
1601536394,6418,6418
1601538259,6417,6417
1601540230,6405,6405
1601542142,6421,6421
1601544036,6428,6428
1601545965,6439,6439
1601547866,3690,3690
1601549792,3720,3720
1601551737,5048,5048
1601553615,5078,5078
1601555550,5113,5113
1601557715,5181,5181
1601559603,5228,5228
1601561527,5280,5280
1601563466,5308,5308
1601565365,5339,5339
1601567286,5358,5358
1601569225,5394,5394
1601571121,5405,5405
1601573061,5414,5414
1601575008,5454,5454
1601576903,5492,5492
1601578845,5523,5523
1601580761,5569,5569
1601582904,5613,5613
1601584821,5597,5597
1601586787,5617,5617
1601588690,5647,5647
1601590604,5665,5665
1601592508,5690,5690
1601594449,6829,6829
1601596358,6840,6840
1601598269,6869,6869
1601600256,6913,6913
1601602099,6940,6940
1601604071,6961,6961
1601605962,6979,6979
1601608148,6984,6984
1601610055,6992,6992
1601612196,6998,6998
1601614123,7001,7001
1601616028,7017,7017
1601617942,7029,7029
1601619875,7045,7045
1601621775,7054,7054
1601623938,7067,7067
1601625856,7069,7069
1601627816,7023,7023
1601629731,6992,6992
1601631637,6980,6980
1601633542,3567,3567
1601635482,3544,3544
1601637391,5061,5061
1601639302,5065,5065
1601641265,5086,5086
1601643140,5098,5098
