DateTime,AddedIPs,RemovedIPs
1594736674,66,1
1594751285,21,0
1594765924,113,0
1594780592,173,1
1594795237,138,0
1594809849,101,1
1594824763,74,0
1594839366,25,0
1594854035,58,0
1594868648,33,1
1594883323,64,1
1594897954,38,0
1594912837,22,0
1594927476,33,1
1594942089,20,1
1594956753,15,1
1594971368,21,1
1594986007,15,0
1595000649,24,0
1595015287,35,2
1595029926,22,2
1595044591,26,0
1595059234,21,2
1595073846,10,0
1595088487,10,0
1595103125,26,2
1595117795,19,0
1595132431,12,3
1595147073,4,1
1595161687,15,1
1595176356,7,0
1595190995,6,1
1595205612,33,1
1595220246,12,1
1595234886,14,0
1595249529,16,3
1595264166,8,0
1595278812,16,2
1595293689,8,0
1595308356,7,1
1595323210,20,0
1595337876,17,0
1595352484,22,1
1595367151,10,2
1595381769,26,1
1595396407,19,0
1595411050,15,1
1595425715,5,1
1595440328,17,1
1595454968,15,2
1595469655,11,2
1595484496,24,1
1595499154,12,1
1595513765,17,0
1595528405,17,0
1595543076,15,1
1595557694,11,1
1595572329,13,2
1595586994,18,0
1595601607,11,0
1595616247,7,1
1595630916,18,0
1595645526,13,2
1595660166,18,2
1595674835,11,1
1595689707,13,0
1595704355,14,1
1595718967,15,1
1595733605,10,1
1595748281,10,2
1595762888,8,0
1595777558,11,3
1595792166,9,0
1595806805,19,0
1595821449,12,0
1595836115,9,2
1595850756,8,0
1595865366,11,0
1595880044,13,0
1595894647,13,1
1595909293,17,0
1595923956,18,0
1595938807,14,2
1595953482,14,2
1595968117,17,1
1595982761,22,0
1595997612,12,2
1596012278,14,0
1596026921,19,1
1596041553,13,0
1596056165,12,1
1596070813,15,2
1596085447,5,3
1596100118,14,0
1596114724,22,3
1596129638,14,1
1596144277,18,1
1596158884,10,3
1596173525,9,1
1596188170,7,3
1596202812,12,1
1596217447,9,2
1596232118,21,1
1596246726,16,3
1596261367,14,0
1596276036,13,1
1596290890,6,2
1596305528,6,1
1596320165,16,2
1596334808,9,1
1596349480,23,0
1596364089,16,0
1596378755,12,0
1596393367,24,1
1596408012,33,0
1596422678,18,1
1596437287,20,1
1596451926,19,1
1596466597,8,1
1596481206,11,2
1596496127,15,0
1596510725,13,0
1596525365,4,1
1596540037,12,1
1596554646,5,1
1596569288,13,0
1596583959,18,1
1596598567,11,2
1596613210,14,1
1596627849,12,1
