DateTime,AddedIPs,RemovedIPs
1601143204,366,460
1601145003,421,336
1601146804,308,435
1601148604,241,638
1601150403,230,188
1601152204,259,194
1601154003,210,579
1601155803,262,341
1601157603,208,745
1601159403,200,586
1601161203,362,485
1601163004,341,441
1601164803,216,441
1601166604,235,534
1601168403,200,551
1601170203,246,250
1601172003,271,536
1601174704,439,647
1601176504,341,426
1601178303,374,442
1601180103,487,377
1601181904,502,310
1601183703,385,309
1601185504,313,550
1601187304,310,382
1601189104,355,403
1601190904,557,296
1601192704,520,239
1601194504,390,219
1601196304,384,278
1601198104,181,229
1601199904,137,268
1601201704,181,208
1601203503,188,215
1601205304,206,380
1601207104,197,346
1601208904,132,226
1601210705,252,243
1601212504,236,283
1601214303,203,399
1601216104,150,361
1601217904,114,218
1601219704,119,488
1601221504,176,194
1601223304,346,377
1601225104,261,464
1601226904,210,502
1601228704,242,316
1601230504,237,313
1601232304,196,360
1601234103,104,514
1601235904,164,539
1601237704,189,416
1601239503,187,398
1601241304,193,310
1601243104,243,134
1601244903,169,182
1601246703,232,152
1601248503,225,207
1601250303,239,224
1601252104,244,147
1601254802,356,267
1601256603,210,234
1601258404,257,218
1601260202,275,168
1601262903,316,170
1601264703,203,130
1601266503,194,164
1601268303,203,288
1601270103,166,271
1601271904,200,211
1601273704,203,173
1601275503,387,297
1601277303,364,104
1601279104,179,138
1601280903,207,163
1601282704,237,151
1601284503,167,202
1601286303,224,226
1601288104,331,230
1601289904,209,207
1601291703,184,227
1601293503,359,246
1601295302,266,219
1601297104,172,248
1601298904,220,247
1601300704,502,212
1601302503,1148,260
1601304303,928,270
1601306103,857,212
1601307904,887,198
1601309703,824,214
1601311504,770,179
1601313303,625,207
1601315103,617,178
1601316903,589,193
1601318703,568,286
1601320504,1245,440
1601322304,459,413
1601325004,993,778
1601327704,829,933
1601329503,370,333
1601332204,465,360
1601334004,333,189
1601335804,342,166
1601337604,613,646
1601339403,519,936
1601341204,394,540
1601343004,547,1058
1601344804,429,825
1601347504,634,1118
1601349304,280,643
1601351104,1020,1060
1601352904,731,720
1601354704,495,650
1601356504,634,570
1601358304,494,702
1601360104,659,462
1601361903,631,447
1601363704,835,388
1601365504,693,321
1601367304,751,432
1601369104,477,367
1601370904,767,412
1601372704,682,705
1601374504,503,591
1601376304,488,731
1601378103,555,425
1601379905,1083,702
1601381704,772,525
1601383504,772,455
1601385304,1006,846
1601387104,873,1529
1601388904,608,994
1601390704,967,804
1601392504,833,952
1601394304,956,1630
1601396103,658,639
1601397905,523,541
1601399704,309,585
1601401505,331,429
1601403305,252,479
1601406004,410,459
1601407804,221,238
1601409604,226,478
1601411404,241,162
1601413204,244,526
1601415004,193,390
1601416804,206,304
1601419504,456,492
1601421304,293,198
1601423104,283,207
1601424904,287,371
1601426704,203,457
1601428503,287,640
1601430304,440,486
1601432103,300,624
1601433904,328,750
1601435705,453,1065
1601437504,489,904
1601439304,509,736
1601441104,469,441
1601442905,360,672
1601444703,363,367
1601446504,358,417
1601448303,357,572
1601450104,501,710
1601451904,420,243
1601453704,557,357
1601455504,628,317
1601457304,1022,610
1601459105,823,493
1601460904,540,320
1601462704,778,277
1601464504,336,353
1601466304,873,540
1601468105,495,856
1601469905,520,762
1601471704,518,785
1601473505,384,529
1601475305,638,323
1601477105,762,1195
1601478904,556,1555
1601480706,664,1216
1601482505,468,1118
1601484306,507,722
1601486106,530,615
1601487906,532,521
1601489705,2584,644
1601491506,628,435
1601493307,635,789
1601495106,598,875
1601497807,448,1196
