DateTime,Entries,UniqueIPs
1601143204,11119,11119
1601145003,11204,11204
1601146804,11077,11077
1601148604,10680,10680
1601150403,10722,10722
1601152204,10787,10787
1601154003,10418,10418
1601155803,10339,10339
1601157603,9802,9802
1601159403,9416,9416
1601161203,9293,9293
1601163004,9193,9193
1601164803,8968,8968
1601166604,8669,8669
1601168403,8318,8318
1601170203,8314,8314
1601172003,8049,8049
1601174704,7841,7841
1601176504,7756,7756
1601178303,7688,7688
1601180103,7798,7798
1601181904,7990,7990
1601183703,8066,8066
1601185504,7829,7829
1601187304,7757,7757
1601189104,7709,7709
1601190904,7970,7970
1601192704,8251,8251
1601194504,8422,8422
1601196304,8528,8528
1601198104,8480,8480
1601199904,8349,8349
1601201704,8322,8322
1601203503,8295,8295
1601205304,8121,8121
1601207104,7972,7972
1601208904,7878,7878
1601210705,7887,7887
1601212504,7840,7840
1601214303,7644,7644
1601216104,7433,7433
1601217904,7329,7329
1601219704,6960,6960
1601221504,6942,6942
1601223304,6911,6911
1601225104,6708,6708
1601226904,6416,6416
1601228704,6342,6342
1601230504,6266,6266
1601232304,6102,6102
1601234103,5692,5692
1601235904,5317,5317
1601237704,5090,5090
1601239503,4879,4879
1601241304,4762,4762
1601243104,4871,4871
1601244903,4858,4858
1601246703,4938,4938
1601248503,4956,4956
1601250303,4971,4971
1601252104,5068,5068
1601254802,5157,5157
1601256603,5133,5133
1601258404,5172,5172
1601260202,5279,5279
1601262903,5425,5425
1601264703,5498,5498
1601266503,5528,5528
1601268303,5443,5443
1601270103,5338,5338
1601271904,5327,5327
1601273704,5357,5357
1601275503,5447,5447
1601277303,5707,5707
1601279104,5748,5748
1601280903,5792,5792
1601282704,5878,5878
1601284503,5843,5843
1601286303,5841,5841
1601288104,5942,5942
1601289904,5944,5944
1601291703,5901,5901
1601293503,6014,6014
1601295302,6061,6061
1601297104,5985,5985
1601298904,5958,5958
1601300704,6248,6248
1601302503,7136,7136
1601304303,7794,7794
1601306103,8439,8439
1601307904,9128,9128
1601309703,9738,9738
1601311504,10329,10329
1601313303,10747,10747
1601315103,11186,11186
1601316903,11582,11582
1601318703,11864,11864
1601320504,12669,12669
1601322304,12715,12715
1601325004,12930,12930
1601327704,12826,12826
1601329503,12863,12863
1601332204,12968,12968
1601334004,13112,13112
1601335804,13288,13288
1601337604,13255,13255
1601339403,12838,12838
1601341204,12692,12692
1601343004,12181,12181
1601344804,11785,11785
1601347504,11301,11301
1601349304,10938,10938
1601351104,10898,10898
1601352904,10909,10909
1601354704,10754,10754
1601356504,10818,10818
1601358304,10610,10610
1601360104,10807,10807
1601361903,10991,10991
