DateTime,AddedIPs,RemovedIPs
1601607724,72,72
1601608324,29,29
1601608924,43,43
1601610124,40,40
1601610724,41,41
1601611324,9,9
1601612524,42,42
1601613123,21,21
1601613723,18,18
1601614924,81,81
1601615523,31,31
1601616124,41,41
1601617323,50,50
1601619124,88,88
1601619723,28,28
1601620923,29,29
1601622124,31,31
1601622723,27,27
1601623323,30,30
1601624524,17,17
1601625124,6,6
1601626324,55,55
1601626923,26,26
1601627524,13,13
1601628123,2,2
1601628723,11,11
1601629924,43,43
1601630523,40,40
1601631124,10,10
1601632323,20,20
1601632924,45,45
1601634123,19,19
1601634724,12,12
1601635324,14,14
1601636524,18,18
1601637123,7,7
1601637723,7,7
1601638324,20,20
1601638923,20,20
1601640123,18,19
1601640724,7,7
1601641323,12,12
1601641924,13,13
1601643123,30,30
1601644057,16,16
1601644324,6,6
1601645524,14,14
1601646123,23,22
1601647924,55,56
1601648523,7,7
1601649723,38,38
1601650323,11,11
1601651523,15,15
1601652123,12,12
1601652724,6,6
1601653323,7,7
1601653923,9,9
1601654523,13,13
1601655724,14,14
1601656324,31,30
1601656923,16,16
1601658123,25,25
1601658723,11,11
1601659324,6,6
1601659924,13,13
1601660524,13,13
1601661723,25,25
1601662323,27,27
1601663524,14,14
1601664123,8,8
1601665324,32,32
1601665923,31,31
1601666523,3,3
1601667123,12,12
1601668324,44,44
1601668923,30,30
1601670123,34,34
1601671323,25,25
1601672524,40,40
1601673724,64,64
1601674923,24,24
1601676124,28,29
1601677323,69,68
1601677924,25,25
1601678524,33,33
1601679723,36,36
1601680924,45,45
1601682123,32,32
1601683323,68,69
1601684523,56,56
1601685723,57,56
1601686324,17,17
1601686924,13,13
1601687523,14,14
1601688724,35,35
1601689924,37,37
1601690523,25,25
1601691724,34,34
1601692924,82,82
1601694123,64,64
1601695324,75,75
1601695924,47,47
1601696523,23,23
1601697723,28,28
1601698924,80,80
1601700123,44,44
1601701324,64,64
1601701924,11,11
1601702524,22,22
1601703723,12,12
1601704924,33,34
1601706124,68,68
1601707323,35,34
1601708523,53,54
1601709124,16,16
1601710324,34,34
1601710924,26,25
1601712124,35,35
1601712724,26,26
1601713924,40,40
1601714524,21,21
1601715124,6,6
1601716323,38,38
1601716923,29,29
1601718123,51,51
1601719323,52,52
1601720524,19,19
1601721123,40,40
1601721724,21,21
1601722924,67,67
1601724124,29,29
1601724723,19,19
1601725924,8,8
1601726524,4,4
1601727723,37,37
1601728324,7,7
1601728924,7,7
1601729523,19,19
1601730724,17,17
1601731323,28,28
1601731923,10,10
1601733123,18,18
1601733724,6,6
1601734324,22,22
1601735524,19,19
1601736123,11,11
1601737324,31,31
1601737924,20,20
1601738523,22,22
1601739724,23,23
1601740323,9,9
1601740923,19,19
1601741523,18,18
1601742724,24,24
1601743324,8,8
1601743924,10,10
1601744523,18,18
1601745123,18,18
1601746324,25,25
1601746924,13,13
1601748123,25,25
1601748724,22,22
1601749324,9,9
1601750524,30,30
1601751723,17,17
1601752923,93,93
1601754124,49,49
1601755923,84,84
1601757124,49,49
1601757723,25,25
1601758923,61,61
1601760124,28,28
1601760723,31,31
1601761923,26,26
1601762524,33,33
1601763123,48,48
1601764324,38,38
1601764923,41,41
1601765524,31,31
1601766124,35,35
1601767323,31,31
1601768523,18,18
1601769723,29,29
1601770924,40,40
1601771523,49,49
1601772723,62,62
1601773569,31,31
1601775723,84,84
1601776924,30,30
1601778123,84,84
1601779324,35,35
1601780524,23,24
1601781723,9,9
1601782924,34,34
1601784124,33,32
1601785324,22,22
1601785923,29,29
1601787124,44,44
1601787723,20,20
1601788924,64,65
1601790724,32,32
1601791323,32,31
1601792523,29,29
1601793723,24,24
1601794924,13,13
1601796123,68,68
1601796723,15,15
1601797923,23,23
1601798524,13,13
1601799723,26,26
1601800923,33,33
1601801524,34,34
1601803324,65,65
1601804524,63,63
1601805124,10,10
1601806924,48,48
1601808124,43,43
1601808724,16,16
1601809323,18,18
1601810523,12,12
1601811724,48,48
1601812323,12,12
1601812924,8,8
1601813523,11,11
1601814124,12,12
1601814724,18,18
1601815923,18,18
1601816524,16,16
1601817123,15,15
1601817723,12,12
1601818924,24,24
1601820124,21,21
1601821324,41,41
1601821924,38,38
1601823123,18,18
1601823724,6,6
1601824923,46,46
1601825524,12,12
1601826123,14,14
1601827324,12,12
1601827923,20,20
1601829124,35,35
1601829723,5,5
1601830324,10,10
1601831524,27,27
1601832724,23,23
1601833324,9,9
1601835123,37,37
1601835723,13,13
1601836923,18,18
1601838124,78,78
1601838723,17,17
1601839323,21,21
1601840524,31,31
1601841724,32,33
1601842323,4,4
1601842923,11,11
1601844124,31,32
1601844723,17,17
1601845324,10,10
1601845923,14,13
1601846523,11,11
1601847724,17,16
1601848924,30,30
1601849524,8,8
1601850724,32,32
1601851323,11,11
1601852523,74,74
1601853724,92,92
1601854924,89,89
1601855524,60,60
1601856123,51,51
1601857324,77,77
1601857924,60,60
1601858523,26,26
1601859724,82,82
1601860923,66,66
1601862124,71,71
1601862723,33,33
1601863323,15,15
1601864524,29,29
1601865723,44,44
1601866924,9,9
1601867523,6,6
1601868123,31,31
1601869323,47,47
1601870523,77,77
1601871124,29,29
1601872324,62,62
1601872923,10,10
1601874123,65,65
1601875324,59,59
1601876523,52,52
1601877723,55,55
1601878924,45,45
1601880123,44,45
1601881924,44,44
1601882524,21,20
1601883723,14,14
1601884924,12,12
1601886124,78,78
1601887324,31,31
1601887923,16,16
1601889123,52,52
1601889724,8,8
1601890324,17,17
1601891523,21,22
1601892123,13,13
1601892723,17,17
1601893324,1,1
1601893924,9,9
1601894524,8,8
1601895123,24,24
1601896324,10,10
1601896924,9,8
1601897524,11,12
1601898723,15,15
