DateTime,Entries,UniqueIPs
1599838202,6050,6050
1599841801,6156,6156
1599845402,6258,6258
1599849002,6400,6400
1599853503,6513,6513
1599857101,6586,6586
1599860702,6664,6664
1599867902,6835,6835
1599871502,4167,4167
1599875101,4266,4266
1599878702,4342,4342
1599885901,4529,4529
1599889501,4620,4620
1599893102,4697,4697
1599896702,4869,4869
1599903902,5141,5141
1599907502,5267,5267
1599914702,5467,5467
1599919202,5607,5607
1599922802,5704,5704
1599926403,5810,5810
1599930002,5892,5892
1599933602,5976,5976
1599937202,6069,6069
1599944402,6242,6242
1599951602,6373,6373
1599955203,3451,3451
1599958802,3559,3559
1599962402,3689,3689
1599966002,3780,3780
1599970501,3901,3901
1599974101,4004,4004
1599977702,4112,4112
1599981302,4239,4239
1599988501,4466,4466
1599992101,4554,4554
1599995702,4662,4662
1600002902,4851,4851
1600006502,4955,4955
1600010102,5088,5088
1600013701,5198,5198
1600017302,5277,5277
1600020902,5343,5343
1600025402,5468,5468
1600029002,5548,5548
1600032602,5653,5653
1600039802,5822,5822
1600047002,3602,3602
1600054202,3819,3819
1600057801,3914,3914
1600061401,4000,4000
1600065002,4122,4122
1600072201,4409,4409
1600075802,4570,4570
1600080302,4719,4719
1600083902,4871,4871
1600087502,5047,5047
1600091103,5207,5207
1600094702,5427,5427
1600101902,5736,5736
1600109102,5996,5996
1600116301,6214,6214
1600119902,6329,6329
1600123502,6436,6436
1600127102,6549,6549
1600130702,4475,4475
1600134302,4608,4608
1600142402,4877,4877
1600146003,5001,5001
1600149602,5100,5100
1600153202,5242,5242
1600156802,5356,5356
1600164002,5689,5689
1600171202,5936,5936
1600178402,6218,6218
1600185602,6484,6484
1600189202,6608,6608
1600192802,6761,6761
1600196402,6914,6914
1600200902,7060,7060
1600204502,7139,7139
1600211701,7290,7290
1600218902,4800,4800
1600221603,4871,4871
1600225202,4938,4938
1600228802,5043,5043
1600229703,5065,5065
1600233302,5136,5136
1600236902,5266,5266
1600240502,5397,5397
1600247702,5641,5641
1600251301,5759,5759
1600254901,5898,5898
1600259401,6064,6064
1600263001,6224,6224
1600266602,6390,6390
1600273802,6612,6612
1600281002,6828,6828
1600284602,6916,6916
1600288201,7008,7008
1600291802,7161,7161
1600295401,7266,7266
1600299002,7356,7356
1600303501,4324,4324
1600307102,4428,4428
1600310702,4548,4548
1600314302,4706,4706
1600317902,4840,4840
1600321502,4972,4972
1600325102,5107,5107
1600328701,5244,5244
1600332302,5366,5366
1600335902,5490,5490
1600343102,5770,5770
1600346702,5915,5915
1600350302,6091,6091
1600353902,6212,6212
1600361102,6494,6494
1600365602,6591,6591
1600369202,6679,6679
1600372802,6797,6797
